# maps=all sources=enemy,event,treasure
flag	map_id	item_lot_id	treasure_name	source
66140	m30_13	30130100	アイテム光　空壺1	treasure
66150	m30_13	30130110	アイテム光　空壺2	treasure
66160	m30_13	30130120	アイテム光　空壺3	treasure
66170	m30_13	30130130	アイテム光　空壺4	treasure
66190	m60_47_40	1047400010	宝光001	treasure
66400	m30_18	30180040	アイテム光　壺	treasure
66410	m14_00	14000900	宝箱000	treasure
66420	m60_37_42	1037420100	宝死体004	treasure
66430	m60_39_44	1039440130	アイテム光003	treasure
66440	m60_39_44	1039440140	アイテム光004	treasure
66470	m30_13	30130140	アイテム光　上位空壺2	treasure
66480	m30_13	30130150	アイテム光　上位空壺1	treasure
66490	m35_00	35000610	宝死体061	treasure
66700	m16_00	16000110	宝死体011	treasure
66710	m11_00	11000130	宝死体013　→調香詰所の宝箱004に変更	treasure
66720	m11_00	11000470	宝死体047	treasure
66730	m60_36_51	1036510020	宝死体002 調香瓶アイテム光	treasure
66740	m60_36_52	1036520070	宝死体007 調香瓶アイテム光	treasure
66760	m60_39_51	1039510000	宝死体000 忌み子野営地	treasure
66770	m60_39_54	1039540040	宝死体04	treasure
66780	m31_18	31180000	宝箱000	treasure
66790	m60_48_38	1048380010	宝死体001	treasure
66900	m41_00	41000140	宝箱000（宝死体014枠）	treasure
66910	m41_00	41000220	宝死体022	treasure
66920	m41_00	41000230	宝死体023	treasure
66930	m41_01	41010000	宝死体000	treasure
66940	m41_02	41020310	宝死体031	treasure
66950	m61_47_41	2047410030	宝死体003 ※000と入れ替え	treasure
66960	m61_50_44	2050440130	宝死体013	treasure
66970	m61_50_44	2050440110	宝死体011	treasure
66980	m21_02	21020060	宝死体006	treasure
66990	m61_47_37	2047370010	common90005301	event
67020	m60_46_36	1046360020	宝死体002：海辺の塔1-1	treasure
67030	m10_00	10000480	【宝死体】 48	treasure
67050	m60_40_39	1040390000	宝死体000	treasure
67060	m60_35_44	1035440200	宝死体001：教会2-3	treasure
67070	m60_41_53	1041530050	宝死体005 遺跡①レシピ	treasure
67090	m60_49_54	1049540800	アイテム光000：ブリザードエリア	treasure
67120	m16_00	16000090	宝死体009	treasure
67130	m16_00	16000450	宝死体045	treasure
67200	m60_43_38	1043380000	宝死体000:北の傭兵の野営地	treasure
67250	m60_35_54	1035540030	宝死体　鍵部屋	treasure
67260	m60_51_36	1051360010	宝死体001：広場横倉庫	treasure
67300	m12_02	12020130	宝死体013	treasure
67310	m60_51_36	1051360120	宝死体012	treasure
67400	m60_36_44	1036440100	宝箱000：水没都市中央	treasure
67410	m60_38_40	1038400010	宝死体001 野営地	treasure
67420	m14_00	14000950	宝箱005	treasure
67430	m30_00	30000030	宝死体 スケルトン部屋	treasure
67440	m60_49_56	1049560360	貴人_宝死体006：魔術師の塔5-2付近	treasure
67450	m60_38_41	1038410000	宝死体000： 遺跡2-3	treasure
67460	m60_35_50	1035500040	宝死体004	treasure
67480	m60_38_42	1038420100	宝箱000：塔2-1	treasure
67630	m12_02	12020020	宝死体002 ガーゴイルボス部屋前	treasure
67640	m60_43_50	1043500030	宝死体003 教会3-3入り口	treasure
67650	m60_46_40	1046400030	宝死体003	treasure
67800	m60_45_37	1045370030	宝死体002	treasure
67840	m60_36_51	1036510010	宝死体001 調香遺跡宝箱	treasure
67850	m60_39_54	1039540190	宝死体19	treasure
67860	m30_13	30130010	宝死体 B層トラップハウス内	treasure
67870	m60_46_40	1046400050	宝死体005	treasure
67880	m31_02	31020040	宝死体004	treasure
67890	m12_01	12010020	宝死体002 大毒沼小部屋	treasure
67890	m12_01	12010020	宝箱002 大毒沼小部屋	treasure
67910	m12_05	12050050	宝死体005	treasure
68000	m30_07	30070000	宝死体 鉄格子奥A	treasure
68020	m13_00	13000650	宝死体065	treasure
68030	m60_48_36	1048360000	宝死体000	treasure
68200	m60_45_38	1045380010	宝死体001	treasure
68400	m60_38_48	1038480000	宝死体000：混沌の村家	treasure
68410	m35_00	35000800	宝死体 レシピ	treasure
68570	m61_54_40	2054400000	宝死体000　ユニーク	treasure
68580	m61_51_46	2051460010	宝死体001	treasure
68590	m61_47_41	2047410050	宝死体005	treasure
68600	m61_51_45	2051450010	宝死体001	treasure
68610	m61_46_40	2046400010	宝死体001	treasure
68620	m61_47_42	2047420020	宝死体002	treasure
68630	m61_49_43	2049430400	宝死体040　平原前半毒沼	treasure
68640	m61_44_46	2044460100	宝死体010	treasure
68650	m61_46_44	2046440040	宝死体004	treasure
68660	m41_00	41000240	宝死体024	treasure
68670	m61_50_41	2050410000	宝死体000 終端	treasure
68680	m61_44_47	2045480700	アイテム光000	treasure
68680	m61_45_48	2045480700	アイテム光000	treasure
68690	m61_47_45	2047450030	宝死体003	treasure
68700	m42_00	42000120	宝死体002	treasure
68710	m61_47_39	2047390030	宝死体003	treasure
68720	m61_51_41	2051410010	宝死体001　ドラゴン山　ユニーク	treasure
68730	m61_46_43	2046430030	宝死体003	treasure
68740	m40_00	40000010	宝死体001	treasure
68750	m61_48_42	2048420010	宝死体001	treasure
68760	m61_48_37	2048370060	宝死体006	treasure
68770	m61_49_44	2049440000	宝死体000	treasure
68780	m40_01	40010900	宝箱000	treasure
68790	m61_47_44	2047440810	宝箱001　街道砦　城門前部屋	treasure
68800	m21_00	21000660	宝死体066	treasure
68810	m61_49_39	2049390010	宝死体001	treasure
68820	m61_49_43	2049430510	宝箱001	treasure
68840	m22_00	22000010	アイテム光001	treasure
68850	m61_49_38	2049380040	宝死体004	treasure
68870	m61_48_38	2048380020	common90005301	event
68880	m28_00	28000060	宝死体006	treasure
68890	m61_48_46	2048460020	宝死体002	treasure
68900	m61_47_44	2047440000	宝死体000	treasure
68900	m61_47_44	2047440000	宝死体000 野営地 左側テント	treasure
68920	m61_49_38	2049380050	宝死体005	treasure
68930	m21_02	21020030	宝死体003	treasure
68940	m61_46_38	2046380060	宝死体006　ユニーク	treasure
68950	m61_47_35	2047350010	宝死体001	treasure
69740	m35_00	35000070	宝死体テント下②	treasure
69760	m60_38_48	1038480040	アイテム光004	treasure
400033	m10_01	100330	award	event
400033	m60_37_49	100330	award	event
400036	m60_35_44	110301	c0000_9001	enemy
400036	m60_42_36	110301	c0000_9000	enemy
400037	m12_05	100360	common90005750	event
400037	m12_05	110300	c0000_9009	enemy
400049	m60_42_36	110410	c3200_9000	enemy
400051	m10_00	110500	c3665_9001	enemy
400051	m10_00	110500	c3665_9002	enemy
400051	m10_00	110500	c3665_9003	enemy
400051	m10_00	110500	c3665_9004	enemy
400051	m10_00	110500	c3665_9005	enemy
400051	m10_00	110500	c3665_9006	enemy
400051	m10_00	110500	c3665_9007	enemy
400061	m60_33_44	100610	common90005792	event
400061	m60_43_31	110620	common90005750	event
400061	m60_45_34	110620	common90005750	event
400069	m60_43_31	110600	c0000_9010	enemy
400069	m60_45_34	110610	c0000_9002	enemy
400071	m16_00	100710	common90005750	event
400072	m16_00	100725	common90005750	event
400073	m16_00	100730	common90005750	event
400074	m16_00	100740	common90005750	event
400075	m16_00	100750	common90005750	event
400076	m16_00	100760	common90005750	event
400077	m16_00	100770	common90005750	event
400078	m16_00	100780	common90005750	event
400080	m60_45_34	110800	c0000_9000	enemy
400089	m35_00	100890	common90005750	event
400089	m35_00	110810	c0000_9000	enemy
400089	m60_36_49	110810	c0000_9010	enemy
400089	m60_38_41	110810	c0000_9010	enemy
400089	m60_38_43	110810	c0000_9001	enemy
400089	m60_39_40	110810	c0000_9001	enemy
400089	m60_45_34	110810	c0000_9001	enemy
400091	m16_00	100910	common90005750	event
400091	m16_00	100911	common90005750	event
400091	m16_00	110910	c0000_9026	enemy
400106	m14_00	101060	award	event
400106	m60_34_50	111000	c0000_9005	enemy
400107	m14_00	101070	common90005750	event
400130	m60_35_42	111300	c3670_9000	enemy
400148	m60_34_50	101480	common90005750	event
400149	m60_35_50	101490	common90005750	event
400149	m60_35_50	101495	common90005750	event
400158	m60_34_50	111500	c2010_9001	enemy
400163	m60_35_46	111600	c0000_9010	enemy
400163	m60_39_52	101630	common90005750	event
400163	m60_39_52	111600	c0000_9000	enemy
400163	m60_43_35	111600	c0000_9002	enemy
400163	m60_44_38	111600	c0000_9000	enemy
400164	m60_49_53	111610	c0000_9002	enemy
400174	m13_00	101740	award	event
400175	m13_00	111700	c4490_9000	enemy
400175	m32_07	111700	c4490_9000	enemy
400175	m60_35_53	111700	c4490_9000	enemy
400175	m60_39_44	111700	c4490_9000	enemy
400175	m60_43_39	111700	c4490_9000	enemy
400175	m60_51_36	111700	c4490_9000	enemy
400175	m60_52_38	111700	c4490_9002	enemy
400183	m31_00	101830	award	event
400189	m16_00	111800	c0000_9020	enemy
400189	m31_00	111800	c0000_9000	enemy
400189	m31_00	111800	c0000_9001	enemy
400189	m31_00	111800	c0000_9002	enemy
400189	m31_00	111800	c0000_9003	enemy
400189	m60_37_42	111800	c0000_9002	enemy
400189	m60_37_54	111800	c0000_9000	enemy
400189	m60_37_54	111800	c0000_9002	enemy
400189	m60_39_54	111810	c0000_9003	enemy
400191	m60_41_38	101910	common90005750	event
400209	m60_37_46	112000	c6091_9000	enemy
400220	m10_00	112200	c0000_9030	enemy
400220	m60_45_38	112200	c0000_9000	enemy
400220	m60_46_36	112200	c0000_9000	enemy
400239	m60_51_43	112300	c2110_9000	enemy
400240	m60_34_49	102400	common90005750	event
400291	m16_00	102910	common90005750	event
400292	m13_00	102920	common90005792	event
400299	m60_42_38	112900	c0000_9000	enemy
400300	m60_36_43	113000	c0000_9000	enemy
400300	m60_44_52	113000	c0000_9000	enemy
400308	m60_44_52	113010	common90005750	event
400312	m60_50_38	103120	common90005750	event
400321	m15_00	103210	common90005750	event
400321	m15_00	113210	c0000_9018	enemy
400323	m15_00	103220	award	event
400323	m15_00	113200	c0000_9015	enemy
400323	m60_42_55	113200	c0000_9001	enemy
400323	m60_51_56	113200	c0000_9001	enemy
400324	m15_00	103240	award	event
400339	m12_03	113300	common90005750	event
400348	m12_02	113410	c0000_9027	enemy
400348	m12_03	103410	common90005750	event
400348	m12_03	113420	c0000_9016	enemy
400349	m11_10	103400	common90005750	event
400349	m11_10	113400	c0000_9016	enemy
400349	m60_44_39	113400	c0000_9000	enemy
400349	m60_45_39	113400	c0000_9000	enemy
400358	m11_10	103580	common90005750	event
400359	m11_10	103590	common90005750	event
400360	m14_00	103600	common90005750	event
400360	m60_39_39	113600	c0000_9000	enemy
400370	m11_00	113700	c0000_9025	enemy
400370	m11_05	113700	c0000_9030	enemy
400370	m11_10	113700	c0000_9023	enemy
400370	m60_40_52	113700	c0000_9001	enemy
400370	m60_40_54	113700	c0000_9001	enemy
400370	m60_51_56	113700	c0000_9002	enemy
400381	m11_10	113820	c0000_9019	enemy
400381	m11_10	113820	c0000_9027	enemy
400381	m35_00	113820	c0000_9002	enemy
400381	m35_00	113820	c0000_9003	enemy
400381	m35_00	113820	common90005750	event
400381	m60_34_50	113820	c0000_9014	enemy
400381	m60_45_52	113800	common90005792	event
400382	m35_00	103820	common90005750	event
400393	m60_35_42	103930	common90005750	event
400394	m12_01	103940	common90005750	event
400401	m14_00	104010	award	event
400401	m14_00	114000	c0000_9032	enemy
400401	m60_41_33	114000	c0000_9002	enemy
400401	m60_51_36	114000	c0000_9005	enemy
400401	m60_51_36	114000	c0000_9006	enemy
400410	m60_36_41	104100	common90005750	event
400411	m60_47_58	104110	common90005750	event
400412	m60_36_41	114100	c3170_9000	enemy
400421	m10_00	114210	c0000_9035	enemy
400421	m10_00	114210	c0000_9036	enemy
400421	m11_10	114210	c0000_9028	enemy
400421	m11_10	114210	c0000_9029	enemy
400421	m60_34_42	114210	c0000_9010	enemy
400431	m31_11	114310	c3720_9000	enemy
400441	m60_37_53	114410	c3710_9000	enemy
400451	m11_10	114500	c0000_9013	enemy
400451	m11_10	114500	c0000_9014	enemy
400451	m16_00	114500	c0000_9022	enemy
400451	m60_37_44	114500	c0000_9000	enemy
400451	m60_39_44	104510	c0000_9001	enemy
400451	m60_39_44	114500	c0000_9000	enemy
400460	m60_39_44	104600	common90005750	event
400480	m15_00	104800	common90005774	event
400490	m11_10	104900	common90005750	event
400500	m11_05	105000	common90005750	event
400510	m60_40_53	105100	common90005774	event
400590	m61_48_45	105900	award	event
400592	m61_48_45	105910	award	event
400594	m21_00	105920	common90005776	event
400595	m21_01	105930	common90005776	event
400598	m20_01	105940	common90005750	event
400602	m20_01	106010	common90005750	event
400602	m20_01	116000	c0000_9019	enemy
400602	m21_01	116000	c0000_9023	enemy
400602	m61_46_42	106010	common90005750	event
400602	m61_46_42	116000	c0000_9002	enemy
400614	m20_01	116100	common90005750	event
400614	m21_00	116100	common90005776	event
400614	m61_44_46	116100	common90005774	event
400620	m21_01	106200	common90005750	event
400622	m21_01	106210	common90005750	event
400624	m20_01	106220	common90005750	event
400625	m21_01	106230	common90005750	event
400632	m22_00	106310	common90005774	event
400634	m20_01	106320	common90005750	event
400644	m20_01	116400	c0000_9017	enemy
400644	m20_01	116400	common90005750	event
400644	m61_45_42	106420	common90005750	event
400644	m61_45_42	116400	c0000_9002	enemy
400644	m61_47_46	106420	common90005750	event
400645	m61_45_41	116401	common90005774	event
400645	m61_47_46	116401	common90005774	event
400645	m61_48_40	116401	common90005774	event
400645	m61_48_44	116401	common90005774	event
400645	m61_49_46	116401	common90005774	event
400645	m61_50_47	116401	common90005774	event
400664	m61_51_45	106640	trigflag2051450800	event
400666	m61_50_45	106650	common90005750	event
400671	m61_51_45	106710	common90005750	event
400672	m61_51_45	106720	common90005774	event
400692	m21_00	106910	common90005750	event
400694	m20_00	106920	common90005768	event
400694	m61_47_46	106920	common90005768	event
400696	m20_00	106930	common90005768	event
400696	m61_47_46	106930	common90005768	event
400704	m61_49_39	107030	common90005750	event
400710	m61_52_40	117100	c0000_9000	enemy
400710	m61_52_40	117100	c0000_9001	enemy
400711	m61_48_42	117101	c0000_9000	enemy
400712	m61_52_40	107110	common90005750	event
400714	m61_52_40	107120	common90005750	event
400723	m20_00	107230	common90005750	event
400730	m61_49_44	107300	common90005750	event
400732	m20_01	107310	common90005750	event
400740	m22_00	107400	common90005750	event
400901	m60_44_39	119000	c3200_9000	enemy
400902	m60_45_36	119005	c3200_9000	enemy
400902	m60_45_36	119005	c3200_9001	enemy
400903	m60_41_36	119010	c3200_9000	enemy
400904	m60_44_33	119015	c3200_9000	enemy
400905	m60_38_41	119020	c3200_9000	enemy
400906	m60_41_32	119025	c3200_9000	enemy
400907	m60_35_45	119030	c3200_9000	enemy
400908	m60_36_49	119035	c3200_9002	enemy
400909	m60_43_53	119040	c3200_9000	enemy
400910	m60_40_52	119045	c3200_9000	enemy
400911	m60_37_54	119050	c3200_9000	enemy
400912	m60_48_38	119055	c3200_9000	enemy
400913	m60_49_37	119060	c3200_9001	enemy
400915	m60_48_41	119070	c3200_9000	enemy
400916	m60_51_56	119075	c3200_9000	enemy
400917	m12_02	119080	c3200_9000	enemy
400918	m12_01	119085	c3200_9000	enemy
400919	m12_05	119090	c3200_9000	enemy
510030	m10_01	10030	trigflag9103	event
510040	m11_00	10040	trigflag9104	event
510060	m11_05	10060	trigflag9106	event
510070	m11_05	10070	trigflag9107	event
510080	m12_04	10080	trigflag9108	event
510090	m12_01	10090	trigflag9109	event
510100	m12_02	10100	trigflag9110	event
510110	m12_03	10110	trigflag9111	event
510120	m12_05	10120	trigflag9112	event
510140	m13_00	10140	trigflag9114	event
510150	m13_00	10150	trigflag9115	event
510160	m13_00	10160	trigflag9116	event
510190	m15_00	10190	trigflag9119	event
510200	m15_00	10200	trigflag9120	event
510210	m16_00	10210	trigflag9121	event
510220	m16_00	10220	trigflag9122	event
510230	m19_00	10230	trigflag9123	event
510250	m35_00	10250	trigflag9125	event
510260	m39_20	10260	trigflag9126	event
510280	m18_00	10280	trigflag9128	event
510290	m16_00	10290	trigflag9129	event
510300	m60_52_38	10300	trigflag9130	event
510310	m60_52_52	10310	trigflag9131	event
510320	m12_08	10320	trigflag9132	event
510330	m12_09	10330	trigflag9133	event
510340	m12_02	10340	trigflag9134	event
510350	m12_03	10350	trigflag9135	event
510400	m20_00	10400	trigflag9140	event
510420	m20_01	10420	award	event
510430	m20_01	10430	trigflag9143	event
510440	m21_00	10440	trigflag9144	event
510460	m21_01	10460	trigflag9146	event
510480	m22_00	10480	trigflag9148	event
510550	m25_00	10550	trigflag9155	event
510560	m28_00	10560	trigflag9156	event
510600	m61_44_45	10600	trigflag9160	event
510610	m40_02	10610	trigflag9161	event
510610	m61_52_43	10610	trigflag9161	event
510620	m61_50_48	10620	trigflag9162	event
510630	m61_54_39	10630	trigflag9163	event
510640	m61_49_48	10640	trigflag9164	event
510730	m34_13	10730	trigflag9173	event
510740	m34_14	10740	trigflag9174	event
510800	m60_43_30	10800	trigflag9180	event
510810	m60_35_50	10810	trigflag9181	event
510820	m60_39_54	10820	trigflag9182	event
510830	m60_51_36	10830	trigflag9183	event
510840	m60_51_57	10840	trigflag9184	event
510900	m61_48_44	10900	trigflag9190	event
520000	m30_00	20000	trigflag9200	event
520010	m30_01	20010	trigflag9201	event
520020	m30_02	20020	trigflag9202	event
520030	m30_11	20030	trigflag9203	event
520040	m30_04	20040	trigflag9204	event
520050	m30_05	20050	trigflag9205	event
520060	m30_03	20060	trigflag9206	event
520070	m30_06	20070	trigflag9207	event
520080	m30_08	20080	trigflag9208	event
520090	m30_09	20090	trigflag9209	event
520100	m30_10	20100	trigflag9210	event
520110	m30_12	20110	trigflag9211	event
520120	m30_07	20120	trigflag9212	event
520130	m30_13	20130	trigflag9213	event
520140	m30_14	20140	trigflag9214	event
520150	m30_15	20150	trigflag9215	event
520160	m30_16	20160	trigflag9216	event
520170	m30_17	20170	trigflag9217	event
520180	m30_18	20180	trigflag9218	event
520190	m30_19	20190	trigflag9219	event
520200	m30_20	20200	trigflag9220	event
520210	m30_05	20210	trigflag9221	event
520220	m35_00	20220	trigflag9222	event
520300	m31_02	20300	trigflag9230	event
520310	m31_01	20310	trigflag9231	event
520320	m31_00	20320	trigflag9232	event
520330	m31_03	20330	award	event
520340	m31_15	20340	award	event
520350	m31_17	20350	trigflag9235	event
520360	m31_04	20360	trigflag9236	event
520370	m31_05	20370	trigflag9237	event
520380	m31_06	20380	trigflag9238	event
520390	m31_07	20390	trigflag9239	event
520400	m31_09	20400	trigflag9240	event
520410	m31_18	20410	trigflag9241	event
520420	m31_19	20420	trigflag9242	event
520430	m31_21	20430	trigflag9243	event
520440	m31_10	20440	trigflag9244	event
520450	m31_20	20450	trigflag9245	event
520460	m31_11	20460	trigflag9246	event
520470	m31_12	20470	trigflag9247	event
520480	m31_22	20480	trigflag9248	event
520490	m31_19	20490	trigflag9249	event
520600	m32_00	20600	trigflag9260	event
520610	m32_01	20610	trigflag9261	event
520620	m32_02	20620	trigflag9262	event
520630	m32_04	20630	trigflag9263	event
520640	m34_12	20640	trigflag9264	event
520650	m32_05	20650	trigflag9265	event
520660	m32_07	20660	trigflag9266	event
520670	m32_08	20670	trigflag9267	event
520680	m32_11	20680	trigflag9268	event
520700	m40_00	20700	trigflag9270	event
520710	m40_01	20710	trigflag9271	event
520750	m41_00	20750	trigflag9275	event
520760	m41_01	20760	trigflag9276	event
520770	m41_02	20770	trigflag9277	event
520800	m34_10	20800	trigflag9280	event
520800	m43_00	20800	trigflag9280	event
520810	m43_01	20810	trigflag9281	event
530100	m60_42_36	30100	common90005860	event
530110	m60_43_36	30110	common90005861	event
530120	m60_42_37	30120	common90005880	event
530130	m60_44_35	30130	common90005880	event
530170	m60_45_39	30170	common90005860	event
530210	m60_34_45	30210	common90005861	event
530225	m60_35_42	30225	common90005860	event
530240	m60_39_44	30240	common90005860	event
530245	m60_38_41	30245	common90005880	event
530250	m60_33_45	30250	common90005880	event
530255	m60_36_50	30255	common90005880	event
530260	m60_34_42	30260	common90005860	event
530265	m60_33_42	30265	common90005880	event
530300	m60_37_51	30300	common90005860	event
530300	m60_41_52	30300	common90005860	event
530310	m60_41_50	30310	common90005860	event
530315	m60_45_52	30315	common90005860	event
530325	m60_42_55	30325	common90005860	event
530350	m60_40_52	30350	common90005860	event
530375	m60_36_54	30375	common90005860	event
530385	m60_38_52	30385	common90005860	event
530390	m60_35_53	30390	common90005861	event
530400	m60_48_37	30400	common90005861	event
530405	m60_49_38	30405	common90005860	event
530420	m60_52_41	30420	common90005860	event
530425	m60_51_43	30425	common90005860	event
530505	m60_49_52	30505	common90005860	event
530510	m60_54_56	30510	common90005861	event
530515	m60_53_56	30515	common90005880	event
530530	m60_50_57	30530	common90005860	event
530550	m60_50_56	30550	common90005861	event
530600	m12_01	30600	common90005860	event
530620	m12_02	30620	common90005860	event
530800	m61_52_40	30800	common90005860	event
530805	m61_54_39	30805	common90005860	event
530810	m61_46_38	30810	award	event
530820	m61_46_41	30820	award	event
530830	m61_51_44	30830	award	event
530840	m61_48_38	30840	common90005860	event
530845	m61_46_40	30845	common90005860	event
530850	m61_49_41	30850	common90005860	event
530855	m61_47_39	30855	common90005860	event
530860	m61_45_44	30860	common90005860	event
530865	m61_47_44	30865	award	event
530900	m61_46_45	30900	award	event
530905	m61_44_47	30910	common90005860	event
530930	m61_49_45	30930	common90005860	event
530940	m61_46_46	30940	common90005860	event
530945	m61_49_43	30945	common90005860	event
530955	m61_47_45	30955	common90005860	event
530960	m61_52_48	30960	common90005860	event
530965	m61_49_43	30965	common90005860	event
540100	m60_40_39	40100	common90005300	event
540104	m60_41_38	40104	common90005300	event
540108	m60_43_37	40108	common90005300	event
540112	m60_44_36	40112	common90005300	event
540116	m60_45_37	40116	common90005300	event
540118	m60_46_39	40118	common90005300	event
540120	m60_41_37	40120	common90005300	event
540132	m60_42_33	40132	common90005300	event
540136	m60_43_33	40136	common90005300	event
540138	m60_44_32	40138	common90005300	event
540140	m60_44_33	40140	common90005300	event
540142	m60_44_38	40142	common90005300	event
540144	m60_41_35	40144	common90005300	event
540146	m60_42_39	40146	common90005300	event
540170	m10_00	40170	common90005300	event
540172	m10_00	40172	common90005300	event
540174	m10_00	40174	common90005300	event
540200	m60_34_50	40200	common90005300	event
540202	m60_36_44	40202	common90005300	event
540204	m60_36_49	40204	common90005300	event
540206	m60_39_39	40206	common90005300	event
540208	m60_35_42	40208	common90005300	event
540210	m60_35_47	40210	common90005300	event
540218	m60_34_44	40218	common90005300	event
540220	m60_35_50	40220	common90005300	event
540224	m60_37_51	40224	common90005300	event
540236	m60_37_48	40236	common90005300	event
540238	m60_33_43	40238	common90005300	event
540250	m60_35_50	40250	common90005300	event
