# AUTO-GENERATED by tools/extract_questline_conditions.py --dag-corpus -- DO NOT EDIT, re-emit.
# One row per (AWARD SITE, cone ROOT) from the #1085 questline-condition extractor; parameterised-event call sites are complete.
# The artifacts it reads (decompiled EMEVD + talk ESD) are licensing-restricted and absent from CI,
#   so this table is COMMITTED and re-emitted by hand -- the same shape as greenfield/flag_names.tsv.
#   Re-emit: python tools/gen_inputs.py --ensure elden_ring_artifacts && \
#            python tools/extract_questline_conditions.py elden_ring_artifacts --dag-corpus greenfield/questline_conditions.tsv
# 🛑 A ROW IS A COND ROOT, NOT A VERDICT. cone_completeness says how much of the cone was read:
#   complete = nothing refused; budget_capped = only CAPS were hit (the cone can MISS a prerequisite,
#   never invent one); unreadable = a guard could not be read at all. build_questline_dag.py owns
#   the admission rule and tallies what it refuses.
# 🛑 disjunctive=Y: the SITE guards contain an `||` and the arms were UNIONED, so those roots are an
#   OVER-approximation. A disjunction met further down a setter chain is not marked at all, which is
#   why no consumer may read a site's roots as a proven conjunction.
# 🛑 ObjAct / MSB / ChrActivateConditionParam / ceremony / shop-lineup gating is OUTSIDE this corpus.
#   Absence of a row is 'no gate visible here', never 'no gate'.
# MEASURED THIS EMIT: 8996 row(s) | cone: budget_capped 3435, complete 1184, unreadable 4377
# roots NOT addressable as a source id (dropped once, here, and counted): root-class-not-addressable:BOSS_KILL 627, root-class-not-addressable:COUNT_FLAGS 51, root-class-not-addressable:DIALOGUE_CHOICE 184, root-class-not-addressable:FLAG_BAND 101, root-class-not-addressable:REGION_ACCESS 905, site-has-no-award-flag 369
target_flag	target_lot	site_file	site_event	site_callsite	site_verb	designation	cone_completeness	disjunctive	control_flow_skipped	root_class	source_id	source_kind	setter_cite	unresolved_forms
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	1044369229	flag	talk/m60_00_00_00-only/t316006000.py:t316006000_x56	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	1044369230	flag	talk/m60_00_00_00-only/t316006000.py:t316006000_x57	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	1044369236	flag	talk/m60_00_00_00-only/t316006000.py:t316006000_x30	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	1051362702	flag	talk/m60_00_00_00-only/t312006000.py:t312006000_x45	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	1051369210	flag	talk/m60_00_00_00-only/t312006000.py:t312006000_x30	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	1054539200	flag	talk/m00_00_00_00-only/t000001000.py:t000001000_x37	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	1054539201	flag	talk/m00_00_00_00-only/t000001000.py:t000001000_x38	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	1054539205	flag	talk/m00_00_00_00-only/t000001000.py:t000001000_x38	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	1054539206	flag	talk/m00_00_00_00-only/t000001000.py:t000001000_x68	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	1054539215	flag	talk/m00_00_00_00-only/t000001000.py:t000001000_x57	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	11009260	flag	talk/m00_00_00_00-only/t000003000.py:t000003000_x31	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	11109518	flag	talk/m11_10_00_00-only/t325001110.py:t325001110_x31	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	14009262	flag	talk/m60_00_00_00-only/t316206000.py:t316206000_x51	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	14009265	flag	talk/m60_00_00_00-only/t316206000.py:t316206000_x48	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	3000	flag	talk/m60_00_00_00-only/t900006000.py:t900006000_x3	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	35009360	flag	talk/m00_00_00_00-only/t000003000.py:t000003000_x71	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	4651	flag	talk/m00_00_00_00-only/t000001000.py:t000001000_x35	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	4652	flag	talk/m00_00_00_00-only/t000001000.py:t000001000_x34	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	4653	flag	talk/m00_00_00_00-only/t000001000.py:t000001000_x59	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	4655	flag	talk/m00_00_00_00-only/t000001000.py:t000001000_x36	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	4698	flag	talk/m00_00_00_00-only/t000001000.py:t000001000_x23	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	9000	flag	talk/m00_00_00_00-only/t000001000.py:t000001000_x23	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		ITEM_POSSESSION	10010	goods	talk/m00_00_00_00-only/t000001000.py	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		ITEM_POSSESSION	2130	goods	talk/m00_00_00_00-only/t000001000.py	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		ITEM_POSSESSION	8143	goods	talk/m00_00_00_00-only/t000001000.py	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		ITEM_POSSESSION	8144	goods	talk/m00_00_00_00-only/t000001000.py	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		MAP_ACCESS	m00_00	map	talk/m00_00_00_00-only/t000001000.py	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		MAP_ACCESS	m60_44	map	m60_44_36_00.emevd.dcx.js	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		MAP_ACCESS	m60_51	map	m60_51_36_00.emevd.dcx.js	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		MAP_ACCESS	m60_52	map	m60_52_38_00.emevd.dcx.js	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		NPC_STATE	3360	flag	common.emevd.dcx.js:3379	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		NPC_STATE	3365	flag	common.emevd.dcx.js:3379	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		NPC_STATE	3366	flag	common.emevd.dcx.js:3379	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		NPC_STATE	3460	flag	common.emevd.dcx.js:3479	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		NPC_STATE	3465	flag	common.emevd.dcx.js:3479	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		NPC_STATE	3466	flag	common.emevd.dcx.js:3479	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		NPC_STATE	3468	flag	common.emevd.dcx.js:3479	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		NPC_STATE	3747	flag	common.emevd.dcx.js:3759	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		NPC_STATE	3760	flag	common.emevd.dcx.js:3779	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		NPC_STATE	3761	flag	common.emevd.dcx.js:3049	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		NPC_STATE	3765	flag	common.emevd.dcx.js:3779	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		NPC_STATE	3766	flag	common.emevd.dcx.js:3779	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		NPC_STATE	3767	flag	common.emevd.dcx.js:3779	BUDGET_EXCEEDED
191	34100500	m34_10_00_00.emevd.dcx.js	90005110	0	AwardItemsIncludingClients	UNRESOLVED	unreadable			BOSS_KILL	10000800	flag	m10_00_00_00.emevd.dcx.js:10002800	HPRatio
191	34100500	m34_10_00_00.emevd.dcx.js	90005110	0	AwardItemsIncludingClients	UNRESOLVED	unreadable			BOSS_KILL	9101	flag	m10_00_00_00.emevd.dcx.js:10002800	HPRatio
191	34100500	m34_10_00_00.emevd.dcx.js	90005110	0	AwardItemsIncludingClients	UNRESOLVED	unreadable			MAP_ACCESS	m10_00	map	m10_00_00_00.emevd.dcx.js	HPRatio
191	34100500	m34_10_00_00.emevd.dcx.js	90005110	0	AwardItemsIncludingClients	UNRESOLVED	unreadable			MAP_ACCESS	m34_10	map	m34_10_00_00.emevd.dcx.js	HPRatio
192	34130050	m34_13_00_00.emevd.dcx.js	90005110	0	AwardItemsIncludingClients	IN_LOGIC_RULE	complete			BOSS_KILL	9130	flag	m60_52_38_00.emevd.dcx.js:1252382800	
192	34130050	m34_13_00_00.emevd.dcx.js	90005110	0	AwardItemsIncludingClients	IN_LOGIC_RULE	complete			MAP_ACCESS	m34_13	map	m34_13_00_00.emevd.dcx.js	
192	34130050	m34_13_00_00.emevd.dcx.js	90005110	0	AwardItemsIncludingClients	IN_LOGIC_RULE	complete			MAP_ACCESS	m60_52	map	m60_52_38_00.emevd.dcx.js	
193	34140700	m34_14_00_00.emevd.dcx.js	90005110	0	AwardItemsIncludingClients	IN_LOGIC_RULE	complete			BOSS_KILL	9104	flag	m11_00_00_00.emevd.dcx.js:11002800	
193	34140700	m34_14_00_00.emevd.dcx.js	90005110	0	AwardItemsIncludingClients	IN_LOGIC_RULE	complete			MAP_ACCESS	m11_00	map	m11_00_00_00.emevd.dcx.js	
193	34140700	m34_14_00_00.emevd.dcx.js	90005110	0	AwardItemsIncludingClients	IN_LOGIC_RULE	complete			MAP_ACCESS	m34_14	map	m34_14_00_00.emevd.dcx.js	
194	34120500	m34_12_00_00.emevd.dcx.js	90005110	0	AwardItemsIncludingClients	IN_LOGIC_RULE	complete			BOSS_KILL	9122	flag	m16_00_00_00.emevd.dcx.js:16002800	
194	34120500	m34_12_00_00.emevd.dcx.js	90005110	0	AwardItemsIncludingClients	IN_LOGIC_RULE	complete			MAP_ACCESS	m16_00	map	m16_00_00_00.emevd.dcx.js	
194	34120500	m34_12_00_00.emevd.dcx.js	90005110	0	AwardItemsIncludingClients	IN_LOGIC_RULE	complete			MAP_ACCESS	m34_12	map	m34_12_00_00.emevd.dcx.js	
195	34140710	m34_14_00_00.emevd.dcx.js	90005110	0	AwardItemsIncludingClients	IN_LOGIC_RULE	complete			BOSS_KILL	12050800	flag	m12_05_00_00.emevd.dcx.js:12052800	
195	34140710	m34_14_00_00.emevd.dcx.js	90005110	0	AwardItemsIncludingClients	IN_LOGIC_RULE	complete			BOSS_KILL	9112	flag	m12_05_00_00.emevd.dcx.js:12052800	
195	34140710	m34_14_00_00.emevd.dcx.js	90005110	0	AwardItemsIncludingClients	IN_LOGIC_RULE	complete			MAP_ACCESS	m12_05	map	m12_05_00_00.emevd.dcx.js	
195	34140710	m34_14_00_00.emevd.dcx.js	90005110	0	AwardItemsIncludingClients	IN_LOGIC_RULE	complete			MAP_ACCESS	m34_14	map	m34_14_00_00.emevd.dcx.js	
196	34150000	m34_15_00_00.emevd.dcx.js	90005110	0	AwardItemsIncludingClients	IN_LOGIC_RULE	complete			BOSS_KILL	15000800	flag	m15_00_00_00.emevd.dcx.js:15002800	
196	34150000	m34_15_00_00.emevd.dcx.js	90005110	0	AwardItemsIncludingClients	IN_LOGIC_RULE	complete			BOSS_KILL	9120	flag	m15_00_00_00.emevd.dcx.js:15002800	
196	34150000	m34_15_00_00.emevd.dcx.js	90005110	0	AwardItemsIncludingClients	IN_LOGIC_RULE	complete			MAP_ACCESS	m15_00	map	m15_00_00_00.emevd.dcx.js	
196	34150000	m34_15_00_00.emevd.dcx.js	90005110	0	AwardItemsIncludingClients	IN_LOGIC_RULE	complete			MAP_ACCESS	m34_15	map	m34_15_00_00.emevd.dcx.js	
197	10180	common.emevd.dcx.js	1100	0	AwardItemsIncludingClients	IN_LOGIC_RULE	complete			BOSS_KILL	14000800	flag	m14_00_00_00.emevd.dcx.js:14002800	
197	10180	common.emevd.dcx.js	1100	0	AwardItemsIncludingClients	IN_LOGIC_RULE	complete			BOSS_KILL	9118	flag	m14_00_00_00.emevd.dcx.js:14002800	
197	10180	common.emevd.dcx.js	1100	0	AwardItemsIncludingClients	IN_LOGIC_RULE	complete			MAP_ACCESS	m14_00	map	m14_00_00_00.emevd.dcx.js	
9500	4900	m11_05_00_00.emevd.dcx.js	90005750	0	AwardItemsIncludingClients	IN_LOGIC_RULE	complete	Y		MAP_ACCESS	m11_05	map	m11_05_00_00.emevd.dcx.js	
9502	103350	m12_03_00_00.emevd.dcx.js	90005750	0	AwardItemsIncludingClients	UNRESOLVED	budget_capped	Y		BOSS_KILL	12030800	flag	m12_03_00_00.emevd.dcx.js:12032800	BUDGET_EXCEEDED
9502	103350	m12_03_00_00.emevd.dcx.js	90005750	0	AwardItemsIncludingClients	UNRESOLVED	budget_capped	Y		BOSS_KILL	12030850	flag	m12_03_00_00.emevd.dcx.js:12032850	BUDGET_EXCEEDED
9502	103350	m12_03_00_00.emevd.dcx.js	90005750	0	AwardItemsIncludingClients	UNRESOLVED	budget_capped	Y		BOSS_KILL	4043	flag	common.emevd.dcx.js:4139	BUDGET_EXCEEDED
9502	103350	m12_03_00_00.emevd.dcx.js	90005750	0	AwardItemsIncludingClients	UNRESOLVED	budget_capped	Y		BOSS_KILL	9001	flag	common.emevd.dcx.js:901	BUDGET_EXCEEDED
9502	103350	m12_03_00_00.emevd.dcx.js	90005750	0	AwardItemsIncludingClients	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	1037469289	flag	talk/m60_00_00_00-only/t330016000.py:t330016000_x3	BUDGET_EXCEEDED
9502	103350	m12_03_00_00.emevd.dcx.js	90005750	0	AwardItemsIncludingClients	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	1044369209	flag	talk/m60_00_00_00-only/t316006000.py:t316006000_x42	BUDGET_EXCEEDED
9502	103350	m12_03_00_00.emevd.dcx.js	90005750	0	AwardItemsIncludingClients	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	1044369221	flag	talk/m60_00_00_00-only/t316006000.py:t316006000_x51	BUDGET_EXCEEDED
9502	103350	m12_03_00_00.emevd.dcx.js	90005750	0	AwardItemsIncludingClients	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	1044369224	flag	talk/m60_00_00_00-only/t316006000.py:t316006000_x44	BUDGET_EXCEEDED
9502	103350	m12_03_00_00.emevd.dcx.js	90005750	0	AwardItemsIncludingClients	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	1044369225	flag	talk/m60_00_00_00-only/t316006000.py:t316006000_x54	BUDGET_EXCEEDED
9502	103350	m12_03_00_00.emevd.dcx.js	90005750	0	AwardItemsIncludingClients	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	1044369226	flag	talk/m60_00_00_00-only/t316006000.py:t316006000_x54	BUDGET_EXCEEDED
9502	103350	m12_03_00_00.emevd.dcx.js	90005750	0	AwardItemsIncludingClients	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	1044369227	flag	talk/m60_00_00_00-only/t316006000.py:t316006000_x55	BUDGET_EXCEEDED
9502	103350	m12_03_00_00.emevd.dcx.js	90005750	0	AwardItemsIncludingClients	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	1044369228	flag	talk/m60_00_00_00-only/t316006000.py:t316006000_x45	BUDGET_EXCEEDED
9502	103350	m12_03_00_00.emevd.dcx.js	90005750	0	AwardItemsIncludingClients	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	1044369229	flag	talk/m60_00_00_00-only/t316006000.py:t316006000_x56	BUDGET_EXCEEDED
