ap_id,flag,flag_source,item_name,map,region,method
7000130,66120,map_lot,Cracked Pot,m14_00_00_00,Raya Lucaria Academy,treasure
7000131,66130,map_lot,Cracked Pot,m11_00_00_00,Leyndell / Roundtable / Shunning-Grounds,emevd
7000132,66140,map_lot,Cracked Pot,m30_13_00_00,Hero's Graves (Catacombs),treasure
7000133,66150,map_lot,Cracked Pot,m30_13_00_00,Hero's Graves (Catacombs),treasure
7000134,66160,map_lot,Cracked Pot,m30_13_00_00,Hero's Graves (Catacombs),treasure
7000135,66170,map_lot,Cracked Pot,m30_13_00_00,Hero's Graves (Catacombs),treasure
7000136,66180,shop,Cracked Pot,m10_01_00_00,Stormveil Castle,emevd
7000137,66190,map_lot,Cracked Pot,PENDING,Global / Common-event (unplaced),global
7000138,66400,map_lot,Ritual Pot,PENDING,Global / Common-event (unplaced),global
7000139,66410,map_lot,Ritual Pot,m14_00_00_00,Raya Lucaria Academy,treasure
7000140,66420,map_lot,Ritual Pot,PENDING,Global / Common-event (unplaced),global
7000141,66430,map_lot,Ritual Pot,m60_39_44_00,Overworld m60_39_44_00,treasure
7000142,66440,map_lot,Ritual Pot,m60_39_44_00,Overworld m60_39_44_00,treasure
7000143,66450,shop,Ritual Pot,m60_35_50_00,Overworld m60_35_50_00,emevd
7000144,66460,shop,Ritual Pot,PENDING,Multiple merchants (various regions),shop_multi
7000145,66470,map_lot,Ritual Pot,m30_13_00_00,Hero's Graves (Catacombs),treasure
7000146,66480,map_lot,Ritual Pot,m30_13_00_00,Hero's Graves (Catacombs),treasure
7000147,66490,map_lot,Ritual Pot,m35_00_00_00,Divine Tower,treasure
7000148,66700,map_lot,Perfume Bottle,m16_00_00_00,Volcano Manor / Mt. Gelmir,treasure
7000149,66710,map_lot,Perfume Bottle,PENDING,Global / Common-event (unplaced),global
7000150,66720,map_lot,Perfume Bottle,m11_00_00_00,Leyndell / Roundtable / Shunning-Grounds,emevd
7000151,66730,map_lot,Perfume Bottle,PENDING,Global / Common-event (unplaced),global
7000152,66740,map_lot,Perfume Bottle,m60_36_52_00,Overworld m60_36_52_00,treasure
7000153,66750,shop,Perfume Bottle,PENDING,Liurnia of the Lakes,shop_merchant
7000154,66760,map_lot,Perfume Bottle,m60_39_51_00,Overworld m60_39_51_00,treasure
7000155,66770,map_lot,Perfume Bottle,PENDING,Global / Common-event (unplaced),global
7000156,66780,map_lot,Perfume Bottle,m31_18_00_00,Caves,treasure
7000157,66790,map_lot,Perfume Bottle,m60_48_38_00,Overworld m60_48_38_00,treasure
7000158,66900,map_lot,Hefty Cracked Pot,PENDING,Global / Common-event (unplaced),global
7000159,66910,map_lot,Hefty Cracked Pot,m41_00_00_00,DLC Legacy Dungeon,emevd
7000160,66920,map_lot,Hefty Cracked Pot,PENDING,Global / Common-event (unplaced),global
7000161,66930,map_lot,Hefty Cracked Pot,m18_00_00_00,Stormveil (assoc.),emevd
7000162,66940,map_lot,Hefty Cracked Pot,PENDING,Global / Common-event (unplaced),global
7000163,66950,map_lot,Hefty Cracked Pot,PENDING,Global / Common-event (unplaced),global
7000164,66960,map_lot,Hefty Cracked Pot,m61_50_44_00,Land of Shadow (DLC),treasure
7000165,66970,map_lot,Hefty Cracked Pot,m61_50_44_00,Land of Shadow (DLC),treasure
7000166,66980,map_lot,Hefty Cracked Pot,PENDING,Global / Common-event (unplaced),global
7000167,66990,map_lot,Hefty Cracked Pot,PENDING,Global / Common-event (unplaced),global
7000168,67000,shop,Nomadic Warrior's Cookbook [1],PENDING,Limgrave,shop_merchant
7000169,67010,shop,Nomadic Warrior's Cookbook [3],m13_00_00_00,Crumbling Farum Azula,emevd
7000170,67020,map_lot,Nomadic Warrior's Cookbook [6],m60_46_36_00,Overworld m60_46_36_00,treasure
7000171,67030,map_lot,Nomadic Warrior's Cookbook [10],m10_00_00_00,Stormveil Castle,treasure
7000172,67050,map_lot,Nomadic Warrior's Cookbook [7],m60_40_39_00,Overworld m60_40_39_00,treasure
7000173,67060,map_lot,Nomadic Warrior's Cookbook [12],m60_35_44_00,Overworld m60_35_44_00,treasure
7000174,67070,map_lot,Nomadic Warrior's Cookbook [19],m19_00_00_00,Chapel of Anticipation,emevd
7000175,67080,shop,Nomadic Warrior's Cookbook [13],m19_00_00_00,Chapel of Anticipation,emevd
7000176,67090,map_lot,Nomadic Warrior's Cookbook [23],m60_49_54_00,Overworld m60_49_54_00,treasure
7000177,67100,shop,Nomadic Warrior's Cookbook [17],m60_35_42_00,Overworld m60_35_42_00,emevd
7000178,67110,shop,Nomadic Warrior's Cookbook [2],PENDING,Limgrave,shop_merchant
7000179,67120,map_lot,Nomadic Warrior's Cookbook [21],m16_00_00_00,Volcano Manor / Mt. Gelmir,treasure
7000180,67130,map_lot,Missionary's Cookbook [6],m16_00_00_00,Volcano Manor / Mt. Gelmir,treasure
7000181,67200,map_lot,Armorer's Cookbook [1],m60_43_38_00,Overworld m60_43_38_00,treasure
7000182,67210,shop,Armorer's Cookbook [2],PENDING,Limgrave,shop_merchant
7000183,67220,map_lot,Nomadic Warrior's Cookbook [11],PENDING,Liurnia of the Lakes,cookbook
7000184,67230,shop,Nomadic Warrior's Cookbook [20],PENDING,Liurnia of the Lakes,shop_merchant
7000185,67250,map_lot,Armorer's Cookbook [7],m60_35_54_00,Overworld m60_35_54_00,treasure
7000186,67260,map_lot,Armorer's Cookbook [4],m60_51_36_00,Overworld m60_51_36_00,treasure
7000187,67270,shop,Nomadic Warrior's Cookbook [18],PENDING,Siofra River / Nokron,shop_merchant
7000188,67280,shop,Armorer's Cookbook [3],PENDING,Limgrave,shop_merchant
7000189,67290,shop,Nomadic Warrior's Cookbook [16],PENDING,Siofra River / Nokron,shop_merchant
7000190,67300,map_lot,Armorer's Cookbook [6],m12_02_00_00,Eternal Cities & Underground Rivers,treasure
7000191,67310,map_lot,Armorer's Cookbook [5],m60_51_36_00,Overworld m60_51_36_00,treasure
7000192,67400,map_lot,Glintstone Craftsman's Cookbook [4],PENDING,Liurnia of the Lakes,cookbook
7000193,67410,map_lot,Glintstone Craftsman's Cookbook [1],m60_38_40_00,Overworld m60_38_40_00,treasure
7000194,67420,map_lot,Glintstone Craftsman's Cookbook [5],m14_00_00_00,Raya Lucaria Academy,treasure
7000195,67430,map_lot,Nomadic Warrior's Cookbook [9],m30_00_00_00,Hero's Graves (Catacombs),treasure
7000196,67440,map_lot,Glintstone Craftsman's Cookbook [8],PENDING,Consecrated Snowfield,cookbook
7000197,67450,map_lot,Glintstone Craftsman's Cookbook [2],m60_38_41_00,Overworld m60_38_41_00,treasure
7000198,67460,map_lot,Glintstone Craftsman's Cookbook [6],PENDING,Liurnia of the Lakes,cookbook
7000199,67470,shop,Glintstone Craftsman's Cookbook [7],m60_35_50_00,Overworld m60_35_50_00,emevd
7000200,67480,map_lot,Glintstone Craftsman's Cookbook [3],m60_38_42_00,Overworld m60_38_42_00,treasure
7000201,67600,shop,Missionary's Cookbook [2],PENDING,Roundtable Hold,shop_merchant
7000202,67610,shop,Missionary's Cookbook [1],PENDING,Limgrave,shop_merchant
7000203,67630,map_lot,Missionary's Cookbook [5],m12_02_00_00,Eternal Cities & Underground Rivers,treasure
7000204,67640,map_lot,Missionary's Cookbook [4],m60_43_50_00,Overworld m60_43_50_00,treasure
7000205,67650,map_lot,Missionary's Cookbook [3],m60_46_40_00,Overworld m60_46_40_00,treasure
7000206,67800,map_lot,Nomadic Warrior's Cookbook [4],PENDING,Limgrave,cookbook
7000207,67830,shop,Nomadic Warrior's Cookbook [5],PENDING,Limgrave,shop_merchant
7000208,67840,map_lot,Perfumer's Cookbook [1],PENDING,Altus Plateau,cookbook
7000209,67850,map_lot,Perfumer's Cookbook [2],PENDING,Altus Plateau,cookbook
7000210,67860,map_lot,Perfumer's Cookbook [3],m30_13_00_00,Hero's Graves (Catacombs),treasure
7000211,67870,map_lot,Nomadic Warrior's Cookbook [14],m60_46_40_00,Overworld m60_46_40_00,treasure
7000212,67880,map_lot,Nomadic Warrior's Cookbook [8],m31_02_00_00,Caves,emevd
7000213,67890,map_lot,Nomadic Warrior's Cookbook [22],m12_01_00_00,Eternal Cities & Underground Rivers,treasure
7000214,67900,shop,Nomadic Warrior's Cookbook [15],PENDING,Caelid,shop_merchant
7000215,67910,map_lot,Nomadic Warrior's Cookbook [24],m12_05_00_00,Eternal Cities & Underground Rivers,treasure
7000216,67920,shop,Perfumer's Cookbook [4],PENDING,Siofra River / Nokron,shop_merchant
7000217,68000,map_lot,Ancient Dragon Apostle's Cookbook [1],PENDING,Altus Plateau,cookbook
7000218,68010,shop,Ancient Dragon Apostle's Cookbook [2],PENDING,Liurnia of the Lakes,shop_merchant
7000219,68020,map_lot,Ancient Dragon Apostle's Cookbook [4],m13_00_00_00,Crumbling Farum Azula,treasure
7000220,68030,map_lot,Ancient Dragon Apostle's Cookbook [3],m60_48_36_00,Overworld m60_48_36_00,treasure
7000221,68200,map_lot,Fevor's Cookbook [1],PENDING,Limgrave,cookbook
7000222,68210,map_lot,Fevor's Cookbook [3],m11_10_00_00,Leyndell / Roundtable / Shunning-Grounds,emevd
7000223,68220,shop,Fevor's Cookbook [2],PENDING,Weeping Peninsula,shop_merchant
7000224,68230,shop,Missionary's Cookbook [7],PENDING,Siofra River / Nokron,shop_merchant
7000225,68400,map_lot,Frenzied's Cookbook [1],m60_38_48_00,Overworld m60_38_48_00,treasure
7000226,68410,map_lot,Frenzied's Cookbook [2],m35_00_00_00,Divine Tower,treasure
7000227,68510,map_lot,Forager Brood Cookbook [6],PENDING,Shadow Keep (DLC),cookbook
7000228,68520,map_lot,Forager Brood Cookbook [1],PENDING,Gravesite Plain (DLC),cookbook
7000229,68530,map_lot,Forager Brood Cookbook [2],PENDING,Land of Shadow (DLC),cookbook
7000230,68540,map_lot,Forager Brood Cookbook [3],PENDING,Cerulean Coast (DLC),cookbook
7000231,68550,map_lot,Forager Brood Cookbook [4],PENDING,Land of Shadow (DLC),cookbook
7000232,68560,map_lot,Forager Brood Cookbook [5],PENDING,Land of Shadow (DLC),cookbook
7000233,68570,map_lot,Igon's Cookbook [2],PENDING,Jagged Peak (DLC),cookbook
7000234,68580,map_lot,Finger-Weaver's Cookbook [2],PENDING,Land of Shadow (DLC),cookbook
7000235,68590,map_lot,Greater Potentate's Cookbook [1],PENDING,Land of Shadow (DLC),cookbook
7000236,68600,map_lot,Greater Potentate's Cookbook [4],PENDING,Land of Shadow (DLC),cookbook
7000237,68610,map_lot,Greater Potentate's Cookbook [5],PENDING,Land of Shadow (DLC),cookbook
7000238,68620,map_lot,Greater Potentate's Cookbook [12],PENDING,Land of Shadow (DLC),cookbook
7000239,68630,map_lot,Greater Potentate's Cookbook [7],m61_49_43_00,Land of Shadow (DLC),treasure
7000240,68640,map_lot,Greater Potentate's Cookbook [9],m61_44_46_00,Land of Shadow (DLC),treasure
7000241,68650,map_lot,Greater Potentate's Cookbook [10],PENDING,Land of Shadow (DLC),cookbook
7000242,68660,map_lot,Greater Potentate's Cookbook [11],PENDING,Land of Shadow (DLC),cookbook
7000243,68670,map_lot,Mad Craftsman's Cookbook [2],m61_50_41_00,Land of Shadow (DLC),treasure
7000244,68680,map_lot,Greater Potentate's Cookbook [8],m61_45_48_00,Land of Shadow (DLC),treasure
7000245,68690,map_lot,Greater Potentate's Cookbook [3],PENDING,Scadu Altus (DLC),cookbook
7000246,68700,map_lot,Greater Potentate's Cookbook [13],PENDING,Land of Shadow (DLC),cookbook
7000247,68710,map_lot,Greater Potentate's Cookbook [14],m61_47_39_00,Land of Shadow (DLC),treasure
7000248,68720,map_lot,Greater Potentate's Cookbook [6],PENDING,Jagged Peak (DLC),cookbook
7000249,68730,map_lot,Greater Potentate's Cookbook [2],PENDING,Land of Shadow (DLC),cookbook
7000250,68740,map_lot,Ancient Dragon Knight's Cookbook [1],PENDING,Scadu Altus (DLC),cookbook
7000251,68750,map_lot,Mad Craftsman's Cookbook [1],PENDING,Abyssal Woods (DLC),cookbook
7000252,68760,map_lot,St. Trina Disciple's Cookbook [1],m61_48_37_00,Land of Shadow (DLC),treasure
7000253,68770,map_lot,Fire Knight's Cookbook [1],PENDING,Gravesite Plain (DLC),cookbook
7000254,68780,map_lot,Ancient Dragon Knight's Cookbook [2],PENDING,Scadu Altus (DLC),cookbook
7000255,68790,map_lot,Loyal Knight's Cookbook,PENDING,Land of Shadow (DLC),cookbook
7000256,68800,map_lot,Battlefield Priest's Cookbook [1],PENDING,Shadow Keep (DLC),cookbook
7000257,68810,map_lot,Igon's Cookbook [1],PENDING,Jagged Peak (DLC),cookbook
7000258,68820,map_lot,Battlefield Priest's Cookbook [2],m61_49_43_00,Land of Shadow (DLC),treasure
7000259,68830,map_lot,Forager Brood Cookbook [7],PENDING,Land of Shadow (DLC),cookbook
7000260,68840,map_lot,St. Trina Disciple's Cookbook [3],PENDING,Land of Shadow (DLC),cookbook
7000261,68850,map_lot,Grave Keeper's Cookbook [2],m61_49_38_00,Land of Shadow (DLC),treasure
7000262,68860,map_lot,Antiquity Scholar's Cookbook [2],PENDING,Land of Shadow (DLC),cookbook
7000263,68870,map_lot,Tibia's Cookbook,PENDING,Land of Shadow (DLC),cookbook
7000264,68880,map_lot,Mad Craftsman's Cookbook [3],PENDING,Abyssal Woods (DLC),cookbook
7000265,68890,map_lot,Battlefield Priest's Cookbook [3],m61_48_46_00,Land of Shadow (DLC),treasure
7000266,68900,map_lot,Fire Knight's Cookbook [2],PENDING,Land of Shadow (DLC),cookbook
7000267,68910,enemy_lot,Antiquity Scholar's Cookbook [1],PENDING,Scadu Altus (DLC),cookbook
7000268,68920,map_lot,Finger-Weaver's Cookbook [1],m61_49_38_00,Land of Shadow (DLC),treasure
7000269,68930,map_lot,Battlefield Priest's Cookbook [4],PENDING,Shadow Keep (DLC),cookbook
7000270,68940,map_lot,Grave Keeper's Cookbook [1],m61_46_38_00,Land of Shadow (DLC),treasure
7000271,68950,map_lot,St. Trina Disciple's Cookbook [2],m61_47_35_00,Land of Shadow (DLC),treasure
7000272,69600,shop,Note: Hidden Cave,PENDING,Caelid,shop_merchant
7000273,69610,shop,Note: Imp Shades,PENDING,Multiple merchants (various regions),shop_multi
7000274,69620,shop,Note: Flask of Wondrous Physick,PENDING,Multiple merchants (various regions),shop_multi
7000275,69630,shop,Note: Stonedigger Trolls,PENDING,Multiple merchants (various regions),shop_multi
7000276,69640,shop,Note: Wandering Mausoleum,PENDING,Weeping Peninsula,shop_merchant
7000277,69650,shop,Note: Unseen Assassins,PENDING,Liurnia of the Lakes,shop_merchant
7000278,69670,shop,Note: Flame Chariots,PENDING,Limgrave,shop_merchant
7000279,69680,shop,Note: Demi-human Mobs,PENDING,Weeping Peninsula,shop_merchant
7000280,69690,shop,Note: Land Squirts,PENDING,Limgrave,shop_merchant
7000281,69700,shop,Note: Gravity's Advantage,PENDING,Caelid,shop_merchant
7000282,69710,shop,Note: Revenants,PENDING,Weeping Peninsula,shop_merchant
7000283,69720,shop,Note: Waypoint Ruins,PENDING,Limgrave,shop_merchant
7000284,69730,shop,Note: Gateway,PENDING,Caelid,shop_merchant
7000285,69740,map_lot,Note: Miquella's Needle,m35_00_00_00,Divine Tower,treasure
7000286,69750,shop,Note: Frenzied Flame Village,PENDING,Weeping Peninsula,shop_merchant
7000287,69760,map_lot,Note: The Lord of Frenzied Flame,m60_38_48_00,Overworld m60_38_48_00,treasure
7000288,69770,shop,Note: Below the Capital,PENDING,Liurnia of the Lakes,shop_merchant
