# AUTO-GENERATED by tools/build_questline_model.py -- DO NOT EDIT.
# Typed evidence union over questline_dag.tsv + questline_cc_wiki.tsv.
# This file as a compilation is CC BY-SA 4.0; project-derived rows retain their underlying status. See release/ATTRIBUTION.md.
# EVIDENCE ONLY: nothing in the world imports this table. requires/excludes are candidate facts, not access rules.
# Nodes are typed (`flag:` / `item:`); never compare their bare ids across spaces.
# MEASURED: 2073 evidence rows (2060 game-data, 13 CC-wiki), 1845 typed edges.
source_node	target_node	relation	group_id	group_semantics	evidence_kind	evidence_origin	quest	source_label	target_label	source_region	target_region	claim	source_game_ref	id_evidence	source_page	source_page_id	source_revision	source_timestamp	source_url	license
flag:7607	flag:1035467700	requires	game:questline_conditions:1035467700:m60_35_46_00.emevd.dcx.js:90005774:0	unknown	game_data	questline_conditions			Raya Lucaria Academy :: Ash of War: Raptor of the Mists - around Main Academy Gate, may be sweep-granted by Red Wolf of Radagon (m14_00) [f1035467700]		Raya Lucaria Academy	cone root BOSS_KILL(7607) at m60_35_46_00.emevd.dcx.js:90005774 set by common_func.emevd.dcx.js:90005796	event_flag:7607	questline_dag.tsv:questline_conditions						project-derived
map:m60_35	flag:1035467700	requires	game:questline_conditions:1035467700:m60_35_46_00.emevd.dcx.js:90005774:0	unknown	game_data	questline_conditions			Raya Lucaria Academy :: Ash of War: Raptor of the Mists - around Main Academy Gate, may be sweep-granted by Red Wolf of Radagon (m14_00) [f1035467700]		Raya Lucaria Academy	cone root MAP_ACCESS(m60_35) at m60_35_46_00.emevd.dcx.js:90005774 set by m60_35_46_00.emevd.dcx.js	map:m60_35	questline_dag.tsv:questline_conditions						project-derived
map:m60_35	flag:1035487100	requires	game:questline_conditions:1035487100:m60_35_48_00.emevd.dcx.js:1035482261:0	single	game_data	questline_conditions			Liurnia :: Golden Rune [6] - m60_35_48 (region unconfirmed), may be sweep-granted by Royal Revenant (m60_34_48) [f1035487100]		Liurnia	cone root MAP_ACCESS(m60_35) at m60_35_48_00.emevd.dcx.js:1035482261 set by m60_35_48_00.emevd.dcx.js	map:m60_35	questline_dag.tsv:questline_conditions						project-derived
flag:1036450800	flag:1036457400	requires	game:questline_conditions:1036457400:m60_36_45_00.emevd.dcx.js:90005860:0	unknown	game_data	questline_conditions			Liurnia :: [Sorcery] Ancient Death Rancor - around Gate Town North [f1036457400]	Liurnia	Liurnia	cone root BOSS_KILL(1036450800) at m60_36_45_00.emevd.dcx.js:90005860 set by common_func.emevd.dcx.js:90005860	event_flag:1036450800	questline_dag.tsv:questline_conditions						project-derived
map:m60_36	flag:1036457400	requires	game:questline_conditions:1036457400:m60_36_45_00.emevd.dcx.js:90005860:0	unknown	game_data	questline_conditions			Liurnia :: [Sorcery] Ancient Death Rancor - around Gate Town North [f1036457400]		Liurnia	cone root MAP_ACCESS(m60_36) at m60_36_45_00.emevd.dcx.js:90005860 set by m60_36_45_00.emevd.dcx.js	map:m60_36	questline_dag.tsv:questline_conditions						project-derived
flag:1036480800	flag:1036487400	requires	game:questline_conditions:1036487400:m60_36_48_00.emevd.dcx.js:90005860:0	unknown	game_data	questline_conditions			Liurnia :: Nightrider Glaive - around East Raya Lucaria Gate [f1036487400]	Liurnia	Liurnia	cone root BOSS_KILL(1036480800) at m60_36_48_00.emevd.dcx.js:90005860 set by common_func.emevd.dcx.js:90005300	event_flag:1036480800	questline_dag.tsv:questline_conditions						project-derived
map:m60_36	flag:1036487400	requires	game:questline_conditions:1036487400:m60_36_48_00.emevd.dcx.js:90005860:0	unknown	game_data	questline_conditions			Liurnia :: Nightrider Glaive - around East Raya Lucaria Gate [f1036487400]		Liurnia	cone root MAP_ACCESS(m60_36) at m60_36_48_00.emevd.dcx.js:90005860 set by m60_36_48_00.emevd.dcx.js	map:m60_36	questline_dag.tsv:questline_conditions						project-derived
flag:1036542350	flag:1036547100	requires	game:questline_conditions:1036547100:m60_36_54_00.emevd.dcx.js:1036542250:0	unknown	game_data	questline_conditions			Mt. Gelmir :: Larval Tear - around Ninth Mt. Gelmir Campsite, may be sweep-granted by Full-Grown Fallingstar Beast (m60_36_54) [f1036547100]	Mt. Gelmir	Mt. Gelmir	cone root BOSS_KILL(1036542350) at m60_36_54_00.emevd.dcx.js:1036542250 set by common_func.emevd.dcx.js:90005391	event_flag:1036542350	questline_dag.tsv:questline_conditions						project-derived
map:m60_36	flag:1036547100	requires	game:questline_conditions:1036547100:m60_36_54_00.emevd.dcx.js:1036542250:0	unknown	game_data	questline_conditions			Mt. Gelmir :: Larval Tear - around Ninth Mt. Gelmir Campsite, may be sweep-granted by Full-Grown Fallingstar Beast (m60_36_54) [f1036547100]		Mt. Gelmir	cone root MAP_ACCESS(m60_36) at m60_36_54_00.emevd.dcx.js:1036542250 set by m60_36_54_00.emevd.dcx.js	map:m60_36	questline_dag.tsv:questline_conditions						project-derived
flag:1037420800	flag:1037427400	requires	game:questline_conditions:1037427400:m60_37_42_00.emevd.dcx.js:90005860:0	unknown	game_data	questline_conditions			Liurnia :: Red-Feathered Branchsword - around Scenic Isle [f1037427400]	Liurnia	Liurnia	cone root BOSS_KILL(1037420800) at m60_37_42_00.emevd.dcx.js:90005860 set by common_func.emevd.dcx.js:90005860	event_flag:1037420800	questline_dag.tsv:questline_conditions						project-derived
map:m60_37	flag:1037427400	requires	game:questline_conditions:1037427400:m60_37_42_00.emevd.dcx.js:90005860:0	unknown	game_data	questline_conditions			Liurnia :: Red-Feathered Branchsword - around Scenic Isle [f1037427400]		Liurnia	cone root MAP_ACCESS(m60_37) at m60_37_42_00.emevd.dcx.js:90005860 set by m60_37_42_00.emevd.dcx.js	map:m60_37	questline_dag.tsv:questline_conditions						project-derived
flag:1037460800	flag:1037467400	requires	game:questline_conditions:1037467400:m60_37_46_00.emevd.dcx.js:90005860:0	unknown	game_data	questline_conditions			Liurnia :: Meat Peddler's Bell Bearing - Bell Bearing Hunter, may be sweep-granted by Bell Bearing Hunter (m60_37_46) [f1037467400]	Liurnia	Liurnia	cone root BOSS_KILL(1037460800) at m60_37_46_00.emevd.dcx.js:90005860 set by common_func.emevd.dcx.js:90005860	event_flag:1037460800	questline_dag.tsv:questline_conditions						project-derived
map:m60_37	flag:1037467400	requires	game:questline_conditions:1037467400:m60_37_46_00.emevd.dcx.js:90005860:0	unknown	game_data	questline_conditions			Liurnia :: Meat Peddler's Bell Bearing - Bell Bearing Hunter, may be sweep-granted by Bell Bearing Hunter (m60_37_46) [f1037467400]		Liurnia	cone root MAP_ACCESS(m60_37) at m60_37_46_00.emevd.dcx.js:90005860 set by m60_37_46_00.emevd.dcx.js	map:m60_37	questline_dag.tsv:questline_conditions						project-derived
flag:1037492181	flag:1037497300	requires	game:lot_gates:1037497300:90005792	single	game_data	lot_gates			Liurnia :: Vyke's War Spear - around Church of Inhibition, may be sweep-granted by Erdtree Avatar (m60_38_48) [f1037497300]	Liurnia	Liurnia	$InitializeCommonEvent(90005792) arg1	event_flag:1037492181	questline_dag.tsv:lot_gates						project-derived
map:m60_38	flag:1038437100	requires	game:questline_conditions:1038437100:m60_38_43_00.emevd.dcx.js:1038432261:0	single	game_data	questline_conditions			Liurnia :: Golden Rune [6] - around Gate Town Bridge, may be sweep-granted by Night's Cavalry (m60_39_43) [f1038437100]		Liurnia	cone root MAP_ACCESS(m60_38) at m60_38_43_00.emevd.dcx.js:1038432261 set by m60_38_43_00.emevd.dcx.js	map:m60_38	questline_dag.tsv:questline_conditions						project-derived
map:m60_38	flag:1038547100	requires	game:questline_conditions:1038547100:m60_38_54_00.emevd.dcx.js:90005300:0	single	game_data	questline_conditions			Mt. Gelmir :: Marais Robe - around First Mt. Gelmir Campsite, may be sweep-granted by Ulcerated Tree Spirit (m60_37_54) [f1038547100]		Mt. Gelmir	cone root MAP_ACCESS(m60_38) at m60_38_54_00.emevd.dcx.js:90005300 set by m60_38_54_00.emevd.dcx.js	map:m60_38	questline_dag.tsv:questline_conditions						project-derived
flag:1038542410	flag:1038547700	requires	game:lot_gates:1038547700:90005792	single	game_data	lot_gates			Mt. Gelmir :: Sacred Butchering Knife - around First Mt. Gelmir Campsite, may be sweep-granted by Ulcerated Tree Spirit (m60_37_54) [f1038547700]	Mt. Gelmir	Mt. Gelmir	$InitializeCommonEvent(90005792) arg1	event_flag:1038542410	questline_dag.tsv:lot_gates						project-derived
map:m60_39	flag:1039417300	requires	game:questline_conditions:1039417300:m60_39_41_00.emevd.dcx.js:1039412251:0	single	game_data	questline_conditions			Liurnia :: Golden Rune [6] - around Liurnia Highway South (1), may be sweep-granted by Adan, Thief of Fire (m60_38_41) [f1039417300]		Liurnia	cone root MAP_ACCESS(m60_39) at m60_39_41_00.emevd.dcx.js:1039412251 set by m60_39_41_00.emevd.dcx.js	map:m60_39	questline_dag.tsv:questline_conditions						project-derived
map:m60_39	flag:1039417310	requires	game:questline_conditions:1039417310:m60_39_41_00.emevd.dcx.js:1039412251:0	single	game_data	questline_conditions			Liurnia :: Golden Rune [6] - around Liurnia Highway South (2), may be sweep-granted by Adan, Thief of Fire (m60_38_41) [f1039417310]		Liurnia	cone root MAP_ACCESS(m60_39) at m60_39_41_00.emevd.dcx.js:1039412251 set by m60_39_41_00.emevd.dcx.js	map:m60_39	questline_dag.tsv:questline_conditions						project-derived
flag:1039430800	flag:1039437400	requires	game:questline_conditions:1039437400:m60_39_43_00.emevd.dcx.js:90005860:0	unknown	game_data	questline_conditions			Liurnia :: Ash of War: Ice Spear - m60_39_43 (region unconfirmed) [f1039437400]		Liurnia	cone root BOSS_KILL(1039430800) at m60_39_43_00.emevd.dcx.js:90005860 set by common_func.emevd.dcx.js:90005300	event_flag:1039430800	questline_dag.tsv:questline_conditions						project-derived
map:m60_39	flag:1039437400	requires	game:questline_conditions:1039437400:m60_39_43_00.emevd.dcx.js:90005860:0	unknown	game_data	questline_conditions			Liurnia :: Ash of War: Ice Spear - m60_39_43 (region unconfirmed) [f1039437400]		Liurnia	cone root MAP_ACCESS(m60_39) at m60_39_43_00.emevd.dcx.js:90005860 set by m60_39_43_00.emevd.dcx.js	map:m60_39	questline_dag.tsv:questline_conditions						project-derived
map:m60_39	flag:1039507100	requires	game:questline_conditions:1039507100:m60_39_50_00.emevd.dcx.js:1039502580:0	single	game_data	questline_conditions			Altus :: Godfrey Icon - Godefroy, Evergaol (region unconfirmed) [f1039507100]		Altus	cone root MAP_ACCESS(m60_39) at m60_39_50_00.emevd.dcx.js:1039502580 set by m60_39_50_00.emevd.dcx.js	map:m60_39	questline_dag.tsv:questline_conditions						project-derived
flag:1039510800	flag:1039517200	requires	game:questline_conditions:1039517200:m60_39_51_00.emevd.dcx.js:90005860:0	unknown	game_data	questline_conditions			Altus :: Ash of War: Shared Order - Night's Cavalry, may be sweep-granted by Night's Cavalry (m60_39_51) [f1039517200]	Altus	Altus	cone root BOSS_KILL(1039510800) at m60_39_51_00.emevd.dcx.js:90005860 set by common_func.emevd.dcx.js:90005300	event_flag:1039510800	questline_dag.tsv:questline_conditions						project-derived
map:m60_39	flag:1039517200	requires	game:questline_conditions:1039517200:m60_39_51_00.emevd.dcx.js:90005860:0	unknown	game_data	questline_conditions			Altus :: Ash of War: Shared Order - Night's Cavalry, may be sweep-granted by Night's Cavalry (m60_39_51) [f1039517200]		Altus	cone root MAP_ACCESS(m60_39) at m60_39_51_00.emevd.dcx.js:90005860 set by m60_39_51_00.emevd.dcx.js	map:m60_39	questline_dag.tsv:questline_conditions						project-derived
flag:1039520655	flag:1039537050	requires	game:treasure_enablers:1039537050:1039532400	all	game_data	treasure_enablers		Magician's Tower_Stopping the gimmick device	Mt. Gelmir :: Unseen Form - near Bower of Bounty, may be sweep-granted by Ulcerated Tree Spirit (m60_37_54) [f1039537050]		Mt. Gelmir	if (!EventFlag(1039530510)) { ;; WaitFor( EventFlag(1039530655) && EventFlag(1039520655) && EventFlag(1040530655) && !AllPlayersInArea(1039532260));	event_flag:1039520655	questline_dag.tsv:treasure_enablers						project-derived
flag:1039530655	flag:1039537050	requires	game:treasure_enablers:1039537050:1039532400	all	game_data	treasure_enablers		Magician's Tower_Stopping the gimmick device	Mt. Gelmir :: Unseen Form - near Bower of Bounty, may be sweep-granted by Ulcerated Tree Spirit (m60_37_54) [f1039537050]	Mt. Gelmir	Mt. Gelmir	if (!EventFlag(1039530510)) { ;; WaitFor( EventFlag(1039530655) && EventFlag(1039520655) && EventFlag(1040530655) && !AllPlayersInArea(1039532260));	event_flag:1039530655	questline_dag.tsv:treasure_enablers						project-derived
flag:1040530655	flag:1039537050	requires	game:treasure_enablers:1039537050:1039532400	all	game_data	treasure_enablers		Magician's Tower_Stopping the gimmick device	Mt. Gelmir :: Unseen Form - near Bower of Bounty, may be sweep-granted by Ulcerated Tree Spirit (m60_37_54) [f1039537050]	Altus	Mt. Gelmir	if (!EventFlag(1039530510)) { ;; WaitFor( EventFlag(1039530655) && EventFlag(1039520655) && EventFlag(1040530655) && !AllPlayersInArea(1039532260));	event_flag:1040530655	questline_dag.tsv:treasure_enablers						project-derived
flag:1039520655	flag:1039537060	requires	game:treasure_enablers:1039537060:1039532400	all	game_data	treasure_enablers		Magician's Tower_Stopping the gimmick device	Mt. Gelmir :: Slumbering Egg - near Bower of Bounty, may be sweep-granted by Ulcerated Tree Spirit (m60_37_54) [f1039537060]		Mt. Gelmir	if (!EventFlag(1039530510)) { ;; WaitFor( EventFlag(1039530655) && EventFlag(1039520655) && EventFlag(1040530655) && !AllPlayersInArea(1039532260));	event_flag:1039520655	questline_dag.tsv:treasure_enablers						project-derived
flag:1039530655	flag:1039537060	requires	game:treasure_enablers:1039537060:1039532400	all	game_data	treasure_enablers		Magician's Tower_Stopping the gimmick device	Mt. Gelmir :: Slumbering Egg - near Bower of Bounty, may be sweep-granted by Ulcerated Tree Spirit (m60_37_54) [f1039537060]	Mt. Gelmir	Mt. Gelmir	if (!EventFlag(1039530510)) { ;; WaitFor( EventFlag(1039530655) && EventFlag(1039520655) && EventFlag(1040530655) && !AllPlayersInArea(1039532260));	event_flag:1039530655	questline_dag.tsv:treasure_enablers						project-derived
flag:1040530655	flag:1039537060	requires	game:treasure_enablers:1039537060:1039532400	all	game_data	treasure_enablers		Magician's Tower_Stopping the gimmick device	Mt. Gelmir :: Slumbering Egg - near Bower of Bounty, may be sweep-granted by Ulcerated Tree Spirit (m60_37_54) [f1039537060]	Altus	Mt. Gelmir	if (!EventFlag(1039530510)) { ;; WaitFor( EventFlag(1039530655) && EventFlag(1039520655) && EventFlag(1040530655) && !AllPlayersInArea(1039532260));	event_flag:1040530655	questline_dag.tsv:treasure_enablers						project-derived
map:m60_39	flag:1039537080	requires	game:questline_conditions:1039537080:m60_39_53_00.emevd.dcx.js:1039532600:	single	game_data	questline_conditions			Mt. Gelmir :: Mirage Riddle - around Bridge of Iniquity, may be sweep-granted by Ulcerated Tree Spirit (m60_37_54) [f1039537080]		Mt. Gelmir	cone root MAP_ACCESS(m60_39) at m60_39_53_00.emevd.dcx.js:1039532600 set by m60_39_53_00.emevd.dcx.js	map:m60_39	questline_dag.tsv:questline_conditions						project-derived
flag:7603	flag:1039537700	requires	game:lot_gates:1039537700:90005774	single	game_data	lot_gates			Mt. Gelmir :: Black-Key Bolt - around Bridge of Iniquity, may be sweep-granted by Demi-Human Queen Maggie (m60_37_53) [f1039537700]		Mt. Gelmir	$InitializeCommonEvent(90005774) arg0	event_flag:7603	questline_dag.tsv:lot_gates						project-derived
flag:7603	flag:1039537700	requires	game:questline_conditions:1039537700:m60_39_53_00.emevd.dcx.js:90005774:0	unknown	game_data	questline_conditions			Mt. Gelmir :: Black-Key Bolt - around Bridge of Iniquity, may be sweep-granted by Demi-Human Queen Maggie (m60_37_53) [f1039537700]		Mt. Gelmir	cone root BOSS_KILL(7603) at m60_39_53_00.emevd.dcx.js:90005774 set by common_func.emevd.dcx.js:90005796	event_flag:7603	questline_dag.tsv:questline_conditions						project-derived
map:m60_39	flag:1039537700	requires	game:questline_conditions:1039537700:m60_39_53_00.emevd.dcx.js:90005774:0	unknown	game_data	questline_conditions			Mt. Gelmir :: Black-Key Bolt - around Bridge of Iniquity, may be sweep-granted by Demi-Human Queen Maggie (m60_37_53) [f1039537700]		Mt. Gelmir	cone root MAP_ACCESS(m60_39) at m60_39_53_00.emevd.dcx.js:90005774 set by m60_39_53_00.emevd.dcx.js	map:m60_39	questline_dag.tsv:questline_conditions						project-derived
flag:1040403500	flag:1040407000	unknown	game:treasure_enablers:1040407000:90005422	unknown	game_data	treasure_enablers			Liurnia :: Treespear - near Lake-Facing Cliffs (region unconfirmed), may be sweep-granted by Adan, Thief of Fire (m60_38_41) [f1040407000]		Liurnia	if (EventFlag(1040408500)) { ;; > WaitFor( (PlayerIsInOwnWorld() && ObjActEventFlag(1040403500)) || AssetDestroyed(1040401500));	event_flag:1040403500	questline_dag.tsv:treasure_enablers						project-derived
flag:1040408500	flag:1040407000	requires	game:treasure_enablers:1040407000:90005422	unknown	game_data	treasure_enablers			Liurnia :: Treespear - near Lake-Facing Cliffs (region unconfirmed), may be sweep-granted by Adan, Thief of Fire (m60_38_41) [f1040407000]		Liurnia	if (EventFlag(1040408500)) { ;; > WaitFor( (PlayerIsInOwnWorld() && ObjActEventFlag(1040403500)) || AssetDestroyed(1040401500));	event_flag:1040408500	questline_dag.tsv:treasure_enablers						project-derived
map:m60_42	flag:1042337100	requires	game:questline_conditions:1042337100:m60_42_33_00.emevd.dcx.js:90005880:0	single	game_data	questline_conditions			Weeping :: Radagon's Scarseal - Ancient Hero of Zamor, may be sweep-granted by Ancient Hero of Zamor (m60_42_33) [f1042337100]		Weeping	cone root MAP_ACCESS(m60_42) at m60_42_33_00.emevd.dcx.js:90005880 set by m60_42_33_00.emevd.dcx.js	map:m60_42	questline_dag.tsv:questline_conditions						project-derived
flag:1043379262	flag:1042377700	requires	game:lot_gates:1042377700:90005774	single	game_data	lot_gates		NPC318_Host of Chaos_During the battle with Nerius_Switching process	Limgrave :: Reduvia - near Murkwater Cave, may be sweep-granted by Night's Cavalry (m60_43_37) [f1042377700]	Limgrave	Limgrave	$InitializeCommonEvent(90005774) arg0	event_flag:1043379262	questline_dag.tsv:lot_gates						project-derived
flag:1043379262	flag:1042377700	requires	game:questline_conditions:1042377700:m60_43_37_00.emevd.dcx.js:90005774:0	unknown	game_data	questline_conditions		NPC318_Host of Chaos_During the battle with Nerius_Switching process	Limgrave :: Reduvia - near Murkwater Cave, may be sweep-granted by Night's Cavalry (m60_43_37) [f1042377700]	Limgrave	Limgrave	cone root BOSS_KILL(1043379262) at m60_43_37_00.emevd.dcx.js:90005774 set by m60_43_37_00.emevd.dcx.js:1043373722	event_flag:1043379262	questline_dag.tsv:questline_conditions						project-derived
map:m60_43	flag:1042377700	requires	game:questline_conditions:1042377700:m60_43_37_00.emevd.dcx.js:90005774:0	unknown	game_data	questline_conditions			Limgrave :: Reduvia - near Murkwater Cave, may be sweep-granted by Night's Cavalry (m60_43_37) [f1042377700]		Limgrave	cone root MAP_ACCESS(m60_43) at m60_43_37_00.emevd.dcx.js:90005774 set by m60_43_37_00.emevd.dcx.js	map:m60_43	questline_dag.tsv:questline_conditions						project-derived
flag:1042380800	flag:1042387400	requires	game:questline_conditions:1042387400:m60_42_38_00.emevd.dcx.js:90005860:0	unknown	game_data	questline_conditions			Limgrave :: Blue-Feathered Branchsword - Deathbird, may be sweep-granted by Deathbird (m60_42_38) [f1042387400]	Limgrave	Limgrave	cone root BOSS_KILL(1042380800) at m60_42_38_00.emevd.dcx.js:90005860 set by common_func.emevd.dcx.js:90005860	event_flag:1042380800	questline_dag.tsv:questline_conditions						project-derived
map:m60_42	flag:1042387400	requires	game:questline_conditions:1042387400:m60_42_38_00.emevd.dcx.js:90005860:0	unknown	game_data	questline_conditions			Limgrave :: Blue-Feathered Branchsword - Deathbird, may be sweep-granted by Deathbird (m60_42_38) [f1042387400]		Limgrave	cone root MAP_ACCESS(m60_42) at m60_42_38_00.emevd.dcx.js:90005860 set by m60_42_38_00.emevd.dcx.js	map:m60_42	questline_dag.tsv:questline_conditions						project-derived
