# AUTO-GENERATED by tools/datamine_item_grace_coords.py (run on Windows). Map-local XYZ.
kind	key	map_id	x	y	z	name
item	10007430	m10_00_00_00	-203.26	71.952	139.4	
item	10007440	m10_00_00_00	-211.687	56.386	101.831	
item	10007460	m10_00_00_00	-206.752	67.66177	103.515	
item	10007470	m10_00_00_00	-227.921	101.006935	101.53	
item	67030	m10_00_00_00	-199.304	78.614	198.542	
item	10007500	m10_00_00_00	-217.88	67.107	76.534	
item	10007510	m10_00_00_00	-180.429	38.306	31.256	
item	10007520	m10_00_00_00	-113.841	21.115	25.019	
item	10007530	m10_00_00_00	-116.231	21.250967	29.523	
item	10007540	m10_00_00_00	-121.811	21.2	28.855	
item	10007550	m10_00_00_00	-151.563	52.774	130.342	
item	10007560	m10_00_00_00	-110.419	30.074	4.907	
item	10007570	m10_00_00_00	-209.952	67.734	175.04	
item	10007580	m10_00_00_00	-122.455	29.916	17.533	
item	10007590	m10_00_00_00	-178.468	42.2648	61.609	
item	10007600	m10_00_00_00	-188.913	52.502	57.26	
item	10007610	m10_00_00_00	-249.172	72.69	165.166	
item	10007620	m10_00_00_00	-224.858	66.804	188.467	
item	10007630	m10_00_00_00	-235.626	69.88832	227.515	
item	10007640	m10_00_00_00	-275.92	71.388	227.365	
item	10007650	m10_00_00_00	-218.743	66.87	185.656	
item	10007660	m10_00_00_00	-201.299	65.68	177.302	
item	10007670	m10_00_00_00	-231.971	66.812	179.453	
item	10007680	m10_00_00_00	-226.864	67.412	229.899	
item	10007690	m10_00_00_00	-226.115	66.737	181.965	
item	10007700	m10_00_00_00	-232.292	66.714	185.934	
item	10007710	m10_00_00_00	-250.879	77.903	240.968	
item	10007720	m10_00_00_00	-185.872	74.875	232.581	
item	10007740	m10_00_00_00	-146.411	75.037	259.12	
item	10007750	m10_00_00_00	-189.701	73.24	218.793	
item	10007760	m10_00_00_00	-321.554	70.459	234.86	
item	66010	m10_00_00_00	-266.148	88.304	260.007	
item	10007780	m10_00_00_00	-242.386	66.395	210.287	
item	10007790	m10_00_00_00	-216.704	88.313	296.833	
item	10007800	m10_00_00_00	-222.559	95.314	276.344	
item	10007810	m10_00_00_00	-186.741	82.857	247.37	
item	10007820	m10_00_00_00	-265.616	96.839745	267.972	
item	10007830	m10_00_00_00	-266.611	96.816	264.017	
item	10007840	m10_00_00_00	-313.984	89.51	276.101	
item	10007860	m10_00_00_00	-305.633	69.249	239.045	
item	10007870	m10_00_00_00	-283.371	47.244	228.847	
item	10007880	m10_00_00_00	-300.098	61.526	201.058	
item	10007890	m10_00_00_00	-298.496	31.6	240.879	
item	10007900	m10_00_00_00	-289.057	23.595	190.45	
item	10007910	m10_00_00_00	-261.246	13.870606	155.325	
item	10007920	m10_00_00_00	-253.964	13.873685	147.13	
item	10007930	m10_00_00_00	-258.985	13.861794	143.5	
item	10007940	m10_00_00_00	-242.59	13.841	96.253	
item	10007950	m10_00_00_00	-175.804	58.01	171.377	
item	66020	m10_00_00_00	-267.777	88.285	267.754	
item	10007005	m10_00_00_00	-216.683	72.642	214.368	
item	10007015	m10_00_00_00	-251.741	65.778	110.577	
item	10007025	m10_00_00_00	-254.638	65.78	121.156	
item	10007035	m10_00_00_00	-227.601	70.028	42.453	
item	10007960	m10_00_00_00	-202.888	76.375	106.719	
item	10007970	m10_00_00_00	-196.54	76.82472	87.18	
item	10007980	m10_00_00_00	-214.491	67.367	128.992	
item	10007990	m10_00_00_00	-206.548	52.447006	77.471	
item	10007965	m10_00_00_00	-199.118	52.457	83.062	
item	10007975	m10_00_00_00	-225.49	67.103	90.223	
item	60210	m10_01_00_00	-21.577	39.341	-178.491	
item	10017010	m10_01_00_00	-40.808	43.53	-159.328	
item	10017900	m10_01_00_00	-40.351	45.529	-177.719	
item	400370	m11_00_00_00	-250.98	27.02	-460.55	
item	11007983	m11_00_00_00	-175.484	-66.452	-263.714	
item	11007992	m11_00_00_00	-206.599	-63.884	-207.348	
item	11007005	m11_00_00_00	-293.251	-32.635	-290.867	
item	11007015	m11_00_00_00	-174.652	39.996	-386.477	
item	11007025	m11_00_00_00	-169.079	40.015	-406.347	
item	11007035	m11_00_00_00	-218.668	-64.705	-216.608	
item	11007045	m11_00_00_00	-219.493	-65.022	-216.223	
item	11007055	m11_00_00_00	-289.655	-22.573	-314.893	
item	11007065	m11_00_00_00	-322.783	-20.96	-307.933	
item	11007075	m11_00_00_00	-282.787	-21.223	-325.592	
item	11007085	m11_00_00_00	-187.414	-59.572	-167.112	
item	11007095	m11_00_00_00	-167.987	-73.493	-125.609	
item	11007105	m11_00_00_00	-320.01	-35.29	-255.047	
item	11007115	m11_00_00_00	-207.663	-20.03	-279.305	
item	11007125	m11_00_00_00	-295.153	-32.678	-318.581	
item	11007135	m11_00_00_00	-166.768	-33.877	-267.64	
item	11007800	m11_00_00_00	-271.005	-27.959	-241.799	
item	11007155	m11_00_00_00	-67.757	-48.388	-99.079	
item	11007165	m11_00_00_00	-52.582	-39.418	-260.712	
item	11007175	m11_00_00_00	-199.355	-36.211	-344.781	
item	11007205	m11_00_00_00	-181.921	-34.97	-269.188	
item	11007215	m11_00_00_00	-16.218	-3.574	-154.067	
item	11007225	m11_00_00_00	-210.862	-40.511	-239.28	
item	11007235	m11_00_00_00	-213.793	-36.622	-247.477	
item	11007245	m11_00_00_00	-232.29	-12.027	-245.511	
item	11007991	m11_00_00_00	-47.41	48.737	-304.66	
item	11007990	m11_00_00_00	-203.593	-15.986	-324.867	
item	65660	m11_00_00_00	-286.479	-22.707	-313.891	
item	11007997	m11_00_00_00	-163.573	-26.617	-258.892	
item	11007996	m11_00_00_00	-341.2	27.548	-396.465	
item	11007000	m11_00_00_00	-29.678	1.004	4.141	
item	11007010	m11_00_00_00	-0.019	2.897	6.288	
item	11007020	m11_00_00_00	-215.219	-73.407	-165.007	
item	11007030	m11_00_00_00	-28.194	-11.735	-155.093	
item	11007040	m11_00_00_00	-24.072	-11.93	-200.176	
item	11007050	m11_00_00_00	-27.427	-16.989	-225.467	
item	11007060	m11_00_00_00	-74.955	-34.977	-211.484	
item	11007070	m11_00_00_00	-262.038	-73.396	-195.753	
item	11007080	m11_00_00_00	-49.468	-30.54	-238.473	
item	11007090	m11_00_00_00	-56.837	-40.952	-233.555	
item	11007100	m11_00_00_00	-108.614	-40.835	-218.294	
item	11007110	m11_00_00_00	-65.585	-40.985	-215.707	
item	11007120	m11_00_00_00	-79.821	-40.932	-220.45	
item	66710	m11_00_00_00	-61.955	-28.984	-221.525	
item	11007140	m11_00_00_00	-92.245	-42.988	-202.073	
item	11007150	m11_00_00_00	-145.586	-44.718	-177.132	
item	11007160	m11_00_00_00	-145.244	-42.247	-194.43	
item	11007170	m11_00_00_00	-203.695	-42.811	-236.807	
item	11007180	m11_00_00_00	-108.646	-45.985	-201.457	
item	11007190	m11_00_00_00	-140.714	-39.016	-205.356	
item	11007200	m11_00_00_00	-47.771	-37.346	-255.511	
item	11007210	m11_00_00_00	-43.085	-36.073	-260.447	
item	11007220	m11_00_00_00	-115.177	-35.041	-260.761	
item	11007230	m11_00_00_00	-146.366	-35.031	-261.515	
item	11007240	m11_00_00_00	-167.402	-34.985	-295.205	
item	11007250	m11_00_00_00	-158.671	-39.289	-275.775	
item	11007260	m11_00_00_00	-199.245	-36.479	-339.506	
item	11007270	m11_00_00_00	-195.881	-45.985	-284.498	
item	11007280	m11_00_00_00	-115.075	-45.465	-161.493	
item	11007290	m11_00_00_00	-83.003	-40.997	-169.138	
item	11007300	m11_00_00_00	-33.262	-39.888	-175.855	
item	11007310	m11_00_00_00	-70.037	-45.942	-172.04	
item	11007320	m11_00_00_00	-35.21	-45.985	-173.585	
item	11007330	m11_00_00_00	-81.617	-48.41	-92.194	
item	11007340	m11_00_00_00	-71.561	-22.432	-215.196	
item	11007350	m11_00_00_00	-207.246	-49.87	-181.819	
item	11007360	m11_00_00_00	-88.019	-32.559	-179.26	
item	11007370	m11_00_00_00	-93.583	-30.334	-195.327	
item	11007380	m11_00_00_00	-65.282	-35.076	-135.514	
item	11007390	m11_00_00_00	-50.924	-33.511	-155.846	
item	11007400	m11_00_00_00	2.258	-46.133	-128.803	
item	11007410	m11_00_00_00	69.269	-27.579	-143.739	
item	11007420	m11_00_00_00	74.635	-24.226	-138.965	
item	11007430	m11_00_00_00	40.375	-29.695	-75.048	
item	11007440	m11_00_00_00	56.669	-36.405	-78.083	
item	11007450	m11_00_00_00	58.925	-46.228	-164.861	
item	11007460	m11_00_00_00	76.241	-46.185	-183.957	
item	66720	m11_00_00_00	84.944	-46.092	-237.737	
item	11007480	m11_00_00_00	-132.35	-64.37	-153.482	
item	11007490	m11_00_00_00	-162.744	-62.896	-166.102	
item	11007500	m11_00_00_00	-154.415	-63.365	-139.217	
item	11007510	m11_00_00_00	-145.004	-62.735	-158.004	
item	11007520	m11_00_00_00	-222.329	-67.908	-130.698	
item	11007530	m11_00_00_00	-228.637	-67.866	-119.331	
item	11007540	m11_00_00_00	-191.023	-62.11	-178.053	
item	11007550	m11_00_00_00	-207.706	-73.375	-158.624	
item	66130	m11_00_00_00	-202.749	-67.985	-159.343	
item	11007570	m11_00_00_00	-176.486	-73.422	-261.367	
item	11007580	m11_00_00_00	-240.142	-73.466	-158.108	
item	11007590	m11_00_00_00	-274.095	-76.443	-145.918	
item	11007600	m11_00_00_00	-225.352	-73.481	-235.454	
item	11007610	m11_00_00_00	-305.222	-64.973	-158.941	
item	11007620	m11_00_00_00	-240.687	-64.985	-155.828	
item	11007630	m11_00_00_00	-260.89	-64.985	-186.66	
item	11007640	m11_00_00_00	-214.048	-64.981	-144.716	
item	11007650	m11_00_00_00	-208.402	-65.146	-198.123	
item	11007660	m11_00_00_00	-230.6	-56.379	-129.892	
item	11007670	m11_00_00_00	-178.951	-58.354	-146.599	
item	11007680	m11_00_00_00	-264.307	-54.953	-113.641	
item	11007690	m11_00_00_00	-300.937	-32.64	-317.162	
item	11007700	m11_00_00_00	-286.719	-32.59	-268.986	
item	11007710	m11_00_00_00	-254.676	-24.023	-312.391	
item	11007720	m11_00_00_00	-275.718	-27.798	-306.374	
item	11007730	m11_00_00_00	-279.716	-76.505	-144.81	
item	11007740	m11_00_00_00	-313.229	-21.609	-266.908	
item	11007750	m11_00_00_00	-286.995	-34.606	-189.183	
item	11007760	m11_00_00_00	-302.179	-18.992	-296.226	
item	11007770	m11_00_00_00	-255.699	-34.728	-217.492	
item	11007780	m11_00_00_00	-279.186	-29.541	-247.53	
item	11007790	m11_00_00_00	-344.271	-35.506	-235.955	
item	11007145	m11_00_00_00	-370.246	-34.01	-229.08	
item	11007810	m11_00_00_00	-274.721	-76.489	-152.742	
item	11007820	m11_00_00_00	-215.528	-24.733	-291.695	
item	11007830	m11_00_00_00	-221.787	-19.201	-247.534	
item	11007840	m11_00_00_00	-238.006	-14.985	-219.73	
item	11007850	m11_00_00_00	-274.777	-22.141	-259.063	
item	11007860	m11_00_00_00	-247.74	29.92	-486.87	
item	11007870	m11_00_00_00	-383.575	28.627	-415.153	
item	11007880	m11_00_00_00	-279.53	28.62	-474.39	
item	11007890	m11_00_00_00	-184.254	14.794	-406.576	
item	11007900	m11_00_00_00	-223.206	-35.793	-369.225	
item	11007910	m11_00_00_00	-132.562	46.262	-386.511	
item	11007920	m11_00_00_00	-169.202	30.041	-368.573	
item	11007930	m11_00_00_00	-92.591	34.254	-432.99	
item	11007940	m11_00_00_00	-153.597	-20.726	-325.791	
item	11007950	m11_00_00_00	-272.056	-32.855	-184.207	
item	11007960	m11_00_00_00	-279.305	-21.598	-323.709	
item	11007970	m11_00_00_00	-357.578	-17.994	-328.044	
item	11007980	m11_00_00_00	-193.957	-66.931	-175.259	
item	11007994	m11_00_00_00	-485.298	32.109	-292.279	
item	400370	m11_05_00_00	-162.84	-23.1	-271.34	
item	11057000	m11_05_00_00	-46.999	48.84	-304.846	
item	11057010	m11_05_00_00	-256.303	-25.868	-268.213	
item	11057020	m11_05_00_00	-178.678	-44.62	-204.367	
item	11057030	m11_05_00_00	-133.651	-24.664	-241.451	
item	11057040	m11_05_00_00	-192.056	-28.327	-253.473	
item	11057050	m11_05_00_00	-144.944	-7.495	-295.1	
item	11057100	m11_05_00_00	10.34	-41.365	-240.083	
item	11007850	m11_05_00_00	-276.709	-29.657	-236.88	
item	11007000	m11_05_00_00	-29.678	1.004	4.141	
item	11007010	m11_05_00_00	-0.019	2.897	6.288	
item	11007030	m11_05_00_00	-28.194	-11.735	-155.093	
item	11007040	m11_05_00_00	-24.072	-11.93	-200.176	
item	11007410	m11_05_00_00	69.269	-27.579	-143.739	
item	11007420	m11_05_00_00	74.635	-24.226	-138.965	
item	11007430	m11_05_00_00	40.375	-29.695	-75.048	
item	11007440	m11_05_00_00	56.669	-36.405	-78.083	
item	11007820	m11_05_00_00	-215.528	-24.733	-291.695	
item	11007830	m11_05_00_00	-221.787	-19.201	-247.534	
item	11007840	m11_05_00_00	-238.006	-14.985	-219.73	
item	11007860	m11_05_00_00	-247.738	29.917	-486.868	
item	11007870	m11_05_00_00	-383.575	28.627	-415.153	
item	11007880	m11_05_00_00	-279.527	28.623	-474.391	
item	11007890	m11_05_00_00	-184.254	14.794	-406.576	
item	11007900	m11_05_00_00	-223.206	-35.793	-369.225	
item	11007910	m11_05_00_00	-132.562	46.262	-386.511	
item	11007920	m11_05_00_00	-169.202	30.041	-368.573	
item	11007930	m11_05_00_00	-92.591	34.254	-432.99	
item	11007950	m11_05_00_00	-272.056	-32.855	-184.207	
item	11007025	m11_05_00_00	-169.079	40.015	-406.347	
item	11007990	m11_05_00_00	-203.593	-15.986	-324.867	
item	11007115	m11_05_00_00	-207.663	-20.03	-279.305	
item	11007994	m11_05_00_00	-485.298	32.109	-292.279	
item	11007996	m11_05_00_00	-341.096	27.502	-396.391	
item	11007015	m11_05_00_00	-174.652	39.996	-386.477	
item	11007215	m11_05_00_00	-16.218	-3.574	-154.067	
item	11007245	m11_05_00_00	-232.29	-12.027	-245.511	
item	400451	m11_10_00_00	-313.865	-21.96	-305.45	
item	400349	m11_10_00_00	-257.48	-22.609	-291.21	
item	400381	m11_10_00_00	-276.71	-22.61	-259.315	
item	400370	m11_10_00_00	-325.948	-21.96	-298.623	
item	400421	m11_10_00_00	-308.888	-22.609	-280.633	
item	11107000	m11_10_00_00	-315.052	-31.579	-262.887	
item	11107700	m11_10_00_00	-284.693	-32.608	-327.654	
item	11107710	m11_10_00_00	-295.264	-32.608	-318.545	
item	400918	m12_01_00_00	-15.027	-203.731	-34.859	
item	12017999	m12_01_00_00	-365.141	-292.897	-308.386	
item	62060	m12_01_00_00	-5.202	-203.883	-36.207	
item	62061	m12_01_00_00	-297.681	-316.544	-105.669	
item	67890	m12_01_00_00	-523.009	-315.146	-385.606	
item	12017030	m12_01_00_00	-104.725	-308.618	-419.235	
item	12017040	m12_01_00_00	194.387	-205.848	-147.817	
item	12017050	m12_01_00_00	154.656	-205.558	-162.715	
item	12017060	m12_01_00_00	139.952	-204.513	-181.435	
item	12017070	m12_01_00_00	372.311	-153.779	-12.329	
item	12017080	m12_01_00_00	154.839	-201.555	-185.744	
item	12017090	m12_01_00_00	-339.61	-292.882	-292.083	
item	12017100	m12_01_00_00	-230.191	-154.805	228.426	
item	12017110	m12_01_00_00	-339.909	-316.505	-121.785	
item	12017120	m12_01_00_00	-379.905	-316.49	-156.414	
item	12017130	m12_01_00_00	-315.576	-316.49	-223.485	
item	12017140	m12_01_00_00	-240.876	-316.562	-328.911	
item	12017150	m12_01_00_00	295.289	-172.657	-196.754	
item	12017160	m12_01_00_00	210.119	-181.592	-175.027	
item	12017170	m12_01_00_00	342.117	-159.417	-122.581	
item	12017180	m12_01_00_00	-69.453	-210.823	-138.089	
item	12017190	m12_01_00_00	370.231	-166.9	-182.478	
item	12017200	m12_01_00_00	291.063	-172.277	-182.834	
item	12017210	m12_01_00_00	216.34	-181.602	-190.369	
item	12017220	m12_01_00_00	56.519	-213.346	-94.011	
item	12017230	m12_01_00_00	95.684	-192.724	-45.389	
item	12017240	m12_01_00_00	31.204	-204.45	-81.835	
item	12017250	m12_01_00_00	67.081	-209.638	-90.173	
item	12017260	m12_01_00_00	5.717	-201.789	-94.611	
item	12017270	m12_01_00_00	126.919	-188.461	-171.213	
item	12017280	m12_01_00_00	-66.052	-211.612	-137.647	
item	12017290	m12_01_00_00	-70.891	-212.427	-133.79	
item	12017300	m12_01_00_00	-80.729	-210.955	-130.818	
item	12017310	m12_01_00_00	-120.121	-204.612	-154.514	
item	12017320	m12_01_00_00	-140.519	-199.017	-170.502	
item	12017330	m12_01_00_00	-98.548	-224.067	-26.978	
item	12017340	m12_01_00_00	92.576	-213.274	-52.424	
item	12017350	m12_01_00_00	126.829	-197.231	-179.289	
item	12017360	m12_01_00_00	367.106	-156.879	-74.135	
item	12017370	m12_01_00_00	-281.157	-316.522	-63.054	
item	12017380	m12_01_00_00	-170.522	-316.321	-101.03	
item	12017390	m12_01_00_00	300.742	-171.123	-182.103	
item	12017400	m12_01_00_00	56.055	-206.801	-41.882	
item	12017410	m12_01_00_00	51.589	-211.726	-93.437	
item	12017420	m12_01_00_00	51.049	-210.377	-90.353	
item	12017430	m12_01_00_00	54.741	-213.778	-99.507	
item	12017440	m12_01_00_00	84.744	-204.981	-82.614	
item	12017450	m12_01_00_00	-175.017	-313.074	-218.296	
item	12017460	m12_01_00_00	-145.569	-308.57	-407.408	
item	12017470	m12_01_00_00	-433.3	-316.71	-434.671	
item	12017480	m12_01_00_00	-206.877	-316.601	-306.084	
item	12017490	m12_01_00_00	-232.412	-316.579	-310.411	
item	12017500	m12_01_00_00	319.509	-79.971	150.155	
item	12017510	m12_01_00_00	338.616	-78.723	150.99	
item	12017520	m12_01_00_00	52.746	-146.357	-23.225	
item	12017530	m12_01_00_00	318.606	-79.978	115.866	
item	12017540	m12_01_00_00	191.901	-104.922	52.844	
item	12017550	m12_01_00_00	126.913	-131.595	34.599	
item	12017560	m12_01_00_00	131.905	-130.571	28.127	
item	12017570	m12_01_00_00	-0.714	-163.691	-60.78	
item	12017580	m12_01_00_00	357.176	-79.987	93.835	
item	12017590	m12_01_00_00	305.976	-80.085	109.623	
item	12017600	m12_01_00_00	-108.793	-170.38	183.464	
item	12017610	m12_01_00_00	-25.693	-149.28	98.796	
item	12017620	m12_01_00_00	0.071	-163.819	174.35	
item	12017630	m12_01_00_00	-61.312	-136.96	65.83	
item	12017640	m12_01_00_00	-55.795	-135.462	142.624	
item	12017650	m12_01_00_00	-97.706	-129.03	178.31	
item	12017660	m12_01_00_00	-53.657	-135.448	124.935	
item	12017670	m12_01_00_00	-119.213	-111.034	238.105	
item	12017680	m12_01_00_00	-113.714	-119.967	222.196	
item	12017710	m12_01_00_00	365.3	-79.353	61.771	
item	12017720	m12_01_00_00	-215.666	-167.286	275.416	
item	12017730	m12_01_00_00	16.754	-159.759	73.901	
item	12017740	m12_01_00_00	12.335	-164.232	166.434	
item	12017750	m12_01_00_00	-27.933	-162.608	256.581	
item	12017760	m12_01_00_00	-94.214	-164.697	201.578	
item	12017770	m12_01_00_00	-36.955	-164.03	212.098	
item	12017780	m12_01_00_00	-184.095	-167.776	161.466	
item	12017790	m12_01_00_00	-270.799	-170.22	173.408	
item	12017800	m12_01_00_00	-269.368	-280.118	81.146	
item	12017810	m12_01_00_00	-279.713	-280.743	76.866	
item	12017820	m12_01_00_00	-469.099	-340.737	-516.584	
item	12017830	m12_01_00_00	-558.652	-372.425	-543.486	
item	12017840	m12_01_00_00	-553.206	-373.263	-548.292	
item	12017850	m12_01_00_00	-448.171	-373.321	-546.722	
item	12017860	m12_01_00_00	-419.386	-373.63	-482.991	
item	12017870	m12_01_00_00	-413.576	-373.623	-482.485	
item	12017880	m12_01_00_00	-277.711	-316.071	-16.072	
item	12017890	m12_01_00_00	-419.783	-316.475	-131.119	
item	12017690	m12_01_00_00	-79.275	-128.994	237.44	
item	12017700	m12_01_00_00	-146.013	-111.059	282.796	
item	12017900	m12_01_00_00	-0.824	-163.708	-46.209	
item	12017910	m12_01_00_00	-178.18	-224.464	135.209	
item	12017920	m12_01_00_00	-627.311	-364.852	-552.801	
item	12017940	m12_01_00_00	-73.107	-135.448	128.035	
item	12017950	m12_01_00_00	-143.081	-159.005	172.799	
item	12017960	m12_01_00_00	-329.098	-90.364	273.465	
item	12017970	m12_01_00_00	-29.361	-154.989	67.485	
item	12017980	m12_01_00_00	-57.922	-136.951	74.455	
item	12017990	m12_01_00_00	-73.631	-129.013	125.643	
item	400348	m12_02_00_00	1340.06	-626.74	1850.21	
item	400917	m12_02_00_00	1263.398	-811.719	1524.262	
item	12027000	m12_02_00_00	1549.434	-758.178	1157.633	
item	65720	m12_02_00_00	1030.872	-647.279	1350.731	
item	67630	m12_02_00_00	1192.681	-631.151	1732.402	
item	12027030	m12_02_00_00	1062.382	-800.795	1211.935	
item	12027040	m12_02_00_00	1383.854	-777.913	1764.673	
item	12027050	m12_02_00_00	1293.595	-748.455	1767.397	
item	62063	m12_02_00_00	1183.373	-822.936	1232.6	
item	12027100	m12_02_00_00	992.137	-844.453	1275.135	
item	12027110	m12_02_00_00	945.294	-853.103	1300.188	
item	12027120	m12_02_00_00	1069.074	-822.22	1230.99	
item	67300	m12_02_00_00	1042.862	-819.014	1266.032	
item	12027140	m12_02_00_00	1052.979	-800.704	1218.713	
item	12027150	m12_02_00_00	1175.99	-819.581	1316.194	
item	12027160	m12_02_00_00	1111.458	-811.063	1246.953	
item	12027170	m12_02_00_00	1381.805	-818.451	1369.971	
item	12027180	m12_02_00_00	1400.451	-818.29	1357.415	
item	12027190	m12_02_00_00	1406.86	-817.029	1317.179	
item	12027200	m12_02_00_00	1418.206	-816.518	1385.772	
item	12027210	m12_02_00_00	1435.078	-797.544	1437.387	
item	12027220	m12_02_00_00	1477.44	-805.35	1413.738	
item	12027230	m12_02_00_00	1445.066	-817.558	1374.559	
item	12027240	m12_02_00_00	1422.706	-820.036	1391.935	
item	12027250	m12_02_00_00	1293.121	-820.79	1356.843	
item	12027260	m12_02_00_00	1168.044	-817.678	1374.242	
item	12027270	m12_02_00_00	1249.738	-820.79	1462.807	
item	12027280	m12_02_00_00	1205.431	-820.79	1473.548	
item	12027290	m12_02_00_00	1220.994	-820.79	1453.969	
item	12027300	m12_02_00_00	1240.076	-820.134	1532.528	
item	12027310	m12_02_00_00	1251.89	-811.777	1532.461	
item	12027320	m12_02_00_00	1193.812	-829.176	1218.577	
item	12027330	m12_02_00_00	1348.308	-801.138	1464.348	
item	12027340	m12_02_00_00	1377.293	-801.109	1468.66	
item	12027350	m12_02_00_00	1341.441	-815.152	1479.183	
item	12027360	m12_02_00_00	1307.472	-820.176	1491.33	
item	12027370	m12_02_00_00	1252.188	-816.863	1262.058	
item	12027380	m12_02_00_00	1372.372	-802.883	1254.779	
item	12027390	m12_02_00_00	1456.02	-758.024	1213.136	
item	12027400	m12_02_00_00	1403.496	-813.117	1594.996	
item	12027410	m12_02_00_00	1433.541	-810.38	1607.927	
item	12027420	m12_02_00_00	1220.074	-830.362	1198.173	
item	12027430	m12_02_00_00	1509.547	-782.294	1780.858	
item	12027440	m12_02_00_00	1577.086	-779.388	1810.541	
item	12027450	m12_02_00_00	1394.631	-783.983	1730.333	
item	12027460	m12_02_00_00	1306.345	-786.231	1905.592	
item	12027470	m12_02_00_00	1573.188	-759.5	1896.899	
item	12027490	m12_02_00_00	1239.573	-691.669	1538.02	
item	12027480	m12_02_00_00	1076.253	-805.919	1376.29	
item	12027500	m12_02_00_00	1077.91	-611.982	1270.443	
item	12027510	m12_02_00_00	1175.291	-612.086	1365.159	
item	12027520	m12_02_00_00	1146.203	-617.697	1415.335	
item	12027530	m12_02_00_00	1081.149	-620.194	1485.752	
item	12027540	m12_02_00_00	1069.028	-618.234	1495.14	
item	12027550	m12_02_00_00	1078.253	-615.889	1504.693	
item	12027560	m12_02_00_00	1093.829	-609.238	1592.211	
item	12027570	m12_02_00_00	1070.617	-610.578	1579.192	
item	12027580	m12_02_00_00	1067.949	-602.151	1594.953	
item	12027590	m12_02_00_00	1163.256	-621.876	1548.119	
item	12027600	m12_02_00_00	1124.715	-620.061	1529.736	
item	12027610	m12_02_00_00	1153.411	-614.765	1479.769	
item	12027620	m12_02_00_00	1178.966	-583.124	1622.727	
item	12027630	m12_02_00_00	1167.821	-587.371	1684.511	
item	12027640	m12_02_00_00	1089.436	-595.455	1649.131	
item	12027650	m12_02_00_00	998.211	-602.079	1576.78	
item	12027660	m12_02_00_00	990.089	-603.147	1564.468	
item	12027670	m12_02_00_00	975.644	-597.648	1584.539	
item	12027680	m12_02_00_00	939.123	-609.286	1535.611	
item	12027690	m12_02_00_00	916.73	-604.605	1728.105	
item	12027710	m12_02_00_00	1192.149	-641.834	1431.097	
item	12027720	m12_02_00_00	1224.164	-691.688	1524.946	
item	12027730	m12_02_00_00	1240.419	-690.72	1517.011	
item	12027740	m12_02_00_00	1351.891	-699.553	1478.394	
