# AUTO-GENERATED by tools/datamine_grace_ground.py --emit -- DO NOT EDIT.
# Per warp grace: the play_region BUCKET(s) of the ground it stands on (kick-watch
#   id space, PlayRegionParam.ID // 100), derived from MSB Region/PlayArea volumes +
#   PlayRegionParam tile defaults. '-' = underivable (no volume, no tile row).
# Consumed by greenfield/gen_data.py: a grace force-lit by a region lock must stand
#   on ground THAT region (or an ancestor) owns, or the player warps into a kick.
# Calibrated against the in-game Charo's measurement (76841 -> 6840000, 2026-07-15).
grace_flag	ground_buckets	source	tile
72114	21010	interior-vol:領域 プレイ領域 2101006	m21_01
72116	21010	interior-seam:領域 プレイ領域 2101002@7.3m	m21_01
72117	21010	interior-vol:領域 プレイ領域 2101012-1	m21_01
72120	21020	interior-vol:領域 プレイ領域 2102001-1	m21_02
72200	22000	interior-map	m22_00
72201	22000	interior-map	m22_00
72202	22000	interior-map	m22_00
72203	22000	interior-seam:マルチプレイ領域調整 2200004 洞窟手前の篝火周辺@6.2m	m22_00
72204	22000	interior-map	m22_00
72500	25000	interior-map	m25_00
72800	-	none	m28_00
72801	68600	interior-seam:プレイ領域 6860001 ショートカット扉周辺@6.0m	m28_00
72802	68600	interior-seam:プレイ領域 6860004 東西連絡通路3F@4.7m	m28_00
72803	68600	interior-seam:プレイ領域 6860004 ボス部屋前@4.6m	m28_00
73000	30000	interior-vol:プレイ領域パーツ 3000001 １	m30_00
73001	30010	interior-vol:プレイ領域 3001001 パーツ２	m30_01
73002	30020	interior-map	m30_02
73003	30030	interior-vol:プレイ領域 3003001	m30_03
73004	30040	interior-seam:プレイ領域 3004001@0.3m	m30_04
73005	30050	interior-vol:プレイ領域 3005001 墓地2-1_01	m30_05
73006	30060	interior-vol:プレイ領域3006001	m30_06
73007	30070	interior-map	m30_07
73008	30080	interior-map	m30_08
73009	30090	interior-map	m30_09
73010	30100	interior-map	m30_10
73011	30110	interior-vol:プレイ領域 3011001 パーツ２	m30_11
73012	30120	interior-seam:プレイ領域 3012001@1.3m	m30_12
73013	30130	interior-vol:パーツプレイ領域 3013091 １	m30_13
73014	30140	interior-map	m30_14
73015	30150	interior-vol:プレイ領域 パーツ 3015001 ②	m30_15
73016	30160	interior-seam:プレイ領域 パーツ 3016001 ③@3.9m	m30_16
73017	-	none	m60_50_53
73018	65010	volume:プレイ領域 6501000 構成パーツ2	m60_50_53
73019	-	none	m60_50_55
73020	30200	interior-map	m30_20
73100	32010;61000	tile-default	m60_43_37
73101	31010	interior-map	m31_01
73102	61020	tile-default	m60_42_33
73103	31030	interior-map	m31_03
73104	31040	interior-map	m31_04
73105	31050	interior-vol:プレイ領域 3105001	m31_05
73106	31060	interior-map	m31_06
73107	31070	interior-map	m31_07
73109	31090	interior-vol:プレイ領域 3109001	m31_09
73110	31100	interior-map	m31_10
73111	31110	interior-seam:プレイ領域 3111001@1.0m	m31_11
73112	31120	interior-seam:プレイ領域 3112001@1.7m	m31_12
73115	31150	interior-map	m31_15
73117	31170	interior-map	m31_17
73118	31180	interior-map	m31_18
73119	31190	interior-map	m31_19
73120	31200	interior-vol:プレイ領域 3120001	m31_20
73121	31210	interior-map	m31_21
73122	-	none	m60_53_56
73200	32000	interior-map	m32_00
73201	32010;61000	tile-default	m60_43_37
73202	32020	tile-default	m60_37_47
73204	32040	tile-default	m60_38_53
73205	32050	interior-map	m32_05
73207	64000	volume:プレイ領域 平原側崖上 6400000 {3}	m60_46_39
73208	32080	interior-map	m32_08
73211	32110	tile-default	m60_47_55
73257	-1;32070	interior-vol:パーツ プレイ領域 3207003	m32_07
73410	34100	interior-map	m34_10
73412	34100	interior-vol:プレイ領域 3410004 →マルチ禁止	m34_10
73420	62000	interior-seam:プレイ領域 6200004 マルチ壁 オープン側上書き@6.6m	m34_11
73421	34110	interior-map	m34_11
73422	-1	interior-vol:パーツ：プレイ領域 3411006 -02	m34_11
73430	34120	interior-map	m34_12
73431	34120	tile-default	m60_43_50
73432	34120	interior-map	m34_12
73440	34130	interior-seam:プレイ領域：3413013@1.9m	m34_13
73441	34130	interior-vol:パーツ プレイ領域：3413003 ①	m34_13
73450	34140	interior-map	m34_14
73451	34140	interior-seam:プレイ領域 3414000@7.4m	m34_14
73460	34150	interior-map	m34_15
73500	35000	interior-map	m35_00
73501	35000	interior-map	m35_00
73502	35000	interior-map	m35_00
73503	35000	interior-seam:プレイ領域 11@4.3m	m35_00
73504	35000	interior-seam:パーツ：プレイ領域 09 - 02@3.5m	m35_00
73900	39200	interior-map	m39_20
73901	39200	interior-vol:Compositeパーツ プレイ領域 3920002 ④	m39_20
73902	39200	interior-vol:Compositeパーツ プレイ領域 3920002 ①	m39_20
74000	40000	interior-seam:プレイ領域 4000001 入口扉@0.2m	m40_00
74001	40010	interior-map	m40_01
74002	40020	interior-map	m40_02
74100	41000	interior-map	m41_00
74101	41010	interior-map	m41_01
74102	41020	interior-map	m41_02
74200	42000;68100	interior-vol:マルチプレイ領域調整 鍛冶場1-1 入口	m42_00
74202	42020	interior-map	m42_02
74203	42030	interior-map	m42_03
74300	43000	interior-map	m43_00
74301	43010	interior-vol:プレイ領域 4301001 入口	m43_01
74351	43010	interior-map	m43_01
76100	61000	tile-default	m60_42_36
76101	61000	tile-default	m60_42_36
76102	61010	tile-default	m60_41_38
76103	-	none	m60_44_38
76104	-	none	m60_46_38
76105	-	none	m60_45_36
76106	-	none	m60_44_35
76108	32010;61000	tile-default	m60_43_37
76110	-	none	m60_41_35
76111	61000	volume:領域 プレイ領域 6100002 {3}	m60_42_37
76113	61000	volume:マルチプレイ上書き領域 緑北	m60_43_35
76114	-	none	m60_44_37
76116	-	none	m60_43_38
76117	-	none	m60_43_39
76118	-	none	m60_42_38
76119	61000	tile-default	m60_44_39
76120	61000	volume:領域 プレイ領域 6100010	m60_44_36
76150	-	none	m60_43_34
76151	61020	tile-default	m60_44_33
76152	61020	tile-default	m60_42_33
76153	61020	tile-default	m60_44_33
76154	61020	tile-default	m60_44_33
76155	-	none	m60_45_33
76156	-	none	m60_41_32
76157	-	none	m60_44_34
76158	61020	volume:領域 プレイ領域 6102001 緑_地図断片１_緑砦 合成領域1	m60_43_31
76159	61020	volume:領域 プレイ領域 6102001 緑_地図断片１_緑砦 合成領域4	m60_43_31
76160	61020	volume:領域 プレイ領域 6102001 緑_地図断片１_緑砦 合成領域4	m60_43_31
76161	61020	volume:領域 プレイ領域 6102020	m60_43_30
76162	-	none	m60_41_33
76200	-	none	m60_39_40
76201	-	none	m60_38_40
76202	-	none	m60_38_41
76203	-	none	m60_37_42
76204	-	none	m60_37_44
76205	-	none	m60_35_45
76206	14000	volume:プレイ領域 モンサン前階段02	m60_35_46
76207	-	none	m60_36_48
76208	-	none	m60_36_49
76209	62000	volume:領域 プレイ領域 6200090 ⑤	m60_38_50
76210	-	none	m60_33_46
76211	-	none	m60_34_47
76212	62000	tile-default	m60_34_48
76213	62000	volume:領域 プレイ領域 6200005 {2}	m60_34_49
76214	62000	seam:領域 プレイ領域 6200005 06@1.7m	m60_35_50
76215	31050	volume:領域パーツ プレイ領域 3105090 ②	m60_36_41
76216	-	none	m60_36_43
76217	-	none	m60_38_45
76218	-	none	m60_33_44
76219	-	none	m60_35_43
76220	62000	tile-default	m60_34_42
76221	-	none	m60_39_42
76222	-	none	m60_38_43
76223	-	none	m60_38_45
76224	-	none	m60_37_46
76225	-	none	m60_38_47
76226	62010	tile-default	m60_37_48
76227	-	none	m60_33_47
76228	-	none	m60_34_50
76229	-	none	m60_38_50
76230	62000	seam:領域 プレイ領域 6200008 02@7.4m	m60_35_50
76231	62000	tile-default	m60_35_50
76232	62000	volume:プレイ領域 6205010 ※湖_地図断片５_閉込ボス領域１ A	m60_35_50
76233	-	none	m60_36_45
76234	62000	tile-default	m60_38_46
76235	-	none	m60_36_49
76236	62000	tile-default	m60_36_43
76237	-	none	m60_34_43
76238	62000	volume:領域 プレイ領域 6200008 00	m60_36_50
76239	-	none	m60_38_48
76240	-	none	m60_37_49
76241	-	none	m60_34_44
76242	-	none	m60_35_47
76243	-	none	m60_34_46
76244	-	none	m60_39_41
76245	-	none	m60_39_44
76247	-	none	m60_34_50
76250	-	none	m60_34_41
76251	-	none	m60_35_42
76252	-	none	m60_33_40
76300	63000	tile-default	m60_37_51
76301	-	none	m60_38_50
76302	-	none	m60_38_51
76303	63000	tile-default	m60_39_51
76304	63000	tile-default	m60_40_52
76305	63000	tile-default	m60_41_52
76306	63000	tile-default	m60_40_53
76307	-	none	m60_40_54
76308	63000	tile-default	m60_41_54
76309	-	none	m60_42_51
76310	34120	tile-default	m60_43_50
76311	-	none	m60_43_53
76312	-	none	m60_43_53
76313	-	none	m60_42_55
76314	63010	volume:領域 マルチプレイ禁止 王都前の橋	m60_45_52
76320	-	none	m60_39_54
76321	-	none	m60_39_54
76322	63000	volume:プレイ領域 6300030 高山_地図断片８_閉込ボス領域１	m60_39_54
76350	-	none	m60_39_53
76351	-	none	m60_38_54
76352	63020	tile-default	m60_36_54
76353	63020	tile-default	m60_36_54
76354	-	none	m60_37_52
76355	63020	tile-default	m60_35_53
76356	63020	volume:プレイエリア上書き領域 ゲルミア火山 パーツ４	m60_36_52
76357	-	none	m60_37_53
76400	-	none	m60_46_40
76401	-	none	m60_46_40
76402	64000	seam:プレイ領域 平原側崖上 6400000@0.9m	m60_47_39
76403	-	none	m60_47_40
76404	-	none	m60_48_36
76405	64000	tile-default	m60_48_37
76406	-	none	m60_48_38
76407	-	none	m60_48_38
76409	-	none	m60_48_39
76410	64000	volume:プレイ領域 6400000	m60_48_40
76411	-	none	m60_49_37
76412	64010	tile-default	m60_49_38
76413	64010	tile-default	m60_49_38
76414	-	none	m60_49_39
76415	64000	volume:プレイ領域 6400020	m60_49_39
76416	-	none	m60_49_39
76417	-	none	m60_50_36
76418	-	none	m60_50_38
76419	64000	volume:プレイ領域 Compositeパーツ 6409010 A	m60_51_36
76420	64000	tile-default	m60_51_36
76422	64000	tile-default	m60_52_38
76450	-	none	m60_48_40
76451	-	none	m60_48_41
76452	-	none	m60_50_40
76453	64020	seam:プレイエリア 6402000@6.3m	m60_51_39
76454	64020	tile-default	m60_51_43
76455	-	none	m60_52_41
76456	-	none	m60_52_42
76500	65000	seam:プレイ領域 6500000 構成パーツ1@3.6m	m60_47_51
76501	65010	tile-default	m60_49_53
76502	65000	volume:プレイ領域 6500090 構成パーツ1	m60_49_53
76503	65010	volume:プレイ領域 6501000 構成パーツ4	m60_51_56
76504	65010	volume:プレイ領域 6501001 構成パーツ1	m60_52_57
76505	-	none	m60_54_55
76506	65020	tile-default	m60_52_54
76507	-	none	m60_51_53
76508	-	none	m60_52_53
76509	-	none	m60_53_52
76510	-	none	m60_54_53
76520	-	none	m60_52_56
76521	65010	tile-default	m60_51_57
76522	65010	tile-default	m60_51_57
76523	65010	tile-default	m60_51_57
76524	65010	volume:プレイ領域 6501010	m60_51_57
76550	-	none	m60_49_54
76551	-	none	m60_49_55
76652	-	none	m60_48_57
76653	-	none	m60_47_58
76800	-	none	m61_46_40
76801	-	none	m61_47_41
76802	-	none	m61_46_42
76803	-	none	m61_45_42
76804	-	none	m61_45_41
76805	-	none	m61_46_44
76810	-	none	m61_48_43
76811	-	none	m61_48_42
76812	68100	volume:領域 マルチプレイエリア上書き 墓地平原・前半 川エリア {3}	m61_47_43
76813	68100;68200	tile-default	m61_47_44
76821	68100;68200	tile-default	m61_47_44
76822	68200	tile-default	m61_48_44
76823	68200	volume:プレイ領域 6820010 街道砦ボス戦領域	m61_48_44
76830	68100	volume:領域 マルチプレイエリア上書き 川エリア マルチ禁止	m61_47_41
76831	-	none	m61_48_39
76832	-	none	m61_46_39
76833	68300	volume:領域 マルチプレイエリア上書き レガシー箱舟手前大穴	m61_47_35
76834	-	none	m61_50_38
76835	-	none	m61_48_37
76840	-	none	m61_49_39
76841	68400	volume:マルチプレイエリア上書き領域 ドラゴン山・西 {2}	m61_48_39
76850	-	none	m61_52_40
76851	-	none	m61_53_39
76852	68500	volume:領域 パーツ マルチプレイエリア上書き {2}	m61_54_39
76853	68500	volume:領域 マルチプレイエリア上書き ベール_閉じ込め領域	m61_55_39
76860	-	none	m61_50_42
76861	68600	volume:プレイ領域 6860000	m61_48_43
76862	40020	volume:プレイ領域 ボス部屋 4002000	m61_52_43
76863	68600	tile-default	m61_51_42
76864	-	none	m61_53_41
76900	69000	tile-default	m61_48_45
76902	-	none	m61_49_44
76903	69020	volume:プレイ領域 6902000	m61_49_44
76904	-	none	m61_51_44
76905	69020	tile-default	m61_51_47
76906	69030	tile-default	m61_51_45
76907	69000	volume:プレイ領域 6900000	m61_47_45
76908	-	none	m61_49_43
76909	-	none	m61_49_43
76910	-	none	m61_49_43
76911	69000	volume:プレイ領域 6900000	m61_50_43
76912	-	none	m61_48_47
76913	-	none	m61_45_46
76914	69010	volume:プレイ領域上書き ルーンベアの森①	m61_45_47
76916	69030	volume:プレイ領域 6903090 {3}	m61_49_47
76917	69030	volume:プレイ領域 6903090	m61_50_45
76918	-	none	m61_50_44
76930	21010	volume:プレイ領域 2101010-1	m61_49_48
76931	21010	volume:プレイ領域 2101010-3	m61_49_48
76935	21000	measured:2100010 client kick line 2026-07-15	m61_50_48
76936	69300	tile-default	m61_51_48
76937	-	none	m61_51_48
76940	-	none	m61_47_47
76941	69400	tile-default	m61_46_47
76942	-	none	m61_45_45
76943	69410	tile-default	m61_44_46
76944	-	none	m61_44_45
76945	69410	volume:プレイ領域 枯れ木エリア A	m61_44_45
76960	-	none	m61_50_48
