# co_check_ids.tsv -- APPEND-ONLY ap_id registry for CO-CHECK sibling lots (SPEC-flag-lot-item-model §2.2).
#
# A shared getItemFlagId drives several ItemLotParam lots; each SIBLING lot (every family member
# except the primary -- the lot the original region_map.csv row was named after, the family's
# lowest) becomes its own co-firing check. Its ap_id comes from HERE, never from a positional
# index: `ap_id = BASE_AP + row index` renumbers on any insertion (gen_data.py "APPENDED, never
# inserted"), and even tail-appends shift when the appended set grows. Registry ids are allocated
# once, in the reserved COCHECK band (>= 7900000; the positional band tops out ~7775300), and are
# NEVER reused or re-derived. Delisting a co-check retires its row in place (comment it out with
# the reason) -- the id stays burned.
#
# gen_data.py reads this file and PROJECTS a co-check location for every row whose flag is in
# CO_CHECK_FLAGS (the allowlist beside ROW_ITEM_NAME_FIX's old slot); a regen that needs an id
# not present here must fail loudly, never invent one. Keys must exist in flag_lots.tsv.
#
# Seeded 2026-07-24 with the four hand-verified shared-flag families (allocation order = sorted
# (flag, table, lot) at seed time; later additions APPEND with the next free id):
#   400696 lot 106931 -> Prayer Room Key   (primary 106930 = Ash of War: Flame Skewer)
#   510440 lot  10441 -> Scadutree Fragment (primary 10440 = Aspects of the Crucible: Thorns)
#   510460 lot  10461 -> Messmer's Kindling (primary 10460 = Remembrance of the Impaler)
#   520160 lot  20161 -> Golden Seed        (primary 20160 = Redmane Knight Ogha ash)
#
# 2026-08-06: 197 lot 10181 -> Great Rune of the Unborn (primary 10180 = Remembrance of the Full
#   Moon Queen). Rennala. Added on the ruling that the game COUNTS this rune toward the Leyndell
#   wall (#427) -- relief $Event(6905) maps flag 197 to 177, inside the 170-179 possession band the
#   gate actually counts (common $Event(730) -> flag 182; corrected 2026-08-22, clients#392). Until
#   now the sibling was unmodelled,
#   so check_lots blanked only the primary and every kill handed out a real vanilla rune on top of
#   the AP item (#426).
flag	table	lot	ap_id
400624	map	106223	7900073
400624	map	106224	7900074
400624	map	106225	7900075
400625	map	106231	7900076
400625	map	106232	7900077
400625	map	106233	7900078
400625	map	106234	7900079
400625	map	106235	7900080
400627	map	116201	7900081
400627	map	116202	7900082
400627	map	116203	7900083
400627	map	116204	7900084
400634	map	106321	7900085
400634	map	106322	7900086
400634	map	106323	7900087
400634	map	106324	7900088
400636	map	106331	7900089
400636	map	106332	7900090
400636	map	106333	7900091
400645	map	106422	7900092
400645	map	106423	7900093
400645	map	106424	7900094
400645	map	106425	7900095
400661	map	106611	7900096
400664	map	106641	7900097
400664	map	106642	7900098
400664	map	106643	7900099
400664	map	106644	7900100
400664	map	106645	7900101
400704	map	107031	7900102
400711	map	117102	7900103
400711	map	117103	7900104
400711	map	117104	7900105
400711	map	117105	7900106
400711	map	117106	7900107
400714	map	107121	7900108
400714	map	107122	7900109
400714	map	107123	7900110
400714	map	107124	7900111
400714	map	107125	7900112
510030	map	10031	7900113
510060	map	10061	7900114
510060	map	10062	7900115
510060	map	10063	7900116
510060	map	10064	7900117
510100	map	10101	7900118
510140	map	10141	7900119
510190	map	10191	7900120
510210	map	10211	7900121
510260	map	10261	7900122
510340	map	10341	7900123
510730	map	10731	7900124
510730	map	10732	7900125
510730	map	10733	7900126
510810	map	10811	7900127
510820	map	10821	7900128
520100	map	20101	7900129
520100	map	20102	7900130
520100	map	20103	7900131
520100	map	20104	7900132
520170	map	20171	7900133
520170	map	20172	7900134
520170	map	20173	7900135
520170	map	20174	7900136
520180	map	20181	7900137
520190	map	20191	7900138
520210	map	20211	7900139
520480	map	20481	7900140
520660	map	20661	7900141
520670	map	20673	7900142
520700	map	20701	7900143
530260	map	30261	7900144
530315	map	30316	7900145
530325	map	30326	7900146
530375	map	30377	7900147
530385	map	30386	7900148
530425	map	30426	7900149
530505	map	30506	7900150
530515	map	30516	7900151
530515	map	30517	7900152
530515	map	30518	7900153
530515	map	30519	7900154
530810	map	30811	7900155
530810	map	30812	7900156
530810	map	30813	7900157
530810	map	30814	7900158
530820	map	30821	7900159
530820	map	30822	7900160
530820	map	30823	7900161
530820	map	30824	7900162
530830	map	30831	7900163
530830	map	30832	7900164
530830	map	30833	7900165
530830	map	30834	7900166
530900	map	30901	7900167
530900	map	30902	7900168
530900	map	30903	7900169
530900	map	30904	7900170
580310	map	80311	7900171
11007005	map	11000006	7900172
11007005	map	11000007	7900173
11007005	map	11000008	7900174
11007045	map	11000046	7900175
11007045	map	11000047	7900176
11007045	map	11000048	7900177
11007985	map	11001986	7900178
11007985	map	11001987	7900179
11007985	map	11001988	7900180
11107710	map	11100711	7900181
12037300	map	12030301	7900182
12037300	map	12030302	7900183
12037300	map	12030303	7900184
12057950	map	12050951	7900185
12057950	map	12050952	7900186
12057950	map	12050953	7900187
13007920	map	13000921	7900188
13007920	map	13000922	7900189
13007920	map	13000923	7900190
13007995	map	13002096	7900191
13007995	map	13002097	7900192
13007995	map	13002098	7900193
14007850	map	14000851	7900194
15007980	map	15000981	7900195
15007980	map	15000982	7900196
16007430	map	16000431	7900197
21017991	map	21011992	7900198
21027991	map	21021992	7900199
30097050	map	30090051	7900200
30097050	map	30090052	7900201
30097050	map	30090053	7900202
30097800	enemy	429000801	7900203
30097800	enemy	429000802	7900204
30097800	enemy	429000803	7900205
30107100	map	30100101	7900206
30107100	map	30100102	7900207
30107100	map	30100103	7900208
30107100	map	30100104	7900209
31007010	map	31000011	7900210
31047060	map	31040061	7900211
31047060	map	31040062	7900212
31077030	map	31070031	7900213
31077030	map	31070032	7900214
31077030	map	31070033	7900215
31227000	map	31220001	7900216
31227000	map	31220002	7900217
34117500	map	34110501	7900218
35007050	map	35000051	7900219
35007710	map	35000711	7900220
35007710	map	35000712	7900221
39207500	map	39200501	7900222
39207500	map	39200502	7900223
39207500	map	39200503	7900224
40027130	map	40020131	7900225
40027130	map	40020132	7900226
40027130	map	40020133	7900227
41017300	map	41010301	7900228
41017300	map	41010302	7900229
41017300	map	41010303	7900230
1034517900	map	1034510901	7900231
1034517900	map	1034510902	7900232
1036487400	map	1036480401	7900233
1036517700	enemy	482000501	7900234
1036517700	enemy	482000502	7900235
1037497030	map	1037490031	7900236
1037497030	map	1037490032	7900237
1037497300	map	1037490301	7900238
1037517020	map	1037510021	7900239
1037527100	map	1037520101	7900240
1037527100	map	1037520102	7900241
1038547100	map	1038540101	7900242
1038547100	map	1038540102	7900243
1039487100	map	1039480101	7900244
1039537050	map	1039530051	7900245
1039537700	map	1039530701	7900246
1040557700	enemy	370400704	7900247
1040557700	enemy	370400705	7900248
1040557700	enemy	370400706	7900249
1041557020	map	1041550021	7900250
1041557020	map	1041550022	7900251
1041557020	map	1041550023	7900252
1042397500	map	1042390501	7900253
1042397500	map	1042390502	7900254
1042397500	map	1042390503	7900255
1043347400	map	1043340401	7900256
1044327410	map	1044320411	7900257
1047567700	map	1047560701	7900258
1047567700	map	1047560702	7900259
1048547990	enemy	340051301	7900260
1048557710	map	1048550711	7900261
1048557710	map	1048550712	7900262
1048557710	map	1048550713	7900263
1048577810	map	1048570811	7900264
1048577810	map	1048570812	7900265
1048577810	map	1048570813	7900266
1048577990	enemy	340052101	7900267
1050567620	map	1050560621	7900268
1050567620	map	1050560622	7900269
1050567620	map	1050560623	7900270
1050567700	map	1050560701	7900271
1050567700	map	1050560702	7900272
1050567700	map	1050560703	7900273
1050567700	map	1050560704	7900274
1051537500	map	1051530501	7900275
1051577720	map	1051570721	7900276
2044477010	map	2044470011	7900277
2044477010	map	2044470012	7900278
2044477010	map	2044470013	7900279
2045477400	map	2045470401	7900280
2049457200	map	2049450201	7900281
2049457200	map	2049450202	7900282
2049457200	map	2049450203	7900283
2050447720	map	2050440721	7900284
2050447720	map	2050440722	7900285
14007850	map	14000852	7900286
14007850	map	14000853	7900287
