# AUTO-EXPANDED from boss_region_worksheet.tsv by tools/build_boss_region_worksheet.py --expand.
# ⭐ HAND ROWS ARE PRESERVED -- this emit UNIONS with what is already here, so a
#   ruling for a boss the worksheet does not cover can be added by hand and will
#   survive every re-emit. The worksheet only carries bosses that own AMBIGUOUS
#   CHECKS; a sweep trigger with none has no row there and would otherwise have
#   nowhere for a human to write down where it is fought.
# WHERE THE BOSS IS FOUGHT, as ruled by a human in the arena_region column.
# gen_data fills SWEEP_ARENA_REGION from this ONLY where PlayRegionParam has no
#   boss-area row -- ranked BELOW measured evidence, so a ruling can replace an
#   ABSENT and never a measurement.
# `ruled_as` is the in-game PLACE name as written; `region` is it mapped through
#   PLACE_TO_REGION. Both are kept so a reader can audit the mapping.
# Unlike boss_verdict_tiles.tsv this KEEPS confirmations: a ruling that agrees
#   with derived_region still answers where the boss stands.
# ⭐ HAND ROWS ADDED 2026-08-26 (#1066, J's Discord report). Both bosses were already
#   ruled in boss_verdict_tiles.tsv by Alaric in-game on 2026-08-10; neither has a
#   PlayRegionParam boss-area row, so nothing carried the ruling into the sweep tables and
#   both hosted GRAVESITE divvy slices while being fought on ground Gravesite does not own:
#     2046400800 Demi-Human Queen Marigga -- boss_verdict_tiles m61_44_41/m61_47_40:
#       "Demi-Human Queen Marigga is on the CERULEAN COAST, not Gravesite."  PlayArea scan
#       corroborates: her tile m61_46_40 buckets 68300/68400 = Cerulean; Gravesite owns neither.
#     2049410800 Jagged Peak Drake -- boss_verdict_tiles m61_48_41/m61_49_42: "the Jagged Peak
#       Drake is on the JAGGED PEAK. Members ship as Gravesite."  Scan: nearest scanned tile
#       m61_49_38 resolves 68410 = Jagged Peak; Gravesite owns 68410 no more than 68500.
#   Since #1066 these rulings also decide the sweep HOST region, so each boss now hosts its own
#   arena's divvy and its Gravesite-measured members go back to Gravesite's own hosts.
boss_entity	boss_name	region	ruled_as
1043360800	Flying Dragon Agheel	Limgrave	Limgrave
1043530800	Bell Bearing Hunter	Altus	Altus
1044320800	Deathbird	Weeping	Weeping
1044350800	Bloodhound Knight Darriwil	Limgrave	Limgrave
1044360800	Mad Pumpkin Head	Limgrave	Limgrave
1044530800	Deathbird	Altus	Altus
1045390800	Tibia Mariner	Limgrave	Limgrave
1048370800	Decaying Ekzykes	Caelid	Caelid
1048400800	Mad Pumpkin Head (Hammer)	Caelid	Caelid
1048410800	Bell Bearing Hunter	Caelid	Caelid
1048570800	Death Rite Bird	Consecrated Snowfield	Consecrated Snowfield
1049370850	Death Rite Bird	Caelid	Caelid
1049390800	Nox Monk	Caelid	Caelid
1049390850	Battlemage Hugues	Caelid	Caelid
1049520800	Black Blade Kindred	Mountaintops of the Giants	Mountaintops of the Giants
1050560800	Great Wyrm Theodorix	Consecrated Snowfield	Consecrated Snowfield
1050570800	Death Rite Bird	Mountaintops of the Giants	Mountaintops of the Giants
1050570850	Putrid Avatar	Consecrated Snowfield	Consecrated Snowfield
1051360800	Crucible Knight	Caelid	Caelid
1051400800	Putrid Avatar	Caelid	Caelid
1051430800	Black Blade Kindred	Caelid	Caelid
1051570800	Commander Niall	Mountaintops of the Giants	Mountaintops of the Giants
1052410800	Flying Dragon Greyll	Caelid	Caelid
1053560800	Roundtable Knight Vyke	Mountaintops of the Giants	Mountaintops of the Giants
1252520800	Fire Giant	Mountaintops of the Giants	Mountaintops of the Giants
2044470800	Rugalea the Great Red Bear	Rauh Base	Rauh Base
2045440800	Ghostflame Dragon	Gravesite	Gravesite
2046380800	Dancer of Ranah	Cerulean	Cerulean
2046400800	Demi-Human Queen Marigga	Cerulean	Cerulean Coast
2046410800	Knight of the Solitary Gaol	Gravesite	Gravesite
2046460800	Divine Beast Dancing Lion	Ancient Ruins	Ancient Ruins of Rauh
2047390800	Death Rite Bird	Cerulean	Cerulean
2047450800	Black Knight Garrew	Scadu Altus	Scadu Altus
2048380850	Ghostflame Dragon	Cerulean	Cerulean
2049410800	Jagged Peak Drake	Jagged Peak	Jagged Peak
2049450800	Ralva the Great Red Bear	Scadu Altus	Scadu Altus
2050470800	Tree Sentinel	Shadow Keep	Hinterland
2050480811	Scadutree Avatar	Shadow Keep	Shadow Keep
2051440800	Rakshasa	Scadu Altus	Scadu Altus
2052480800	Fallingstar Beast	Shadow Keep	Scaduview
2054390800	Bayle the Dread	Jagged Peak	Jagged Peak
2054390850	Ancient Dragon Senessax	Jagged Peak	Jagged Peak
