key_kind	key	region	reason
map	m21_00	Scadu Altus	THE #885 RULING AT MAP SCOPE (2026-08-19). Every m21_00 ground check presents as Scadu Altus (gen_data.DUNGEON_REGION_CURATED['m21_00_00_00']; see the 510440 row above for the kick rationale) while the map's grace truth is Shadow Keep. The full-census regen made the oracle SEE these placements for the first time (~46 treasure rows); one map-scoped row records the ruling instead of 46 copies of one sentence. The carve-out f68800 stays Shadow Keep and needs no excusing -- its region EQUALS grace truth.
map	m30_07	Altus	Wyndham Catacombs at map scope: the same boundary ruling the flag row for 520120 above records (Alaric 2026-07-12, DUNGEON_REGION_CURATED['m30_07_00_00']='Altus'). The full-census regen attributed the map's remaining treasures (68000, 30077xxx), which need the same sentence.
flag	34107000	Stormveil	DIVINE TOWER OF LIMGRAVE (2026-08-17 ruling): m34_10's grace geography says Limgrave, but the whole bridge/tower runtime bucket belongs to Stormveil for region-lock purposes. The player reaches it through Stormveil and Alaric explicitly ruled issue #202 into Stormveil. This override records that deliberate gameplay boundary instead of weakening the independent grace oracle.
flag	34107010	Stormveil	DIVINE TOWER OF LIMGRAVE: same deliberate m34_10 Stormveil runtime-bucket ruling as flag 34107000.
flag	34107070	Stormveil	DIVINE TOWER OF LIMGRAVE: same deliberate m34_10 Stormveil runtime-bucket ruling as flag 34107000.
flag	34107080	Stormveil	DIVINE TOWER OF LIMGRAVE: same deliberate m34_10 Stormveil runtime-bucket ruling as flag 34107000.
flag	34107090	Stormveil	DIVINE TOWER OF LIMGRAVE: same deliberate m34_10 Stormveil runtime-bucket ruling as flag 34107000.
flag	34107100	Stormveil	DIVINE TOWER OF LIMGRAVE: same deliberate m34_10 Stormveil runtime-bucket ruling as flag 34107000.
flag	34107110	Stormveil	DIVINE TOWER OF LIMGRAVE: same deliberate m34_10 Stormveil runtime-bucket ruling as flag 34107000.
flag	510030	Liurnia	THE CHAPEL OF ANTICIPATION RETURN (2026-08-25 ruling, #1023, on 255's tracker report): "chapel of anticipation return we can model as liurnia". f510030 is the Grafted Scion's drop (Ornamental Straight Sword + Golden Beast Crest Shield, lots 10030/10031) on the chapel floor, which is authored inside m10_01 -- that map's own EMEVD names the fight チュートリアルボス撃破 ("Defeat the tutorial boss"), $Event(10012800) sets 9103 on 10010800's death, and common.emevd $Event(1100) slot 3 pays lot 10030 under flag 510030. The grace join therefore reads m10_01 = Stormveil, and the old override read Limgrave (sphere 0, on the strength of the prologue pass). Both are wrong for ACCESS: the prologue pass is a one-shot the game expects you to lose, and the only repeatable route back to that floor is the Four Belfries -> Chapel warp, which stands in Liurnia (its Imbued Sword Key is the Liurnia check f1033477020, #940). Liurnia is the Lock that buys the warp; Limgrave's graces put you nowhere on that floor. NB the three non-tutorial m18_00 rows 255's report also suspected (18007900 Erdtree Greatbow, 510280 Golden Seed, 18007700 Dragon Communion Seal) are NOT chapel rows and stay Limgrave -- see the PR for #1023.
flag	1050567500	Mountaintops of the Giants	Warming Stone -- ANCIENT SNOW VALLEY RUINS (#1054, 2026-08-26): ships Consecrated Snowfield, but the pickup stands in PlayArea volume 6501000, whose bucket 65010 is Mountaintops of the Giants in region_groups.PLAY_REGION_GROUPS. PlayArea point-in-volume scan (item_play_regions.tsv, docs/PLAYAREA-ITEM-SCAN.md), queued in #1054 and applied 2026-08-26. EVIDENCE CLASS: scan-exact, ground-placed pickup -- the population this instrument rules on, NOT one of the NPC-relocation families #1054 excludes. The sixth row of the same cluster, 1050567600, answers bucket 65030 and is correctly Consecrated Snowfield: the tile STRADDLES the Grand Lift of Rold boundary, so these are five per-flag pins rather than a tile pin.
flag	1050567510	Mountaintops of the Giants	Invigorating White Cured Meat -- ANCIENT SNOW VALLEY RUINS (#1054, 2026-08-26): ships Consecrated Snowfield, but the pickup stands in PlayArea volume 6501000, whose bucket 65010 is Mountaintops of the Giants in region_groups.PLAY_REGION_GROUPS. PlayArea point-in-volume scan (item_play_regions.tsv, docs/PLAYAREA-ITEM-SCAN.md), queued in #1054 and applied 2026-08-26. EVIDENCE CLASS: scan-exact, ground-placed pickup -- the population this instrument rules on, NOT one of the NPC-relocation families #1054 excludes. The sixth row of the same cluster, 1050567600, answers bucket 65030 and is correctly Consecrated Snowfield: the tile STRADDLES the Grand Lift of Rold boundary, so these are five per-flag pins rather than a tile pin.
flag	1050567520	Mountaintops of the Giants	Smithing Stone [7] -- ANCIENT SNOW VALLEY RUINS (#1054, 2026-08-26): ships Consecrated Snowfield, but the pickup stands in PlayArea volume 6501000, whose bucket 65010 is Mountaintops of the Giants in region_groups.PLAY_REGION_GROUPS. PlayArea point-in-volume scan (item_play_regions.tsv, docs/PLAYAREA-ITEM-SCAN.md), queued in #1054 and applied 2026-08-26. EVIDENCE CLASS: scan-exact, ground-placed pickup -- the population this instrument rules on, NOT one of the NPC-relocation families #1054 excludes. The sixth row of the same cluster, 1050567600, answers bucket 65030 and is correctly Consecrated Snowfield: the tile STRADDLES the Grand Lift of Rold boundary, so these are five per-flag pins rather than a tile pin.
flag	1050567620	Mountaintops of the Giants	Traveling Maiden Hood -- ANCIENT SNOW VALLEY RUINS (#1054, 2026-08-26): ships Consecrated Snowfield, but the pickup stands in PlayArea volume 6501000, whose bucket 65010 is Mountaintops of the Giants in region_groups.PLAY_REGION_GROUPS. PlayArea point-in-volume scan (item_play_regions.tsv, docs/PLAYAREA-ITEM-SCAN.md), queued in #1054 and applied 2026-08-26. EVIDENCE CLASS: scan-exact, ground-placed pickup -- the population this instrument rules on, NOT one of the NPC-relocation families #1054 excludes. The sixth row of the same cluster, 1050567600, answers bucket 65030 and is correctly Consecrated Snowfield: the tile STRADDLES the Grand Lift of Rold boundary, so these are five per-flag pins rather than a tile pin.
flag	1051557330	Mountaintops of the Giants	Golden Rune [13] -- ANCIENT SNOW VALLEY RUINS (#1054, 2026-08-26): ships Consecrated Snowfield, but the pickup stands in PlayArea volume 6501000, whose bucket 65010 is Mountaintops of the Giants in region_groups.PLAY_REGION_GROUPS. PlayArea point-in-volume scan (item_play_regions.tsv, docs/PLAYAREA-ITEM-SCAN.md), queued in #1054 and applied 2026-08-26. EVIDENCE CLASS: scan-exact, ground-placed pickup -- the population this instrument rules on, NOT one of the NPC-relocation families #1054 excludes. The sixth row of the same cluster, 1050567600, answers bucket 65030 and is correctly Consecrated Snowfield: the tile STRADDLES the Grand Lift of Rold boundary, so these are five per-flag pins rather than a tile pin.
flag	2045467050	Ancient Ruins	Shadow Realm Rune [7], near Rauh Ancient Ruins East (1) -- scan answer volume: 69410. RAUH UPPER RUINS vs BASE (#1046 + #1054, 2026-08-26). 255 reported (Discord 2026-08-26) that upper Ancient Ruins checks are in-logic on the Rauh Base Lock alone. Rauh Base graces are play_region bucket 6950, the upper Ancient Ruins are 6940, so the scan answers these EXACTLY and no hand adjudication is needed. PlayArea point-in-volume scan (item_play_regions.tsv, docs/PLAYAREA-ITEM-SCAN.md), queued in #1054 and applied 2026-08-26. EVIDENCE CLASS: scan-exact, ground-placed pickup. NB two rows in this set move the OTHER way (2045457010, 2046467800): 255's report was PARTLY right, and moving only the reported direction would be the instrument agreeing with the reporter instead of measuring.
flag	2045477020	Ancient Ruins	Flight Pinion, near Rauh Ancient Ruins East -- scan answer seam:@2.7m 69400. RAUH UPPER RUINS vs BASE (#1046 + #1054, 2026-08-26). 255 reported (Discord 2026-08-26) that upper Ancient Ruins checks are in-logic on the Rauh Base Lock alone. Rauh Base graces are play_region bucket 6950, the upper Ancient Ruins are 6940, so the scan answers these EXACTLY and no hand adjudication is needed. PlayArea point-in-volume scan (item_play_regions.tsv, docs/PLAYAREA-ITEM-SCAN.md), queued in #1054 and applied 2026-08-26. EVIDENCE CLASS: scan-exact, ground-placed pickup. NB two rows in this set move the OTHER way (2045457010, 2046467800): 255's report was PARTLY right, and moving only the reported direction would be the instrument agreeing with the reporter instead of measuring.
flag	2046457000	Gravesite	Two-Headed Turtle Talisman, near Temple Town Ruins -- scan answer volume: 68100. RAUH UPPER RUINS vs BASE (#1046 + #1054, 2026-08-26). 255 reported (Discord 2026-08-26) that upper Ancient Ruins checks are in-logic on the Rauh Base Lock alone. Rauh Base graces are play_region bucket 6950, the upper Ancient Ruins are 6940, so the scan answers these EXACTLY and no hand adjudication is needed. PlayArea point-in-volume scan (item_play_regions.tsv, docs/PLAYAREA-ITEM-SCAN.md), queued in #1054 and applied 2026-08-26. EVIDENCE CLASS: scan-exact, ground-placed pickup. NB two rows in this set move the OTHER way (2045457010, 2046467800): 255's report was PARTLY right, and moving only the reported direction would be the instrument agreeing with the reporter instead of measuring.
flag	2045457010	Rauh Base	Grave Glovewort [5], near Temple Town Ruins -- scan answer volume: 69010 (REVERSE mover). RAUH UPPER RUINS vs BASE (#1046 + #1054, 2026-08-26). 255 reported (Discord 2026-08-26) that upper Ancient Ruins checks are in-logic on the Rauh Base Lock alone. Rauh Base graces are play_region bucket 6950, the upper Ancient Ruins are 6940, so the scan answers these EXACTLY and no hand adjudication is needed. PlayArea point-in-volume scan (item_play_regions.tsv, docs/PLAYAREA-ITEM-SCAN.md), queued in #1054 and applied 2026-08-26. EVIDENCE CLASS: scan-exact, ground-placed pickup. NB two rows in this set move the OTHER way (2045457010, 2046467800): 255's report was PARTLY right, and moving only the reported direction would be the instrument agreeing with the reporter instead of measuring.
flag	2046467800	Rauh Base	Larval Tear, near Scadu Altus West -- scan answer volume: 69010 (REVERSE mover). RAUH UPPER RUINS vs BASE (#1046 + #1054, 2026-08-26). 255 reported (Discord 2026-08-26) that upper Ancient Ruins checks are in-logic on the Rauh Base Lock alone. Rauh Base graces are play_region bucket 6950, the upper Ancient Ruins are 6940, so the scan answers these EXACTLY and no hand adjudication is needed. PlayArea point-in-volume scan (item_play_regions.tsv, docs/PLAYAREA-ITEM-SCAN.md), queued in #1054 and applied 2026-08-26. EVIDENCE CLASS: scan-exact, ground-placed pickup. NB two rows in this set move the OTHER way (2045457010, 2046467800): 255's report was PARTLY right, and moving only the reported direction would be the instrument agreeing with the reporter instead of measuring.
grace	73211	Consecrated Snowfield	YELOUGH ANIX TUNNEL IS CONSECRATED SNOWFIELD -- ALARIC'S WIKI RULING (2026-08-26). Recorded as a NO-OP on purpose. The #1054 queue carried 19 Yelough-anchored rows as Mountaintops-vs-Consecrated-Snowfield candidates; the PlayArea scan answers `none` for every one of them (no volume, no seam, no PlayRegionParam tile default), so the scan CANNOT settle them in either direction and Alaric ruled them from the wiki instead. EVIDENCE CLASS: WIKI RULING BY ALARIC -- explicitly NOT scan evidence, and not to be cited as such. On measuring the shipped data the ruling was found ALREADY SATISFIED: grace 73211 files under play_region 65002 (grace_region_map.tsv), 65002 is Consecrated Snowfield in region_groups.REGION_GROUPS, its ground bucket 32110 is Consecrated Snowfield in PLAY_REGION_GROUPS, 73211 already sits in the Consecrated Snowfield grace bundle, and all 25 Yelough-labelled checks in data.py already ship Consecrated Snowfield. The Mountaintops premise came from the STALE our_region column in check_region_second_opinion.tsv, which was built before the regen that moved them (#1054 flags the same staleness for check_region_triage.tsv). This row exists so the ruling is on record and so a future regression that moves 73211 back to Mountaintops is a diff against a written decision rather than a silent flip.
flag	1047517000	Mountaintops of the Giants	THE PLAYAREA-SCAN ADJUDICATION (2026-08-26, #1054 / #1046). Drawstring Fire Grease, Forbidden Lands. The PlayArea item scan (greenfield/item_play_regions.tsv, docs/PLAYAREA-ITEM-SCAN.md) reads the play_region VOLUME this pickup physically stands on -- the exact id the client's kick-watch reads -- and it disagrees with the nearest-grace derivation, which is a distance heuristic. An EXACT scan answer outranks that heuristic for a GROUND-PLACED pickup; #1054's NPC-relocation families (Patches / Bernahl / Moore) and the two deliberate carves (#885 Hippo, the Leyndell finale sub-carve) are withheld and stay in that issue. Paired with gen_data.FLAG_REGION_OVERRIDE[1047517000].
flag	1035457000	Raya Lucaria Academy	THE PLAYAREA-SCAN ADJUDICATION (2026-08-26, #1054 / #1046). Celestial Dew, South Raya Lucaria Gate. The PlayArea item scan (greenfield/item_play_regions.tsv, docs/PLAYAREA-ITEM-SCAN.md) reads the play_region VOLUME this pickup physically stands on -- the exact id the client's kick-watch reads -- and it disagrees with the nearest-grace derivation, which is a distance heuristic. An EXACT scan answer outranks that heuristic for a GROUND-PLACED pickup; #1054's NPC-relocation families (Patches / Bernahl / Moore) and the two deliberate carves (#885 Hippo, the Leyndell finale sub-carve) are withheld and stay in that issue. Paired with gen_data.FLAG_REGION_OVERRIDE[1035457000].
flag	1035457030	Raya Lucaria Academy	THE PLAYAREA-SCAN ADJUDICATION (2026-08-26, #1054 / #1046). Strip of White Flesh, South Raya Lucaria Gate. The PlayArea item scan (greenfield/item_play_regions.tsv, docs/PLAYAREA-ITEM-SCAN.md) reads the play_region VOLUME this pickup physically stands on -- the exact id the client's kick-watch reads -- and it disagrees with the nearest-grace derivation, which is a distance heuristic. An EXACT scan answer outranks that heuristic for a GROUND-PLACED pickup; #1054's NPC-relocation families (Patches / Bernahl / Moore) and the two deliberate carves (#885 Hippo, the Leyndell finale sub-carve) are withheld and stay in that issue. Paired with gen_data.FLAG_REGION_OVERRIDE[1035457030].
flag	1035457100	Raya Lucaria Academy	THE PLAYAREA-SCAN ADJUDICATION (2026-08-26, #1054 / #1046). Meeting Place Map, South Raya Lucaria Gate. The PlayArea item scan (greenfield/item_play_regions.tsv, docs/PLAYAREA-ITEM-SCAN.md) reads the play_region VOLUME this pickup physically stands on -- the exact id the client's kick-watch reads -- and it disagrees with the nearest-grace derivation, which is a distance heuristic. An EXACT scan answer outranks that heuristic for a GROUND-PLACED pickup; #1054's NPC-relocation families (Patches / Bernahl / Moore) and the two deliberate carves (#885 Hippo, the Leyndell finale sub-carve) are withheld and stay in that issue. Paired with gen_data.FLAG_REGION_OVERRIDE[1035457100].
flag	2046407040	Cerulean	THE PLAYAREA-SCAN ADJUDICATION (2026-08-26, #1054 / #1046). Great Grave Glovewort, Cerulean Coast West. The PlayArea item scan (greenfield/item_play_regions.tsv, docs/PLAYAREA-ITEM-SCAN.md) reads the play_region VOLUME this pickup physically stands on -- the exact id the client's kick-watch reads -- and it disagrees with the nearest-grace derivation, which is a distance heuristic. An EXACT scan answer outranks that heuristic for a GROUND-PLACED pickup; #1054's NPC-relocation families (Patches / Bernahl / Moore) and the two deliberate carves (#885 Hippo, the Leyndell finale sub-carve) are withheld and stay in that issue. Paired with gen_data.FLAG_REGION_OVERRIDE[2046407040].
flag	2046407050	Cerulean	THE PLAYAREA-SCAN ADJUDICATION (2026-08-26, #1054 / #1046). Ghost Glovewort [7], Cerulean Coast. The PlayArea item scan (greenfield/item_play_regions.tsv, docs/PLAYAREA-ITEM-SCAN.md) reads the play_region VOLUME this pickup physically stands on -- the exact id the client's kick-watch reads -- and it disagrees with the nearest-grace derivation, which is a distance heuristic. An EXACT scan answer outranks that heuristic for a GROUND-PLACED pickup; #1054's NPC-relocation families (Patches / Bernahl / Moore) and the two deliberate carves (#885 Hippo, the Leyndell finale sub-carve) are withheld and stay in that issue. Paired with gen_data.FLAG_REGION_OVERRIDE[2046407050].
flag	2046407060	Cerulean	THE PLAYAREA-SCAN ADJUDICATION (2026-08-26, #1054 / #1046). Ghost Glovewort [9], Cerulean Coast. The PlayArea item scan (greenfield/item_play_regions.tsv, docs/PLAYAREA-ITEM-SCAN.md) reads the play_region VOLUME this pickup physically stands on -- the exact id the client's kick-watch reads -- and it disagrees with the nearest-grace derivation, which is a distance heuristic. An EXACT scan answer outranks that heuristic for a GROUND-PLACED pickup; #1054's NPC-relocation families (Patches / Bernahl / Moore) and the two deliberate carves (#885 Hippo, the Leyndell finale sub-carve) are withheld and stay in that issue. Paired with gen_data.FLAG_REGION_OVERRIDE[2046407060].
flag	2047417110	Cerulean	THE PLAYAREA-SCAN ADJUDICATION (2026-08-26, #1054 / #1046). Mushroom-Seller's Bell Bearing [2], Ellac River Downstream. The PlayArea item scan (greenfield/item_play_regions.tsv, docs/PLAYAREA-ITEM-SCAN.md) reads the play_region VOLUME this pickup physically stands on -- the exact id the client's kick-watch reads -- and it disagrees with the nearest-grace derivation, which is a distance heuristic. An EXACT scan answer outranks that heuristic for a GROUND-PLACED pickup; #1054's NPC-relocation families (Patches / Bernahl / Moore) and the two deliberate carves (#885 Hippo, the Leyndell finale sub-carve) are withheld and stay in that issue. Paired with gen_data.FLAG_REGION_OVERRIDE[2047417110].
flag	2048417000	Gravesite	THE PLAYAREA-SCAN ADJUDICATION (2026-08-26, #1054 / #1046). Fire Coil, Ellac River Downstream. The PlayArea item scan (greenfield/item_play_regions.tsv, docs/PLAYAREA-ITEM-SCAN.md) reads the play_region VOLUME this pickup physically stands on -- the exact id the client's kick-watch reads -- and it disagrees with the nearest-grace derivation, which is a distance heuristic. An EXACT scan answer outranks that heuristic for a GROUND-PLACED pickup; #1054's NPC-relocation families (Patches / Bernahl / Moore) and the two deliberate carves (#885 Hippo, the Leyndell finale sub-carve) are withheld and stay in that issue. Paired with gen_data.FLAG_REGION_OVERRIDE[2048417000].
flag	2048417010	Gravesite	THE PLAYAREA-SCAN ADJUDICATION (2026-08-26, #1054 / #1046). Blessing of Marika, Ellac River Downstream. The PlayArea item scan (greenfield/item_play_regions.tsv, docs/PLAYAREA-ITEM-SCAN.md) reads the play_region VOLUME this pickup physically stands on -- the exact id the client's kick-watch reads -- and it disagrees with the nearest-grace derivation, which is a distance heuristic. An EXACT scan answer outranks that heuristic for a GROUND-PLACED pickup; #1054's NPC-relocation families (Patches / Bernahl / Moore) and the two deliberate carves (#885 Hippo, the Leyndell finale sub-carve) are withheld and stay in that issue. Paired with gen_data.FLAG_REGION_OVERRIDE[2048417010].
flag	2048417700	Gravesite	THE PLAYAREA-SCAN ADJUDICATION (2026-08-26, #1054 / #1046). Scadutree Fragment, Ellac River Downstream. The PlayArea item scan (greenfield/item_play_regions.tsv, docs/PLAYAREA-ITEM-SCAN.md) reads the play_region VOLUME this pickup physically stands on -- the exact id the client's kick-watch reads -- and it disagrees with the nearest-grace derivation, which is a distance heuristic. An EXACT scan answer outranks that heuristic for a GROUND-PLACED pickup; #1054's NPC-relocation families (Patches / Bernahl / Moore) and the two deliberate carves (#885 Hippo, the Leyndell finale sub-carve) are withheld and stay in that issue. Paired with gen_data.FLAG_REGION_OVERRIDE[2048417700].
flag	2049427000	Gravesite	THE PLAYAREA-SCAN ADJUDICATION (2026-08-26, #1054 / #1046). Talisman of the Dread, behind the Fort of Reprimand. The PlayArea item scan (greenfield/item_play_regions.tsv, docs/PLAYAREA-ITEM-SCAN.md) reads the play_region VOLUME this pickup physically stands on -- the exact id the client's kick-watch reads -- and it disagrees with the nearest-grace derivation, which is a distance heuristic. An EXACT scan answer outranks that heuristic for a GROUND-PLACED pickup; #1054's NPC-relocation families (Patches / Bernahl / Moore) and the two deliberate carves (#885 Hippo, the Leyndell finale sub-carve) are withheld and stay in that issue. Paired with gen_data.FLAG_REGION_OVERRIDE[2049427000].
flag	2052407010	Abyssal	THE PLAYAREA-SCAN ADJUDICATION (2026-08-26, #1054 / #1046). Somber Smithing Stone [6], Church Ruins. The PlayArea item scan (greenfield/item_play_regions.tsv, docs/PLAYAREA-ITEM-SCAN.md) reads the play_region VOLUME this pickup physically stands on -- the exact id the client's kick-watch reads -- and it disagrees with the nearest-grace derivation, which is a distance heuristic. An EXACT scan answer outranks that heuristic for a GROUND-PLACED pickup; #1054's NPC-relocation families (Patches / Bernahl / Moore) and the two deliberate carves (#885 Hippo, the Leyndell finale sub-carve) are withheld and stay in that issue. Paired with gen_data.FLAG_REGION_OVERRIDE[2052407010].
flag	2052417010	Abyssal	THE PLAYAREA-SCAN ADJUDICATION (2026-08-26, #1054 / #1046). Clarifying Boluses, Church Ruins. The PlayArea item scan (greenfield/item_play_regions.tsv, docs/PLAYAREA-ITEM-SCAN.md) reads the play_region VOLUME this pickup physically stands on -- the exact id the client's kick-watch reads -- and it disagrees with the nearest-grace derivation, which is a distance heuristic. An EXACT scan answer outranks that heuristic for a GROUND-PLACED pickup; #1054's NPC-relocation families (Patches / Bernahl / Moore) and the two deliberate carves (#885 Hippo, the Leyndell finale sub-carve) are withheld and stay in that issue. Paired with gen_data.FLAG_REGION_OVERRIDE[2052417010].
flag	2050437010	Abyssal	THE PLAYAREA-SCAN ADJUDICATION (2026-08-26, #1054 / #1046). Scadutree Fragment, near Abyssal Woods. The PlayArea item scan (greenfield/item_play_regions.tsv, docs/PLAYAREA-ITEM-SCAN.md) reads the play_region VOLUME this pickup physically stands on -- the exact id the client's kick-watch reads -- and it disagrees with the nearest-grace derivation, which is a distance heuristic. An EXACT scan answer outranks that heuristic for a GROUND-PLACED pickup; #1054's NPC-relocation families (Patches / Bernahl / Moore) and the two deliberate carves (#885 Hippo, the Leyndell finale sub-carve) are withheld and stay in that issue. Paired with gen_data.FLAG_REGION_OVERRIDE[2050437010].
flag	2050437040	Abyssal	THE PLAYAREA-SCAN ADJUDICATION (2026-08-26, #1054 / #1046). Smithing Stone [7], near Abyssal Woods. The PlayArea item scan (greenfield/item_play_regions.tsv, docs/PLAYAREA-ITEM-SCAN.md) reads the play_region VOLUME this pickup physically stands on -- the exact id the client's kick-watch reads -- and it disagrees with the nearest-grace derivation, which is a distance heuristic. An EXACT scan answer outranks that heuristic for a GROUND-PLACED pickup; #1054's NPC-relocation families (Patches / Bernahl / Moore) and the two deliberate carves (#885 Hippo, the Leyndell finale sub-carve) are withheld and stay in that issue. Paired with gen_data.FLAG_REGION_OVERRIDE[2050437040].
flag	400220	Stormveil	THE ROUNDTABLE GOLDEN SEED (2026-08-26, #445 ground audit). f400220's Hold filing was never a derivation: its legacy region_map row is map=PENDING / method=global_filler, its name still carried "(region unconfirmed)", and location_descriptions.tsv records that Alaric's 2026-08-04 pass over all 43 Golden Seeds left this one blank. The full-census coordinate refresh gave it three MSB placements of its only lot (112200): m10_00 -- Stormveil, play_region bucket 10000, the tile that carries 127 other Stormveil checks -- and the Limgrave tiles m60_45_38 / m60_46_36, neither of which has a play_region row. None is in the Hold. Since the HUB is in scope in EVERY seed, the Hold filing created this check unconditionally while its only witnessed ground sat behind the Stormveil lock (the #680 shape). Filed on the ground that can be witnessed; gen_data.FLAG_REGION_OVERRIDE[400220] carries the same sentence.
flag	530845	Cerulean	Star-Lined Sword -- DEMI-HUMAN QUEEN MARIGGA'S OWN DROP (#1066, J's Discord report 2026-08-26). The drop shipped Gravesite off the tile decode because the boss has no boss_area_regions row for region_of's boss-drop branch to correct with. She is fought on the CERULEAN COAST -- Alaric in-game 2026-08-10, recorded in boss_verdict_tiles.tsv on m61_44_41 and m61_47_40 ('on the CERULEAN COAST, not Gravesite'), and corroborated by the PlayArea scan: her tile m61_46_40 buckets 68300/68400, both Cerulean in PLAY_REGION_GROUPS, and Gravesite owns neither. A boss's drop is collectible only by standing in its arena, so the arena ruling is the answer for the drop as well. The same ruling now also decides her SWEEP host region (boss_arena_rulings.tsv row added in #1066).
