# AUTO-GENERATED by tools/datamine_item_play_regions.py --emit -- DO NOT EDIT.
# Per ITEM PLACEMENT: the play_region id(s) of the ground the pickup stands on,
#   read from MSB Region/PlayArea <PlayRegionID> by point-in-volume test -- the
#   exact id the client's kick-watch reads. buckets = ID // 100.
# One row per placement: a flag placed in two maps has two rows (442 flags are).
# source: volume:/interior-vol: = a volume CONTAINS it (the ruling); seam:/
#   interior-seam: = within 8 m of a volume face; tile-default/interior-map =
#   the PlayRegionParam default for its own tile; '-' = no answer, and absence
#   of an answer is NOT evidence about the region.
# Calibrated by --graces against greenfield/grace_ground.tsv (docs/PLAYAREA-ITEM-SCAN.md).
flag	map_id	play_region_ids	buckets	source
62062	m12_05_00_00	1205000;1205001;1205002;1205003;1205004;1205005;1205006;1205007;1205090	12050	interior-map
62063	m12_02_00_00	1202000;1202001;1202002;1202003;1202004;1202005;1202006;1202007;1202011;1202012;1202013;1202020;1202032;1202033;1202034	12020	interior-map
62064	m12_03_00_00	1203000;1203001;1203002;1203003;1203004;1203005	12030	interior-map
62080	m61_47_41_00	-	-	none
62081	m61_48_45_00	6900000	69000	tile-default
62082	m61_48_37_00	-	-	none
62083	m61_46_45_00	6901000;6901001	69010	tile-default
62083	m61_46_45_10	6901000;6901001	69010	tile-default
62084	m61_52_41_00	-	-	none
65030	m60_44_53_00	-	-	none
65030	m60_44_53_10	-	-	none
65120	m60_44_53_00	-	-	none
65120	m60_44_53_10	-	-	none
65140	m60_45_37_00	6100003	61000	tile-default
65140	m60_45_37_10	6100003	61000	tile-default
65150	m60_49_37_00	-	-	none
65200	m60_52_54_00	6502000	65020	tile-default
65210	m60_42_39_00	-	-	none
65220	m60_36_42_00	-	-	none
65230	m60_35_49_00	-	-	none
65240	m60_43_34_00	-	-	none
65610	m10_00_00_00	1000000;1000001;1000002;1000003;1000004;1000005;1000006;1000007;1000008;1000009;1000011;1000012;1000013;1000090;1000091	10000	interior-map
65640	m60_51_36_00	6400002	64000	tile-default
65660	m11_00_00_00	1100000;1100001;1100002;1100010;1100011;1100012;1100013;1100014;1100015;1100016;1100017;1100018;1100019;1100021;1100090;1100091;1100092	11000	interior-map
65680	m14_00_00_00	1400000;1400001;1400002;1400003;1400010;1400011;1400012;1400013;1400014;1400015;1400016;1400090	14000	interior-map
65720	m12_02_00_00	1202000;1202001;1202002;1202003;1202004;1202005;1202006;1202007;1202011;1202012;1202013;1202020;1202032;1202033;1202034	12020	interior-map
66000	m31_03_00_00	3103000;3103001	31030	interior-map
66010	m10_00_00_00	1000011	10000	interior-vol:プレイ領域 Compositeパーツ 1000011 ③
66020	m10_00_00_00	1000011	10000	interior-vol:プレイ領域 Compositeパーツ 1000011 ③
66030	m11_10	1110000	11100	interior-map
66030	m60_42_36	6100001	61000	tile-default
66060	m11_10	1110000	11100	interior-map
66060	m60_44_39	6100004	61000	tile-default
66070	m11_10	1110000	11100	interior-map
66070	m60_44_33	6102000	61020	tile-default
66080	m60_39_44_00	-	-	none
66090	m60_39_44_00	-	-	none
66100	m60_39_44_00	-	-	none
66110	m60_35_50_00	6200007	62000	tile-default
66120	m14_00_00_00	1400001	14000	interior-seam:プレイ領域 1400001 オープン湖 モンサン 03@0.5m
66130	m11_00_00_00	1100000;1100001;1100002;1100010;1100011;1100012;1100013;1100014;1100015;1100016;1100017;1100018;1100019;1100021;1100090;1100091;1100092	11000	interior-map
66140	m30_13_00_00	3013000;3013001;3013090;3013091	30130	interior-map
66150	m30_13_00_00	3013000;3013001;3013090;3013091	30130	interior-map
66160	m30_13_00_00	3013000;3013001;3013090;3013091	30130	interior-map
66170	m30_13_00_00	3013000;3013001;3013090;3013091	30130	interior-map
66180	m11_10	1110000	11100	interior-map
66180	m60_49_37	-	-	none
66190	m60_47_40_00	-	-	none
66400	m30_18_00_00	3018003	30180	interior-seam:プレイ領域 パーツ 3018003 ①@4.5m
66410	m14_00_00_00	1400000;1400001;1400002;1400003;1400010;1400011;1400012;1400013;1400014;1400015;1400016;1400090	14000	interior-map
66420	m60_37_42_00	-	-	none
66430	m60_39_44_00	-	-	none
66440	m60_39_44_00	-	-	none
66450	m11_10	1110000	11100	interior-map
66450	m60_35_50	6200007	62000	tile-default
66460	m11_10	1110000	11100	interior-map
66460	m60_48_41	-	-	none
66470	m30_13_00_00	3013000;3013001;3013090;3013091	30130	interior-map
66480	m30_13_00_00	3013000;3013001;3013090;3013091	30130	interior-map
66490	m35_00_00_00	3500007	35000	interior-vol:パーツ：プレイ領域 07領域 - 02
66700	m16_00_00_00	1600013	16000	interior-vol:プレイ領域（Compositeパーツ） 1600013 ③
66710	m11_00_00_00	1100000;1100001;1100002;1100010;1100011;1100012;1100013;1100014;1100015;1100016;1100017;1100018;1100019;1100021;1100090;1100091;1100092	11000	interior-map
66720	m11_00_00_00	1100000;1100001;1100002;1100010;1100011;1100012;1100013;1100014;1100015;1100016;1100017;1100018;1100019;1100021;1100090;1100091;1100092	11000	interior-map
66730	m60_36_51_00	-	-	none
66740	m60_36_52_00	-	-	none
66750	m11_10	1110000	11100	interior-map
66750	m60_43_53	-	-	none
66760	m60_39_51_00	6300002	63000	tile-default
66770	m60_39_54_00	-	-	none
66780	m31_18_00_00	3118000;3118001	31180	interior-map
66790	m60_48_38_00	-	-	none
66900	m41_00_00_00	4100000;4100001;4100002;4100003;4100004;4100005	41000	interior-map
66910	m41_00_00_00	4100000;4100001;4100002;4100003;4100004;4100005	41000	interior-map
66920	m41_00_00_00	4100000;4100001;4100002;4100003;4100004;4100005	41000	interior-map
66930	m41_01_00_00	4101001	41010	interior-vol:マルチプレイエリア領域 道中4101001
66940	m41_02_00_00	4102002	41020	interior-vol:領域 プレイ領域 4102002 死体だまり
66950	m61_47_41_00	-	-	none
66960	m61_50_44_00	-	-	none
66970	m61_50_44_00	-	-	none
66980	m21_02_00_00	2102000;2102001;2102002	21020	interior-map
67000	m11_10	1110000	11100	interior-map
67000	m60_42_36	6100001	61000	tile-default
67010	m11_10	1110000	11100	interior-map
67010	m60_44_39	6100004	61000	tile-default
67020	m60_46_36_00	-	-	none
67020	m60_46_36_10	-	-	none
67030	m10_00_00_00	1000000;1000001;1000002;1000003;1000004;1000005;1000006;1000007;1000008;1000009;1000011;1000012;1000013;1000090;1000091	10000	interior-map
67050	m60_40_39_00	-	-	none
67060	m60_35_44_00	-	-	none
67070	m60_41_53_00	-	-	none
67080	m11_10	1110000	11100	interior-map
67080	m60_36_49	-	-	none
67090	m60_49_54_00	-	-	none
67100	m11_10	1110000	11100	interior-map
67100	m12_02	1202000;1202001;1202002;1202003;1202004;1202005;1202006;1202007;1202011;1202012;1202013;1202020;1202032;1202033;1202034	12020	interior-map
67110	m11_10	1110000	11100	interior-map
67110	m60_42_36	6100001	61000	tile-default
67120	m16_00_00_00	1600013	16000	interior-seam:プレイ領域（Compositeパーツ） 1600013 ①@1.3m
67130	m16_00_00_00	1600002	16000	interior-vol:プレイ領域（Compositeパーツ） 1600002 ②
67200	m60_43_38_00	-	-	none
67210	m11_10	1110000	11100	interior-map
67210	m60_41_36	-	-	none
67220	m11_10	1110000	11100	interior-map
67220	m60_38_41	-	-	none
67220	m60_42_36	6100001	61000	tile-default
67230	m11_10	1110000	11100	interior-map
67230	m60_37_54	6302000	63020	tile-default
67250	m60_35_54_00	6302002	63020	tile-default
67260	m60_51_36_00	6400002	64000	tile-default
67270	m11_10	1110000	11100	interior-map
67270	m12_02	1202000;1202001;1202002;1202003;1202004;1202005;1202006;1202007;1202011;1202012;1202013;1202020;1202032;1202033;1202034	12020	interior-map
67280	m11_10	1110000	11100	interior-map
67280	m60_45_36	-	-	none
67290	m11_10	1110000	11100	interior-map
67290	m12_01	1201000;1201001;1201002;1201003;1201011;1201012;1201013;1201014;1201015;1201016;1201017	12010	interior-map
67300	m12_02_00_00	1202000;1202001;1202002;1202003;1202004;1202005;1202006;1202007;1202011;1202012;1202013;1202020;1202032;1202033;1202034	12020	interior-map
67310	m60_51_36_00	-	-	none
67400	m60_36_44_00	6200000	62000	tile-default
67410	m60_38_40_00	-	-	none
67420	m14_00_00_00	1400000;1400001;1400002;1400003;1400010;1400011;1400012;1400013;1400014;1400015;1400016;1400090	14000	interior-map
67430	m30_00_00_00	3000000;3000001	30000	interior-map
67440	m60_49_56_00	-	-	none
67450	m60_38_41_00	-	-	none
67460	m60_35_50_00	6200005	62000	seam:領域 プレイ領域 6200005@3.7m
67470	m11_10	1110000	11100	interior-map
67470	m60_35_50	6200007	62000	tile-default
67480	m60_38_42_00	6200001	62000	tile-default
67600	m11_10	1110000	11100	interior-map
67600	m16_00	1600012	16000	interior-seam:プレイ領域 1600012@8.0m
67600	m22_00	2200000;2200001;2200002;2200003;2200004;2200090	22000	interior-map
67600	m31_00	3100000;3100001	31000	interior-map
67600	m60_37_42	-	-	none
67600	m60_37_54	6302000	63020	tile-default
67600	m60_39_54	-	-	none
67610	m11_10	1110000	11100	interior-map
67610	m60_42_36	6100001	61000	tile-default
67630	m12_02_00_00	1202000;1202001;1202002;1202003;1202004;1202005;1202006;1202007;1202011;1202012;1202013;1202020;1202032;1202033;1202034	12020	interior-map
67640	m60_43_50_00	3412011	34120	tile-default
67650	m60_46_40_00	-	-	none
67800	m60_45_37_00	6100003	61000	tile-default
67800	m60_45_37_10	6100003	61000	tile-default
67830	m11_10	1110000	11100	interior-map
67830	m60_45_36	-	-	none
67840	m60_36_51_00	-	-	none
67850	m60_39_54_00	-	-	none
67860	m30_13_00_00	3013000;3013001;3013090;3013091	30130	interior-map
67870	m60_46_40_00	-	-	none
67880	m31_02_00_00	3102000;3102001	31020	interior-map
67890	m12_01_00_00	1201000;1201001;1201002;1201003;1201011;1201012;1201013;1201014;1201015;1201016;1201017	12010	interior-map
67900	m11_10	1110000	11100	interior-map
67900	m60_49_37	-	-	none
67910	m12_05_00_00	1205000;1205001;1205002;1205003;1205004;1205005;1205006;1205007;1205090	12050	interior-map
67920	m11_10	1110000	11100	interior-map
67920	m12_01	1201000;1201001;1201002;1201003;1201011;1201012;1201013;1201014;1201015;1201016;1201017	12010	interior-map
68000	m30_07_00_00	3007000;3007001	30070	interior-map
68010	m11_10	1110000	11100	interior-map
68010	m60_40_52	-	-	none
68020	m13_00_00_00	1300000;1300001;1300002;1300003;1300004;1300005;1300006;1300010;1300011;1300012;1300013;1300014;1300015;1300016;1300017;1300018;1300019;1300020;1300021;1300090	13000	interior-map
68030	m60_48_36_00	-	-	none
68200	m60_45_38_00	-	-	none
68200	m60_45_38_10	-	-	none
68210	m11_10	1110000	11100	interior-map
68220	m11_10	1110000	11100	interior-map
68220	m60_35_45	1400011	14000	volume:プレイ領域 モンサン前階段05
68230	m11_10	1110000	11100	interior-map
68230	m60_51_56	6501002	65010	volume:プレイ領域 6501002 構成パーツ1
68400	m60_38_48_00	-	-	none
68410	m35_00_00_00	3500000;3500001;3500002;3500003;3500004;3500005;3500006;3500007;3500008;3500009;3500010;3500011;3500090;3500091;3500092	35000	interior-map
68570	m61_54_40_00	-	-	none
68580	m61_51_46_00	2500001	25000	volume:領域 マルチプレイエリア2500001
68590	m61_47_41_00	-	-	none
68600	m61_51_45_00	6903000	69030	tile-default
68610	m61_46_40_00	-	-	none
68620	m61_47_42_00	6810090	68100	volume:領域 マルチプレイエリア上書き 川エリア マルチ禁止
68630	m61_49_43_00	6810000	68100	volume:領域 マルチプレイエリア上書き 墓地平原・前半橋後 {2}
68640	m61_44_46_00	-	-	none
68640	m61_44_46_10	-	-	none
68650	m61_46_44_00	-	-	none
68650	m61_46_44_10	-	-	none
68660	m41_00_00_00	4100000;4100001;4100002;4100003;4100004;4100005	41000	interior-map
68670	m61_50_41_00	-	-	none
68680	m61_44_47_00	-	-	none
68680	m61_44_47_10	-	-	none
68680	m61_45_48_00	6901000	69010	volume:プレイ領域上書き ルーンベアの森②
68690	m61_47_45_00	6900000	69000	volume:プレイ領域 6900000 {2}
68690	m61_47_45_10	6900000	69000	volume:プレイ領域 6900000 {2}
68700	m42_00_00_00	4200090	42000	interior-map
68710	m61_47_39_00	6840000	68400	volume:プレイ領域上書き領域 ドラゴン山・西
68720	m61_51_41_00	-	-	none
68730	m61_46_43_00	-	-	none
68740	m40_00_00_00	4000000;4000001;4000002	40000	interior-map
68750	m61_48_42_00	6860000	68600	volume:プレイ領域 6860000
68760	m61_48_37_00	-	-	none
68770	m61_49_44_00	-	-	none
68780	m40_01_00_00	4001000;4001001;4001002	40010	interior-map
68790	m61_47_44_00	6810000;6820000	68100;68200	tile-default
68790	m61_47_44_10	6810000;6820000	68100;68200	tile-default
68800	m21_00_00_00	2100012	21000	interior-vol:プレイ領域 2100012-5
68810	m61_49_39_00	-	-	none
68820	m61_49_43_00	-	-	none
68840	m22_00_00_00	2200000;2200001;2200002;2200003;2200004;2200090	22000	interior-map
68850	m61_49_38_00	-	-	none
68880	m28_00_00_00	6860002;6860003	68600	interior-vol:プレイ領域 6860002 回廊・研究室 下層
68890	m61_48_46_00	-	-	none
68900	m61_47_44_00	6810000;6820000	68100;68200	tile-default
68900	m61_47_44_10	6810000;6820000	68100;68200	tile-default
68920	m61_49_38_00	6830000	68300	volume:領域 プレイ領域上書き 墓地平原・箱舟
68930	m21_02_00_00	2102000;2102001;2102002	21020	interior-map
68940	m61_46_38_00	-	-	none
68950	m61_47_35_00	-	-	none
69600	m11_10	1110000	11100	interior-map
69600	m60_48_41	-	-	none
69610	m11_10	1110000	11100	interior-map
69610	m60_40_52	-	-	none
69620	m11_10	1110000	11100	interior-map
69620	m60_42_36	6100001	61000	tile-default
69630	m11_10	1110000	11100	interior-map
69630	m60_41_36	-	-	none
69640	m11_10	1110000	11100	interior-map
69640	m60_41_32	-	-	none
69640	m60_42_36	6100001	61000	tile-default
69650	m11_10	1110000	11100	interior-map
69650	m60_40_52	-	-	none
69670	m11_10	1110000	11100	interior-map
69670	m60_44_39	6100004	61000	tile-default
69680	m11_10	1110000	11100	interior-map
69680	m60_44_33	6102000	61020	tile-default
69690	m11_10	1110000	11100	interior-map
69690	m60_41_36	-	-	none
69700	m11_10	1110000	11100	interior-map
69700	m60_49_37	-	-	none
69710	m11_10	1110000	11100	interior-map
69710	m60_35_45	1400011	14000	volume:プレイ領域 モンサン前階段05
69720	m11_10	1110000	11100	interior-map
69720	m60_42_36	6100001	61000	tile-default
69730	m11_10	1110000	11100	interior-map
69730	m60_48_41	-	-	none
69740	m35_00_00_00	3500000;3500001;3500002;3500003;3500004;3500005;3500006;3500007;3500008;3500009;3500010;3500011;3500090;3500091;3500092	35000	interior-map
69750	m11_10	1110000	11100	interior-map
69750	m60_35_45	1400011	14000	volume:プレイ領域 モンサン前階段05
69760	m60_38_48_00	-	-	none
69770	m11_10	1110000	11100	interior-map
69770	m60_43_53	-	-	none
69900	m11_10	1110000	11100	interior-map
69900	m60_35_50	6200007	62000	tile-default
69910	m11_10	1110000	11100	interior-map
69910	m60_35_45	1400011	14000	volume:プレイ領域 モンサン前階段05
100000	m10_00	1000006	10000	interior-vol:プレイ領域 Compositeパーツ 1000006 ②
100000	m11_10	1110000	11100	interior-map
100020	m10_00	1000006	10000	interior-vol:プレイ領域 Compositeパーツ 1000006 ②
100020	m11_10	1110000	11100	interior-map
100040	m10_00	1000006	10000	interior-vol:プレイ領域 Compositeパーツ 1000006 ②
100040	m11_10	1110000	11100	interior-map
100090	m10_00	1000006	10000	interior-vol:プレイ領域 Compositeパーツ 1000006 ②
100090	m11_10	1110000	11100	interior-map
100100	m10_00	1000006	10000	interior-vol:プレイ領域 Compositeパーツ 1000006 ②
100100	m11_10	1110000	11100	interior-map
100110	m10_00	1000006	10000	interior-vol:プレイ領域 Compositeパーツ 1000006 ②
100110	m11_10	1110000	11100	interior-map
100120	m10_00	1000006	10000	interior-vol:プレイ領域 Compositeパーツ 1000006 ②
100120	m11_10	1110000	11100	interior-map
100130	m10_00	1000006	10000	interior-vol:プレイ領域 Compositeパーツ 1000006 ②
100130	m11_10	1110000	11100	interior-map
100140	m10_00	1000006	10000	interior-vol:プレイ領域 Compositeパーツ 1000006 ②
100140	m11_10	1110000	11100	interior-map
100150	m10_00	1000006	10000	interior-vol:プレイ領域 Compositeパーツ 1000006 ②
100150	m11_10	1110000	11100	interior-map
100160	m10_00	1000006	10000	interior-vol:プレイ領域 Compositeパーツ 1000006 ②
100160	m11_10	1110000	11100	interior-map
100170	m10_00	1000006	10000	interior-vol:プレイ領域 Compositeパーツ 1000006 ②
100170	m11_10	1110000	11100	interior-map
100180	m10_00	1000006	10000	interior-vol:プレイ領域 Compositeパーツ 1000006 ②
100180	m11_10	1110000	11100	interior-map
100500	m11_10	1110000	11100	interior-map
100500	m14_00	1400000;1400001;1400002;1400003;1400010;1400011;1400012;1400013;1400014;1400015;1400016;1400090	14000	interior-map
100500	m60_34_50	-	-	none
100500	m60_44_36	6100010	61000	volume:領域 プレイ領域 6100010
100510	m11_10	1110000	11100	interior-map
100510	m14_00	1400000;1400001;1400002;1400003;1400010;1400011;1400012;1400013;1400014;1400015;1400016;1400090	14000	interior-map
100510	m60_34_50	-	-	none
100510	m60_44_36	6100010	61000	volume:領域 プレイ領域 6100010
100520	m11_10	1110000	11100	interior-map
100520	m14_00	1400000;1400001;1400002;1400003;1400010;1400011;1400012;1400013;1400014;1400015;1400016;1400090	14000	interior-map
100520	m60_34_50	-	-	none
100520	m60_44_36	6100010	61000	volume:領域 プレイ領域 6100010
100530	m11_10	1110000	11100	interior-map
100530	m14_00	1400000;1400001;1400002;1400003;1400010;1400011;1400012;1400013;1400014;1400015;1400016;1400090	14000	interior-map
100530	m60_34_50	-	-	none
100530	m60_44_36	6100010	61000	volume:領域 プレイ領域 6100010
100540	m11_10	1110000	11100	interior-map
100540	m14_00	1400000;1400001;1400002;1400003;1400010;1400011;1400012;1400013;1400014;1400015;1400016;1400090	14000	interior-map
100540	m60_34_50	-	-	none
100540	m60_44_36	6100010	61000	volume:領域 プレイ領域 6100010
100550	m11_10	1110000	11100	interior-map
100550	m14_00	1400000;1400001;1400002;1400003;1400010;1400011;1400012;1400013;1400014;1400015;1400016;1400090	14000	interior-map
100550	m60_34_50	-	-	none
100550	m60_44_36	6100010	61000	volume:領域 プレイ領域 6100010
100560	m11_10	1110000	11100	interior-map
100560	m14_00	1400000;1400001;1400002;1400003;1400010;1400011;1400012;1400013;1400014;1400015;1400016;1400090	14000	interior-map
100560	m60_34_50	-	-	none
100560	m60_44_36	6100010	61000	volume:領域 プレイ領域 6100010
100570	m11_10	1110000	11100	interior-map
100570	m14_00	1400000;1400001;1400002;1400003;1400010;1400011;1400012;1400013;1400014;1400015;1400016;1400090	14000	interior-map
100570	m60_34_50	-	-	none
100570	m60_44_36	6100010	61000	volume:領域 プレイ領域 6100010
100580	m11_10	1110000	11100	interior-map
100580	m14_00	1400000;1400001;1400002;1400003;1400010;1400011;1400012;1400013;1400014;1400015;1400016;1400090	14000	interior-map
100580	m60_34_50	-	-	none
100580	m60_44_36	6100010	61000	volume:領域 プレイ領域 6100010
100590	m11_10	1110000	11100	interior-map
100590	m14_00	1400000;1400001;1400002;1400003;1400010;1400011;1400012;1400013;1400014;1400015;1400016;1400090	14000	interior-map
100590	m60_34_50	-	-	none
100590	m60_44_36	6100010	61000	volume:領域 プレイ領域 6100010
100600	m11_10	1110000	11100	interior-map
100600	m14_00	1400000;1400001;1400002;1400003;1400010;1400011;1400012;1400013;1400014;1400015;1400016;1400090	14000	interior-map
100600	m60_34_50	-	-	none
100600	m60_44_36	6100010	61000	volume:領域 プレイ領域 6100010
100610	m11_10	1110000	11100	interior-map
100610	m14_00	1400000;1400001;1400002;1400003;1400010;1400011;1400012;1400013;1400014;1400015;1400016;1400090	14000	interior-map
100610	m60_34_50	-	-	none
100610	m60_44_36	6100010	61000	volume:領域 プレイ領域 6100010
100620	m11_10	1110000	11100	interior-map
100620	m14_00	1400000;1400001;1400002;1400003;1400010;1400011;1400012;1400013;1400014;1400015;1400016;1400090	14000	interior-map
100620	m60_34_50	-	-	none
100620	m60_44_36	6100010	61000	volume:領域 プレイ領域 6100010
100750	m11_10	1110000	11100	interior-map
100750	m16_00	1600013	16000	interior-seam:プレイ領域（Compositeパーツ） 1600013 ②@2.1m
100750	m60_42_38	-	-	none
100760	m11_10	1110000	11100	interior-map
100760	m16_00	1600013	16000	interior-seam:プレイ領域（Compositeパーツ） 1600013 ②@2.1m
100760	m60_42_38	-	-	none
100770	m11_10	1110000	11100	interior-map
100770	m16_00	1600013	16000	interior-seam:プレイ領域（Compositeパーツ） 1600013 ②@2.1m
100770	m60_42_38	-	-	none
100780	m11_10	1110000	11100	interior-map
100780	m16_00	1600013	16000	interior-seam:プレイ領域（Compositeパーツ） 1600013 ②@2.1m
100780	m60_42_38	-	-	none
100790	m11_10	1110000	11100	interior-map
100790	m16_00	1600013	16000	interior-seam:プレイ領域（Compositeパーツ） 1600013 ②@2.1m
100790	m60_42_38	-	-	none
100800	m11_10	1110000	11100	interior-map
100800	m16_00	1600013	16000	interior-seam:プレイ領域（Compositeパーツ） 1600013 ②@2.1m
100800	m60_42_38	-	-	none
100810	m11_10	1110000	11100	interior-map
100810	m16_00	1600013	16000	interior-seam:プレイ領域（Compositeパーツ） 1600013 ②@2.1m
100810	m60_42_38	-	-	none
100820	m11_10	1110000	11100	interior-map
100820	m16_00	1600013	16000	interior-seam:プレイ領域（Compositeパーツ） 1600013 ②@2.1m
100820	m60_42_38	-	-	none
100830	m11_10	1110000	11100	interior-map
100830	m16_00	1600013	16000	interior-seam:プレイ領域（Compositeパーツ） 1600013 ②@2.1m
100830	m60_42_38	-	-	none
100840	m11_10	1110000	11100	interior-map
100840	m16_00	1600013	16000	interior-seam:プレイ領域（Compositeパーツ） 1600013 ②@2.1m
100840	m60_42_38	-	-	none
100850	m11_10	1110000	11100	interior-map
100850	m16_00	1600013	16000	interior-seam:プレイ領域（Compositeパーツ） 1600013 ②@2.1m
100850	m60_42_38	-	-	none
100860	m11_10	1110000	11100	interior-map
100860	m16_00	1600013	16000	interior-seam:プレイ領域（Compositeパーツ） 1600013 ②@2.1m
100860	m60_42_38	-	-	none
110000	m11_10	1110000	11100	interior-map
110000	m16_00	1600012	16000	interior-seam:プレイ領域 1600012@8.0m
110000	m22_00	2200000;2200001;2200002;2200003;2200004;2200090	22000	interior-map
110000	m31_00	3100000;3100001	31000	interior-map
110000	m60_37_42	-	-	none
110000	m60_37_54	6302000	63020	tile-default
110000	m60_39_54	-	-	none
110020	m11_10	1110000	11100	interior-map
110020	m16_00	1600012	16000	interior-seam:プレイ領域 1600012@8.0m
110020	m22_00	2200000;2200001;2200002;2200003;2200004;2200090	22000	interior-map
110020	m31_00	3100000;3100001	31000	interior-map
110020	m60_37_42	-	-	none
110020	m60_37_54	6302000	63020	tile-default
110020	m60_39_54	-	-	none
110030	m11_10	1110000	11100	interior-map
110030	m16_00	1600012	16000	interior-seam:プレイ領域 1600012@8.0m
110030	m22_00	2200000;2200001;2200002;2200003;2200004;2200090	22000	interior-map
110030	m31_00	3100000;3100001	31000	interior-map
110030	m60_37_42	-	-	none
110030	m60_37_54	6302000	63020	tile-default
110030	m60_39_54	-	-	none
110050	m11_10	1110000	11100	interior-map
110050	m16_00	1600012	16000	interior-seam:プレイ領域 1600012@8.0m
110050	m22_00	2200000;2200001;2200002;2200003;2200004;2200090	22000	interior-map
110050	m31_00	3100000;3100001	31000	interior-map
110050	m60_37_42	-	-	none
110050	m60_37_54	6302000	63020	tile-default
110050	m60_39_54	-	-	none
110080	m11_10	1110000	11100	interior-map
110080	m16_00	1600012	16000	interior-seam:プレイ領域 1600012@8.0m
110080	m22_00	2200000;2200001;2200002;2200003;2200004;2200090	22000	interior-map
110080	m31_00	3100000;3100001	31000	interior-map
110080	m60_37_42	-	-	none
110080	m60_37_54	6302000	63020	tile-default
110080	m60_39_54	-	-	none
110110	m11_10	1110000	11100	interior-map
110110	m16_00	1600012	16000	interior-seam:プレイ領域 1600012@8.0m
110110	m22_00	2200000;2200001;2200002;2200003;2200004;2200090	22000	interior-map
110110	m31_00	3100000;3100001	31000	interior-map
110110	m60_37_42	-	-	none
110110	m60_37_54	6302000	63020	tile-default
110110	m60_39_54	-	-	none
110120	m11_10	1110000	11100	interior-map
110120	m16_00	1600012	16000	interior-seam:プレイ領域 1600012@8.0m
110120	m22_00	2200000;2200001;2200002;2200003;2200004;2200090	22000	interior-map
110120	m31_00	3100000;3100001	31000	interior-map
110120	m60_37_42	-	-	none
110120	m60_37_54	6302000	63020	tile-default
110120	m60_39_54	-	-	none
110130	m11_10	1110000	11100	interior-map
110130	m16_00	1600012	16000	interior-seam:プレイ領域 1600012@8.0m
110130	m22_00	2200000;2200001;2200002;2200003;2200004;2200090	22000	interior-map
110130	m31_00	3100000;3100001	31000	interior-map
110130	m60_37_42	-	-	none
110130	m60_37_54	6302000	63020	tile-default
110130	m60_39_54	-	-	none
