# Second opinion on the "(region unconfirmed)" checks -- tools/audit_region_second_opinion.py
#
# Sources: Eldenpedia (eldenring.wiki.gg, CC BY-SA 4.0); Elden Ring Wiki on Fandom
# (eldenring.fandom.com, CC BY-SA 3.0) as fallback. ERDB (MIT) probed and not used: its
# datamined params carry no placement field. Fextralife is deliberately not consulted.
#
# No wiki prose is reproduced here. Every cell is a region name from OUR vocabulary, an id
# from OUR tables, a page TITLE used as a citation, or a verdict in OUR words.
#
# This is a CANDIDATE list for hand-adjudication, not a cull list and not a fix list.
# NO-DATA means "not readable there" -- absence on a thin wiki is WEAK evidence that
# says nothing about whether the check's region is right.
#
# The msb_vote_* columns are a SECOND and SEPARATE opinion, computed offline from our own
# committed MSB coordinates (tools/msb_region_vote.py): the region of the nearest
# region-attributed Site of Grace, once the check is folded into the overworld frame.
# 92.9% on a 2169-check control set (--calibrate, 2026-08-26) -- roughly one row in fourteen is WRONG, so this is a RANKING signal for hand-adjudication, never an adjudicator. It does NOT describe a PLAYAREA-CONFIRMED row: those are RULINGS from the PlayArea point-in-volume test (docs/PLAYAREA-ITEM-SCAN.md), they REPLACED the vote, and the 518 of them in the control population are excluded from the number above rather than flattering it.
# It is NOT independent of the nearest-neighbour hop that produced these regions in the first
# place, so a vote that AGREES with us corroborates nothing. vote_note: NO-COORDS (no MSB row),
# NO-ANCHOR (no region-attributed grace in that frame), SUSPECT-ANCHOR (the anchoring grace's
# own region came from a tile-default row, so the vote inherits a tile-wide guess),
# CROSS-TILE-MSB (the coords are authored on a different fine-grid tile than the label names),
# COARSE-LOD (the coords row is on a LOD1/2 tile -- folded correctly, but coarser).
verdict	our_region	external_regions	flag	ap_id	map_tile	item	source	page_title	scope	how	label	msb_vote_region	vote_distance_m	vote_unanimous	vote_anchor_grace	vote_note
DISAGREE	Mountaintops of the Giants	Consecrated Snowfield,Mohgwyn	1047567700	7773141	m60_47_56	Sanguine Noble Hood	fandom	Sanguine Noble Hood	acquisition	GUESSED	Mountaintops of the Giants :: Sanguine Noble Waistcloth - m60_47_56 (region unconfirmed) [f1047567700]					NO-COORDS
DISAGREE	Mountaintops of the Giants	Consecrated Snowfield	1047567700	7900258	m60_47_56	Sanguine Noble Robe	eldenpedia	Sanguine Noble Robe	acquisition	GUESSED	Mountaintops of the Giants :: Sanguine Noble Waistcloth - m60_47_56 (region unconfirmed) [f1047567700]					NO-COORDS
DISAGREE	Mountaintops of the Giants	Consecrated Snowfield	1048547990	7774712	m60_48_54	Rotten Battle Hammer	eldenpedia	Rotten Battle Hammer	page-wide	GUESSED	Mountaintops of the Giants :: Rotten Duelist Helm - near Consecrated Snowfield (region unconfirmed) [f1048547990]	Consecrated Snowfield	332.2	no	73211 Yelough Anix Tunnel	SUSPECT-ANCHOR
DISAGREE	Mountaintops of the Giants	Consecrated Snowfield	1048557900	7773168	m60_48_55	Flowing Curved Sword	eldenpedia	Flowing Curved Sword	page-wide	GUESSED	Mountaintops of the Giants :: Flowing Curved Sword - near Inner Consecrated Snowfield (region unconfirmed) [f1048557900]	Consecrated Snowfield	338.9	no	73211 Yelough Anix Tunnel	COARSE-LOD;SUSPECT-ANCHOR
DISAGREE	Caelid	Farum Azula	1051417010	7774779	m60_51_41	Cinquedea	eldenpedia	Cinquedea	page-wide	GUESSED	Caelid :: Cinquedea - near Bestial Sanctum (region unconfirmed) [f1051417010]	Caelid	194.0	yes	76454 Bestial Sanctum	CROSS-TILE-MSB;SUSPECT-ANCHOR
AMBIGUOUS	Altus	Liurnia,Limgrave,Stormveil,Siofra River,Mountaintops of the Giants	1041537070	7774577	m60_41_53	Soft Cotton	eldenpedia	Soft Cotton	page-wide	GUESSED	Altus :: Soft Cotton - near Forest-Spanning Greatbridge (region unconfirmed) [f1041537070]	Altus	196.6	yes	76304 Forest-Spanning Greatbridge	
AMBIGUOUS	Mountaintops of the Giants	Limgrave,Weeping,Liurnia,Caelid	1050567300	7773238	m60_50_56	Tarnished Golden Sunflower	eldenpedia	Tarnished Golden Sunflower	acquisition	GUESSED	Mountaintops of the Giants :: Tarnished Golden Sunflower - near Inner Consecrated Snowfield (region unconfirmed) [f1050567300]	Mountaintops of the Giants	466.2	yes	76503 Ancient Snow Valley Ruins	
AMBIGUOUS	Caelid	Liurnia,Limgrave,Stormveil,Siofra River,Mountaintops of the Giants	1051417000	7774778	m60_51_41	Soft Cotton	eldenpedia	Soft Cotton	page-wide	GUESSED	Caelid :: Soft Cotton - near Bestial Sanctum (region unconfirmed) [f1051417000]	Caelid	150.1	yes	76454 Bestial Sanctum	CROSS-TILE-MSB;SUSPECT-ANCHOR
AGREE	Liurnia	Liurnia	1034517900	7772664	m60_34_51	Snow Witch Hat	eldenpedia	Snow Witch Hat	acquisition	GUESSED	Liurnia :: Snow Witch Skirt - near Royal Moongazing Grounds (region unconfirmed) [f1034517900]	Liurnia	164.3	yes	76232 Royal Moongazing Grounds	
AGREE	Liurnia	Liurnia	1034517900	7900231	m60_34_51	Snow Witch Robe	eldenpedia	Snow Witch Robe	acquisition	GUESSED	Liurnia :: Snow Witch Skirt - near Royal Moongazing Grounds (region unconfirmed) [f1034517900]	Liurnia	164.3	yes	76232 Royal Moongazing Grounds	
AGREE	Liurnia	Liurnia	1034517900	7900232	m60_34_51	Snow Witch Skirt	eldenpedia	Snow Witch Skirt	acquisition	GUESSED	Liurnia :: Snow Witch Skirt - near Royal Moongazing Grounds (region unconfirmed) [f1034517900]	Liurnia	164.3	yes	76232 Royal Moongazing Grounds	
AGREE	Liurnia	Liurnia,Raya Lucaria Academy	1035447120	7772685	m60_35_44	Blue-White Wooden Shield	eldenpedia	Blue-White Wooden Shield	acquisition	GUESSED	Liurnia :: Blue-White Wooden Shield - near South Raya Lucaria Gate (region unconfirmed) [f1035447120]	Liurnia	99.6	yes	76205 South Raya Lucaria Gate	
AGREE	Mt. Gelmir	Mt. Gelmir	1035547050	7772713	m60_35_54	Fire Scorpion Charm	eldenpedia	Fire Scorpion Charm	page-wide	GUESSED	Mt. Gelmir :: Fire Scorpion Charm - near Seethewater Terminus (region unconfirmed) [f1035547050]	Mt. Gelmir	161.9	yes	76355 Seethewater Terminus	SUSPECT-ANCHOR
AGREE	Liurnia	Leyndell,Liurnia	1038447100	7774482	m60_38_44	Dragon Cult Prayerbook	eldenpedia	Dragon Cult Prayerbook	page-wide	GUESSED	Liurnia :: Dragon Cult Prayerbook - m60_38_44 (region unconfirmed) (1) [f1038447100]					NO-COORDS
AGREE	Liurnia	Leyndell,Liurnia	1038447500	7774483	m60_38_44	Dragon Cult Prayerbook	eldenpedia	Dragon Cult Prayerbook	page-wide	GUESSED	Liurnia :: Dragon Cult Prayerbook - m60_38_44 (region unconfirmed) (2) [f1038447500]					NO-COORDS
AGREE	Liurnia	Liurnia	1038497900	7774493	m60_38_49	Howl of Shabriri	eldenpedia	Howl of Shabriri	acquisition	GUESSED	Liurnia :: [Incantation] Howl of Shabriri - near Frenzied Flame Village Outskirts (region unconfirmed) [f1038497900]	Liurnia	293.2	yes	76209 Grand Lift of Dectus	
AGREE	Liurnia	Liurnia	1039437400	7772867	m60_39_43	Ash of War: Ice Spear	eldenpedia	Ash of War: Ice Spear	acquisition	GUESSED	Liurnia :: Ash of War: Ice Spear - m60_39_43 (region unconfirmed) [f1039437400]					NO-COORDS
AGREE	Liurnia	Liurnia,Raya Lucaria Academy	1039487100	7772874	m60_39_48	Cannon of Haima	eldenpedia	Cannon of Haima	page-wide	GUESSED	Liurnia :: Gavel of Haima - near Frenzied Flame Village Outskirts (region unconfirmed) [f1039487100]	Liurnia	478.0	yes	76225 Ruined Labyrinth	
AGREE	Liurnia	Raya Lucaria Academy,Liurnia	1039487100	7900244	m60_39_48	Gavel of Haima	eldenpedia	Gavel of Haima	page-wide	GUESSED	Liurnia :: Gavel of Haima - near Frenzied Flame Village Outskirts (region unconfirmed) [f1039487100]	Liurnia	478.0	yes	76225 Ruined Labyrinth	
AGREE	Altus	Altus	1039507100	7772875	m60_39_50	Godfrey Icon	eldenpedia	Godfrey Icon	acquisition	GUESSED	Altus :: Godfrey Icon - Godefroy, Evergaol (region unconfirmed) [f1039507100]					NO-COORDS
AGREE	Liurnia	Liurnia	1040407000	7774546	m60_40_40	Treespear	eldenpedia	Treespear	page-wide	GUESSED	Liurnia :: Treespear - near Lake-Facing Cliffs (region unconfirmed) [f1040407000]	Liurnia	225.7	yes	76200 Lake-Facing Cliffs	COARSE-LOD
AGREE	Altus	Altus	1040517020	7772902	m60_40_51	Dragonbolt Blessing	eldenpedia	Dragonbolt Blessing	acquisition	GUESSED	Altus :: [Incantation] Dragonbolt Blessing - near Altus Highway Junction (region unconfirmed) [f1040517020]	Altus	243.5	yes	76303 Altus Highway Junction	
AGREE	Altus	Altus,Haligtree,Farum Azula,Deeproot Depths,Mountaintops of the Giants	1040517040	7772904	m60_40_51	Lightning Greatbolt	eldenpedia	Lightning Greatbolt	acquisition	GUESSED	Altus :: Lightning Greatbolt - near Altus Highway Junction (region unconfirmed) [f1040517040]	Altus	224.7	yes	76303 Altus Highway Junction	
AGREE	Altus	Altus	1040557700	7774556	m60_40_55	Haima Glintstone Crown	eldenpedia	Haima Glintstone Crown	acquisition	GUESSED	Altus :: Battlemage Legwraps - m60_40_55 (region unconfirmed) [f1040557700]					NO-COORDS
AGREE	Altus	Altus	1040557700	7900247	m60_40_55	Battlemage Robe	eldenpedia	Battlemage Robe	acquisition	GUESSED	Altus :: Battlemage Legwraps - m60_40_55 (region unconfirmed) [f1040557700]					NO-COORDS
AGREE	Altus	Altus	1040557700	7900248	m60_40_55	Battlemage Manchettes	eldenpedia	Battlemage Manchettes	acquisition	GUESSED	Altus :: Battlemage Legwraps - m60_40_55 (region unconfirmed) [f1040557700]					NO-COORDS
AGREE	Altus	Altus	1040557700	7900249	m60_40_55	Battlemage Legwraps	eldenpedia	Battlemage Legwraps	acquisition	GUESSED	Altus :: Battlemage Legwraps - m60_40_55 (region unconfirmed) [f1040557700]					NO-COORDS
AGREE	Altus	Altus	1041537020	7774573	m60_41_53	Wrath of Gold	eldenpedia	Wrath of Gold	acquisition	GUESSED	Altus :: [Incantation] Wrath of Gold - near Rampartside Path (region unconfirmed) [f1041537020]	Altus	168.9	yes	76305 Rampartside Path	
AGREE	Altus	Altus	1041537080	7774578	m60_41_53	Icon Shield	eldenpedia	Icon Shield	page-wide	GUESSED	Altus :: Icon Shield - near Windmill Village (region unconfirmed) [f1041537080]	Altus	233.4	yes	76308 Windmill Village	
AGREE	Altus	Altus	1041557000	7774581	m60_41_55	Twinned Knight Swords	eldenpedia	Twinned Knight Swords	page-wide	GUESSED	Altus :: Twinned Knight Swords - near Road of Iniquity Side Path (region unconfirmed) [f1041557000]	Altus	179.8	yes	76307 Road of Iniquity Side Path	
AGREE	Altus	Altus	1041557020	7774583	m60_41_55	Navy Hood	eldenpedia	Navy Hood	page-wide	GUESSED	Altus :: Navy Hood - near Road of Iniquity Side Path (region unconfirmed) [f1041557020]	Altus	178.5	yes	76307 Road of Iniquity Side Path	
AGREE	Weeping	Weeping	1042347030	7772946	m60_42_34	Gilded Iron Shield	eldenpedia	Gilded Iron Shield	acquisition	GUESSED	Weeping :: Gilded Iron Shield - near Church of Pilgrimage (region unconfirmed) [f1042347030]	Limgrave	223.9	yes	76113 Seaside Ruins	
AGREE	Weeping	Weeping,Haligtree	1042347100	7772947	m60_42_34	Winged Scythe	eldenpedia	Winged Scythe	page-wide	GUESSED	Weeping :: Winged Scythe - near Tombsward Cave (region unconfirmed) [f1042347100]	Weeping	189.6	yes	73102 Tombsward Cave	SUSPECT-ANCHOR
AGREE	Limgrave	Limgrave,Mt. Gelmir	1042397700	7772982	m60_42_39	Hammer Talisman	eldenpedia	Hammer Talisman	page-wide	GUESSED	Limgrave :: Hammer Talisman - m60_42_39 (region unconfirmed) [f1042397700]					NO-COORDS
AGREE	Altus	Altus	1042507000	7774588	m60_42_50	Giant-Crusher	eldenpedia	Giant-Crusher	page-wide	GUESSED	Altus :: Giant-Crusher - near Outer Wall Phantom Tree (region unconfirmed) [f1042507000]	Altus	216.2	yes	76310 Minor Erdtree Church	COARSE-LOD;SUSPECT-ANCHOR
AGREE	Altus	Altus,Haligtree,Farum Azula,Deeproot Depths,Mountaintops of the Giants	1042537000	7774595	m60_42_53	Lightning Greatbolt	eldenpedia	Lightning Greatbolt	acquisition	GUESSED	Altus :: Lightning Greatbolt - near Rampartside Path (region unconfirmed) [f1042537000]	Altus	195.5	yes	76305 Rampartside Path	
AGREE	Altus	Altus,Deeproot Depths,Leyndell,Haligtree	1042547060	7774603	m60_42_54	Greatbow	eldenpedia	Greatbow	page-wide	GUESSED	Altus :: Greatbow - near Windmill Village (region unconfirmed) [f1042547060]	Altus	231.4	yes	76308 Windmill Village	
AGREE	Limgrave	Limgrave	1043407010	7773030	m60_43_40	Lance Talisman	eldenpedia	Lance Talisman	page-wide	GUESSED	Limgrave :: Lance Talisman - near Saintsbridge (region unconfirmed) [f1043407010]	Limgrave	468.6	yes	76119 Summonwater Village Outskirts	
AGREE	Weeping	Weeping	1044327040	7773046	m60_44_32	Great Turtle Shell	eldenpedia	Great Turtle Shell	page-wide	GUESSED	Weeping :: Great Turtle Shell - near Castle Morne Rampart (region unconfirmed) [f1044327040]	Weeping	73.0	yes	76151 Castle Morne Rampart	SUSPECT-ANCHOR
AGREE	Weeping	Weeping	1044327400	7773047	m60_44_32	Sacrificial Axe	eldenpedia	Sacrificial Axe	page-wide	GUESSED	Weeping :: Sacrificial Axe - m60_44_32 (region unconfirmed) [f1044327400]					NO-COORDS
AGREE	Weeping	Weeping	1044327410	7773048	m60_44_32	Ash of War: Barricade Shield	eldenpedia	Ash of War: Barricade Shield	acquisition	GUESSED	Weeping :: Nightrider Flail - m60_44_32 (region unconfirmed) [f1044327410]					NO-COORDS
AGREE	Weeping	Weeping	1044327410	7900257	m60_44_32	Nightrider Flail	eldenpedia	Nightrider Flail	page-wide	GUESSED	Weeping :: Nightrider Flail - m60_44_32 (region unconfirmed) [f1044327410]					NO-COORDS
AGREE	Altus	Altus	1044537300	7773082	m60_44_53	Twinbird Kite Shield	eldenpedia	Twinbird Kite Shield	page-wide	GUESSED	Altus :: Twinbird Kite Shield - m60_44_53 (region unconfirmed) [f1044537300]					NO-COORDS
AGREE	Limgrave	Limgrave	1045397120	7774685	m60_45_39	Green Turtle Talisman	eldenpedia	Green Turtle Talisman	page-wide	GUESSED	Limgrave :: Green Turtle Talisman - near Summonwater Village Outskirts (region unconfirmed) [f1045397120]	Limgrave	179.0	no	76119 Summonwater Village Outskirts	
AGREE	Limgrave	Limgrave	1046367700	7773093	m60_46_36	Ash of War: Bloody Slash	eldenpedia	Ash of War: Bloody Slash	acquisition	GUESSED	Limgrave :: Ash of War: Bloody Slash - m60_46_36 (region unconfirmed) [f1046367700]					NO-COORDS
AGREE	Caelid	Limgrave,Liurnia,Caelid,Siofra River,Ainsel River,Altus,Mt. Gelmir,Mountaintops of the Giants,Consecrated Snowfield	1047377100	7773114	m60_47_37	Larval Tear	eldenpedia	Larval Tear	acquisition	GUESSED	Caelid :: Larval Tear - m60_47_37 (region unconfirmed) [f1047377100]					NO-COORDS
AGREE	Caelid	Caelid	1047387900	7773125	m60_47_38	Starscourge Heirloom	eldenpedia	Starscourge Heirloom	page-wide	GUESSED	Caelid :: Starscourge Heirloom - near Fort Gael North (region unconfirmed) [f1047387900]	Caelid	184.8	yes	76402 Fort Gael North	
AGREE	Caelid	Caelid	1047387910	7773126	m60_47_38	Meteoric Ore Blade	eldenpedia	Meteoric Ore Blade	page-wide	GUESSED	Caelid :: Meteoric Ore Blade - near Astray from Caelid Highway North (region unconfirmed) [f1047387910]	Caelid	239.3	yes	76402 Fort Gael North	
AGREE	Caelid	Caelid	1047387920	7773127	m60_47_38	Katar	eldenpedia	Katar	page-wide	GUESSED	Caelid :: Katar - near Fort Gael North (region unconfirmed) [f1047387920]	Caelid	182.6	no	76402 Fort Gael North	
AGREE	Mountaintops of the Giants	Consecrated Snowfield,Mountaintops of the Giants	1048557600	7773167	m60_48_55	Stalwart Horn Charm +1	eldenpedia	Stalwart Horn Charm +1	acquisition	GUESSED	Mountaintops of the Giants :: Stalwart Horn Charm +1 - near Yelough Anix Tunnel (region unconfirmed) [f1048557600]	Consecrated Snowfield	156.1	no	73211 Yelough Anix Tunnel	SUSPECT-ANCHOR
AGREE	Mountaintops of the Giants	Limgrave,Weeping,Stormveil,Liurnia,Raya Lucaria Academy,Caelid,Altus,Mt. Gelmir,Leyndell,Mountaintops of the Giants,Consecrated Snowfield,Farum Azula,Siofra River,Mohgwyn,Ainsel River,Haligtree	1049527800	7773201	m60_49_52	Golden Seed	eldenpedia	Golden Seed	acquisition	GUESSED	Mountaintops of the Giants :: Golden Seed - between Forbidden Lands and Grand Lift of Rold (region unconfirmed) [f1049527800]	Mountaintops of the Giants	274.4	yes	76502 Grand Lift of Rold	
AGREE	Caelid	Caelid,Ainsel River	1050397010	7773217	m60_50_39	Toxic Mushroom	eldenpedia	Toxic Mushroom	acquisition	GUESSED	Caelid :: Toxic Mushroom - near Sellia Under-Stair (region unconfirmed) [f1050397010]	Caelid	64.5	yes	76416 Sellia Under-Stair	
AGREE	Caelid	Caelid	1050397900	7773226	m60_50_39	Night Comet	eldenpedia	Night Comet	page-wide	GUESSED	Caelid :: [Sorcery] Night Comet - near Sellia Under-Stair (region unconfirmed) [f1050397900]	Caelid	43.0	yes	76416 Sellia Under-Stair	
AGREE	Caelid	Liurnia,Raya Lucaria Academy,Caelid	1050397910	7773227	m60_50_39	Imbued Sword Key	eldenpedia	Imbued Sword Key	acquisition	GUESSED	Caelid :: Imbued Sword Key - near Sellia Under-Stair (region unconfirmed) [f1050397910]	Caelid	80.1	yes	76416 Sellia Under-Stair	
AGREE	Mountaintops of the Giants	Weeping,Liurnia,Caelid,Ainsel River,Mohgwyn,Leyndell,Mountaintops of the Giants,Haligtree	1050547000	7773230	m60_50_54	Lost Ashes of War	fandom	Lost Ashes of War	acquisition	GUESSED	Mountaintops of the Giants :: Lost Ashes of War - near Consecrated Snowfield Catacombs (region unconfirmed) [f1050547000]	Mountaintops of the Giants	236.5	yes	73018 Giants' Mountaintop Catacombs	
AGREE	Mountaintops of the Giants	Mountaintops of the Giants	1050567620	7900268	m60_50_56	Traveling Maiden Robe	fandom	Traveling Maiden Robe	acquisition	GUESSED	Mountaintops of the Giants :: Traveling Maiden Boots - near Ancient Snow Valley Ruins (region unconfirmed) [f1050567620]	Mountaintops of the Giants				PLAYAREA-CONFIRMED
AGREE	Mountaintops of the Giants	Mountaintops of the Giants	1050567620	7900269	m60_50_56	Traveling Maiden Gloves	fandom	Traveling Maiden Gloves	acquisition	GUESSED	Mountaintops of the Giants :: Traveling Maiden Boots - near Ancient Snow Valley Ruins (region unconfirmed) [f1050567620]	Mountaintops of the Giants				PLAYAREA-CONFIRMED
AGREE	Caelid	Caelid	1051417030	7774780	m60_51_41	Dragoncrest Shield Talisman	eldenpedia	Dragoncrest Shield Talisman	acquisition	GUESSED	Caelid :: Dragoncrest Shield Talisman - near Bestial Sanctum (region unconfirmed) [f1051417030]	Caelid	176.2	yes	76454 Bestial Sanctum	CROSS-TILE-MSB;SUSPECT-ANCHOR
AGREE	Mountaintops of the Giants	Mountaintops of the Giants	1052557700	7774801	m60_52_55	One-Eyed Shield	eldenpedia	One-Eyed Shield	page-wide	GUESSED	Mountaintops of the Giants :: One-Eyed Shield - m60_52_55 (region unconfirmed) [f1052557700]					NO-COORDS
NO-DATA	Mt. Gelmir		1037557000	7772802	m60_37_55	Poison Grease	fandom	Poison Grease	page-wide	GUESSED	Mt. Gelmir :: Poison Grease - near Ninth Mt. Gelmir Campsite (region unconfirmed) [f1037557000]	Mt. Gelmir	185.2	yes	76352 Ninth Mt. Gelmir Campsite	SUSPECT-ANCHOR
NO-DATA	Liurnia		1038497000	7774489	m60_38_49	Yellow Ember	fandom	Yellow Ember	page-wide	GUESSED	Liurnia :: Yellow Ember - near Church of Inhibition (region unconfirmed) [f1038497000]	Liurnia	247.1	yes	76209 Grand Lift of Dectus	
NO-DATA	Altus		1038527050	7772832	m60_38_52	Stormhawk Feather	fandom	Stormhawk Feather	page-wide	GUESSED	Altus :: Stormhawk Feather - near Old Altus Tunnel (region unconfirmed) [f1038527050]	Altus	167.2	no	73204 Old Altus Tunnel	
NO-DATA	Altus		1040557000	7772916	m60_40_55	Giant Rat Ashes	fandom	Giant Rat Ashes	acquisition	GUESSED	Altus :: Giant Rat Ashes - near Road of Iniquity Side Path (region unconfirmed) [f1040557000]	Altus	153.8	yes	76307 Road of Iniquity Side Path	
NO-DATA	Limgrave		1041367000	7774562	m60_41_36	Land Octopus Ovary	fandom	Land Octopus Ovary	acquisition	GUESSED	Limgrave :: Land Octopus Ovary - near Church of Elleh (region unconfirmed) [f1041367000]	Limgrave	288.9	yes	76100 Church of Elleh	
NO-DATA	Limgrave		1041397000	7774571	m60_41_39	Lump of Flesh	fandom	Lump of Flesh	acquisition	GUESSED	Limgrave :: Lump of Flesh - near Stormhill Shack (region unconfirmed) [f1041397000]	Limgrave	188.5	no	76102 Stormhill Shack	SUSPECT-ANCHOR
NO-DATA	Altus		1041537030	7774574	m60_41_53	Invigorating White Cured Meat	fandom	Invigorating White Cured Meat	acquisition	GUESSED	Altus :: Invigorating White Cured Meat - near Forest-Spanning Greatbridge (region unconfirmed) [f1041537030]	Altus	221.4	yes	76304 Forest-Spanning Greatbridge	
NO-DATA	Altus		1041537060	7774576	m60_41_53	Gravel Stone	fandom	Gravel Stone	page-wide	GUESSED	Altus :: Gravel Stone - near Windmill Village (region unconfirmed) [f1041537060]	Altus	224.2	yes	76308 Windmill Village	
NO-DATA	Altus		1041557010	7774582	m60_41_55	Raw Meat Dumpling	fandom	Raw Meat Dumpling	acquisition	GUESSED	Altus :: Raw Meat Dumpling - near Windmill Village (region unconfirmed) [f1041557010]	Altus	121.3	yes	76308 Windmill Village	
NO-DATA	Limgrave		1042357000	7772948	m60_42_35	Lump of Flesh	fandom	Lump of Flesh	acquisition	GUESSED	Limgrave :: Lump of Flesh - near Seaside Ruins (region unconfirmed) [f1042357000]	Limgrave	140.1	yes	76113 Seaside Ruins	
NO-DATA	Limgrave		1042357020	7772950	m60_42_35	Sliver of Meat	fandom	Sliver of Meat	page-wide	GUESSED	Limgrave :: Sliver of Meat - near Church of Pilgrimage (region unconfirmed) [f1042357020]	Limgrave	202.2	yes	76113 Seaside Ruins	
NO-DATA	Altus		1042527020	7774591	m60_42_52	Rainbow Stone	fandom	Rainbow Stone	page-wide	GUESSED	Altus :: Rainbow Stone - near Rampartside Path (region unconfirmed) [f1042527020]	Altus	147.2	yes	76305 Rampartside Path	
NO-DATA	Altus		1042547030	7774600	m60_42_54	Stormhawk Feather	fandom	Stormhawk Feather	page-wide	GUESSED	Altus :: Stormhawk Feather - near Windmill Village (region unconfirmed) [f1042547030]	Altus	119.2	yes	76308 Windmill Village	
