# CONTRACT-VERSIONS.tsv -- the version <-> contract-shape ledger (CONTRIBUTING rule 15).
#
# One row per APWORLD_VERSION, recording the CONTRACT_HASH that version ships.
# `tools/check_contract_version.py` reads this and goes RED when the contract has
# moved under a version number that did not.
#
# DERIVED, not hand-maintained. Every historical row below was computed by loading
# greenfield/eldenring/contract.py at that git tag and reading CONTRACT_HASH[:8]:
#
#   python3 tools/check_contract_version.py --derive-history
#
# 🛑 DO NOT EDIT AN EXISTING ROW TO MAKE THE GATE GREEN. That is falsifying history,
# and it is the one bypass this gate has. A contract change needs a NEW version and a
# NEW row. tests/test_gf_contract_versions.py pins these rows as a literal fixture, so
# editing one here reddens the suite as well.
#
# version	contract_hash	note
0.2.0	b3739fdf	🛑 THE MOTIVATING CASE. Five distinct contract shapes shipped under this one version string: 36013f63 (v0.2) -> 03c58b40 (v0.2.1-v0.2.3) -> 54514b10 (v0.2.4-v0.2.7) -> 84dd6ab8 (v0.2.8-v0.2.9) -> b3739fdf (v0.2.10-v0.2.11). Recorded here as its FINAL shape. A bug report saying "apworld/0.2.0" could mean any of the five.
0.3.8	d7d3a58e	v0.3.8 -- contract UNCHANGED from 0.3.7; version-lockstep for a new window. Opened 2026-08-07 AT THE TAG of v0.3.7, deliberately and not because a gate went red -- the first time in five windows that has happened. The v0.3.7 notes say so themselves: "what has still never happened is a window being opened before something red asked for it."
0.3.9	5c2b9bf2	v0.3.9 -- the contract MOVED under this open window: `graceAttunement` was added (grace attunement, world PR). Opened 2026-08-08 on d7d3a58e as a version-lockstep no-op window and no longer is one, which is what an OPEN row is for -- test_shipped_contract_hashes_are_never_rewritten freezes SHIPPED rows only, so a window may take on contract change until it is tagged. The client half landed first as a contract_gen.rs PR; a gitlink can only point at a commit that exists.
0.3.10	5c2b9bf2	v0.3.10 -- contract UNCHANGED from 0.3.9; version-lockstep for a new window. Opened 2026-08-09 AT THE TAG of v0.3.9, which is the second time running a window has been opened on purpose rather than by a red gate -- though the v0.3.9 SHIPPED row WAS owed and missing, so something red was waiting either way. First double-digit patch component in this repo: check_channels._ver and the release gates compare version TUPLES, not strings, so 0.3.10 > 0.3.9 orders correctly; the only string sorts left are cosmetic (a printed --derive-history table).
0.3.11	5c2b9bf2	v0.3.11 -- contract UNCHANGED from 0.3.9; version-lockstep for a new window. Opened 2026-08-10 AT THE TAG of v0.3.10, the THIRD window running opened on purpose rather than by a red gate -- though the v0.3.10 SHIPPED fixture row was owed and missing again, which is the fifth window in a row that row has been the last thing anybody remembers. The client half landed first (client PR #127); a gitlink can only point at a commit that exists.
0.3.12	5c2b9bf2	v0.3.12 -- contract UNCHANGED from 0.3.9; version-lockstep for a new window. Opened 2026-08-12 AT THE TAG of v0.3.11, the FOURTH window running opened on purpose rather than by a red gate -- though main WAS red at the tag on test_every_tagged_version_is_recorded_as_shipped, because v0.3.11's SHIPPED fixture row was owed and missing for the sixth window in a row. 🛑 This window is also a REPAIR: v0.3.11 was tagged with the gitlink still at client a9830ebe (#136), 22 merged client PRs behind main, so the release did not contain the client work its own changelog describes. The client half landed first (client PR #161); a gitlink can only point at a commit that exists.
0.4.0	5c2b9bf2	v0.4.0 -- contract UNCHANGED from 0.3.9; version-lockstep for a new window. Opened 2026-08-12 AT THE TAG of v0.3.12, the FIFTH window running opened on purpose rather than by a red gate -- except this one was NOT: main was red on check_release_notes (rule 14) from the moment the v0.3.12 tag was cut, and that red is what this window pays. 🛑 The MINOR component moves for the first time since 0.3.0, and it is not ceremony: under the 0.3.12 window `item_categories` reclassified 319 spells, spirit ashes and crystal tears from filler to useful, and useful is placed before filler -- the same yaml and the same seed number now produce a different layout. `rune_shop_pricing` also stopped being unconditional and became an option that is OFF by default, so a default seed no longer does something it did in 0.3.x. Two behaviour changes a player can see without reading a note is what a minor bump is for. The client half landed first (client PR #179); a gitlink can only point at a commit that exists.
0.4.1	5c2b9bf2	v0.4.1 -- contract UNCHANGED from 0.3.9; version-lockstep for a new window. Opened 2026-08-13 minutes after the v0.4.0 tag at d9cdeafc, and NOT on purpose: commits had already landed past the tag. The first of them is the repair to `deploy_wizard.sh --landing`, which shipped in v0.4.0 writing to ${ER_ROOT_DIR}/index.html on the assumption that peliarch serves `/` from a static directory -- it does not, `/` is a Flask route, so that file would have been written, reported as installed, and never served. The client half landed first (client PR for chore/open-v0.4.1-window-client); a gitlink can only point at a commit that exists.
0.4.2	5c2b9bf2	v0.4.2 -- contract UNCHANGED from 0.3.9; version-lockstep for a new window. Opened 2026-08-14 AT THE TAG of v0.4.1 at 07dea8d0, with ZERO commits past it, so nothing had to be moved out of a shipped section -- the cleanest open since v0.3.11. It is still not fully on purpose: v0.4.1 was tagged and `APWORLD_VERSION` was left naming it, so `check_release_notes` was already failing every PR opened past the tag (#647, whose content is comments only). 🛑 AND THE ABORT HID THE OTHER HALF AGAIN: rule 14 fails at step 9 of `generators`, so steps 10-12 were SKIPPED and `test_every_tagged_version_is_recorded_as_shipped` never ran to say v0.4.1's SHIPPED row was owed -- the same two-failures-in-line masking recorded at v0.3.12, now twice. The client half landed first (client PR #199); a gitlink can only point at a commit that exists.
0.4.3	5c2b9bf2	v0.4.3 -- contract UNCHANGED from 0.3.9; version-lockstep for a new window. Opened 2026-08-15 AT THE TAG of v0.4.2 at 33c85f7, with ZERO commits past it. ⭐ THE FIRST WINDOW OPENED WHILE EVERY GATE WAS STILL GREEN: check_release_notes reported `HEAD is at the tag -- nothing has landed since` rather than failing, so this open was not paying a red, it was pre-empting the one the next commit past the tag would have caused. Every prior row from 0.3.10 on records the opposite. Two mechanisms that made previous opens expensive are also gone rather than paid: the SHIPPED fixture is DERIVED from `git tag` since #651, so v0.4.2's row cannot be owed and cannot be hidden behind rule 14's abort (the masking recorded at v0.3.12 and again at v0.4.2), and the gitlink rides in this branch rather than after it, which is what #648 got wrong and #650 repaired. The client half landed first (client PR: chore/open-v043-window-client); a gitlink can only point at a commit that exists.
0.4.4	5c2b9bf2	v0.4.4 -- contract UNCHANGED from 0.3.9; version-lockstep for a new window. Opened 2026-08-16, ONE COMMIT PAST the v0.4.3 tag at c891d04, because that is where check_release_notes went red: PR #718 is tools/-only, carries no player-visible change and so owes no rule-14 entry, and it still could not go green because APWORLD_VERSION named an already-tagged version. 🛑 THIS ROW IS THE ORDINARY CASE, NOT v0.4.3's. That row recorded the first window ever opened while every gate was still green, and predicted in its own words that the red would arrive on 'the first commit past it'. It did, on the next one. The pre-emptive open is still the better habit -- the cost here was one PR's CI and a blocked lane, not a shipped section accumulating notes that were never in the release, which is what the gate is actually there to prevent. CONTRACT_HASH verified by loading contract.py after the bump, not assumed: 5c2b9bf2937ee4dcbd49bd7be53e123e6084d3d5c7e4e2cad18b122e49832870. No client half was needed -- no contract key moved, so the gitlink does not ride in this branch.
0.4.5	5c2b9bf2	v0.4.5 -- contract UNCHANGED from 0.3.9; version-lockstep for a new window. Opened 2026-08-16 AT THE TAG of v0.4.4 at 1ffac04, with ZERO commits past it -- the v0.4.3 shape, and only the second window ever opened while every gate was still green: check_release_notes reported `HEAD is at the tag -- nothing has landed since` rather than failing, so this open pre-empts the red the next commit would have caused instead of paying one. v0.4.4's own row is the contrast and says so -- it opened ONE COMMIT PAST the tag, on the red PR #718 produced. ⭐ THE STABLE PROMOTION RIDES THIS BRANCH rather than following it the next morning. release/CHANNELS.tsv's stable row had sat two tags back through v0.4.2 AND v0.4.3 while check_channels stayed green -- that gate verifies the pointer RESOLVES, not that it is CURRENT -- and the fix for a gap that keeps recurring is to remove the window in which it can happen, not to remember harder. CONTRACT_HASH verified by loading contract.py after the bump, not assumed: 5c2b9bf2937ee4dcbd49bd7be53e123e6084d3d5c7e4e2cad18b122e49832870. No client half was needed -- no contract key moved, so the gitlink does not ride in this branch.
0.4.6	5c2b9bf2	v0.4.6 -- contract UNCHANGED from 0.3.9; version-lockstep for a new window. Opened 2026-08-16 AT THE TAG of v0.4.5 at 4d96806, with ZERO commits past it -- the pre-emptive shape for the THIRD time (v0.4.3, v0.4.5, this one) and the second in a row: check_release_notes reported `v0.4.5 is tagged and HEAD is at it -- nothing has landed since` rather than failing. ⭐ THE STABLE PROMOTION RIDES THIS BRANCH, second window running; before v0.4.4 that row lagged its tag every time -- two tags in August, two more in July -- with check_channels green throughout, because that gate asks whether the pointer RESOLVES and never whether it is CURRENT. CONTRACT_HASH verified by LOADING contract.py after the bump, not assumed: 5c2b9bf2937ee4dcbd49bd7be53e123e6084d3d5c7e4e2cad18b122e49832870 -- unmoved even though this window shipped the goal-region withholding (#768, #774), which mints one fewer item and moves no contract key. 🛑 A CLIENT HALF IS NEEDED, AND THIS ROW SAYS SO BECAUSE THE LAST TWO DID NOT: v0.4.4's and v0.4.5's rows both end 'No client half was needed', and BOTH ARE WRONG IN THE SAME WAY. contract_gen.rs is generated into the client repo and EMBEDS THE VERSION STRING, so a version-only bump moves it even when the hash does not, and the world's `generators` gate goes red until the gitlink is bumped. client a548da4f caught this at v0.4.5, wrote 'A version bump always needs this half', and promised to correct #762's row -- the correction never reached the row, so the next opener (this one) read it and repeated the mistake, third window running. The claim the rows MEAN is 'no CONTRACT KEY moved', which is true and is a different sentence. Client half: PR #246; gitlink bumped in this same commit per AGENTS 7. ⭐ THE COMPLETE SET OF SITES A WINDOW OPEN MOVES, measured here rather than remembered, because two of the seven were found by a red gate and not by the checklist: greenfield/eldenring/archipelago.json, greenfield/eldenring/contract.py, the client's Cargo.toml + Cargo.lock + contract_gen.rs (via the gitlink), and wizard/options-metadata.json + wizard/wizard.html -- the last two embed apworld_version and are regenerated with `tools/dump_options_metadata.py`, which the `tests` job checks with --check.
0.4.7	5c2b9bf2	v0.4.7 -- contract UNCHANGED from v0.3.9; version-lockstep for a new window. Opened 2026-08-17 AT THE TAG of v0.4.6 with ZERO commits past it, before the next change could make release-note CI red. CONTRACT_HASH verified by loading contract.py after the bump, not assumed: 5c2b9bf2937ee4dcbd49bd7be53e123e6084d3d5c7e4e2cad18b122e49832870. A CLIENT HALF IS STILL REQUIRED because contract_gen.rs embeds the version string even when no contract key moves: clients#259, with its merged commit pinned by the gitlink in this same change per AGENTS 7. release/CHANNELS.tsv promotes stable to v0.4.6 here as the v0.4.7 window opens, so the public stable wizard advances with the tag rather than after the next piece of work.
0.4.8	dc0dc687	v0.4.8 -- contract MOVED from 5c2b9bf2 because armorBundles adds the first honest one-to-many AP-item grant shape. Opened 2026-08-18, 39 commits past the v0.4.6 tag; the untagged v0.4.7 window accumulated the change before this gate forced the next window open. CONTRACT_HASH verified by loading contract.py: dc0dc687f38de1a6c48d90950375de261cb61fac95f493aaa6997817cc6011ff. A client half is mandatory both for the new parser/reconciler and because contract_gen.rs embeds 0.4.8; clients#277 shipped the behavior and its version-follow-up commit is pinned by this window commit. Stable remains v0.4.6 because no v0.4.7 tag exists to promote; recording that here avoids inventing a release merely to move the channel.
0.4.9	dc0dc687	v0.4.9 -- contract UNCHANGED from v0.4.8: armorBundles remains the newest slot-data shape. Opened 2026-08-18, 2 commits past the v0.4.8 tag; those commits corrected release prose and adjusted CI sharding/benchmarks, with no player-facing work to carry over. CONTRACT_HASH verified by loading contract.py after the bump: dc0dc687f38de1a6c48d90950375de261cb61fac95f493aaa6997817cc6011ff. A client half is still mandatory because contract_gen.rs embeds 0.4.9 even when the hash does not move: clients#286, whose merged commit is pinned by the gitlink in this same change. release/CHANNELS.tsv promotes stable to v0.4.8 here so the public channel follows the release rather than the next feature.
0.4.10	dc0dc687	v0.4.10 -- contract UNCHANGED from v0.4.9: armorBundles remains the newest slot-data shape. Opened 2026-08-19 from main immediately after v0.4.9 was tagged; that tag's only commit outside main is its client-gitlink bump, which this window supersedes, so no player-facing work is stranded between them. CONTRACT_HASH verified by loading contract.py after the bump: dc0dc687f38de1a6c48d90950375de261cb61fac95f493aaa6997817cc6011ff. A client half is still mandatory because contract_gen.rs embeds 0.4.10 even when the hash does not move: clients#320, whose commit is pinned by the gitlink in this same change. release/CHANNELS.tsv promotes stable to v0.4.9 here so the public channel follows the release rather than the next feature.
0.4.11	dc0dc687	v0.4.11 -- contract UNCHANGED from v0.4.10: armorBundles remains the newest slot-data shape. Opened 2026-08-20 AT THE TAG of v0.4.10 with ZERO commits past it, so no player-facing work is carried over. CONTRACT_HASH verified by loading contract.py after the bump: dc0dc687f38de1a6c48d90950375de261cb61fac95f493aaa6997817cc6011ff. A client half is still mandatory because contract_gen.rs embeds 0.4.11 even when the hash does not move: clients#334, whose merged commit is pinned by the gitlink in this same change. release/CHANNELS.tsv promotes stable to v0.4.10 here so the public channel follows the release rather than tomorrow's first feature.
0.4.12	dc0dc687	v0.4.12 -- contract UNCHANGED from v0.4.11: armorBundles remains the newest slot-data shape. Opened 2026-08-21, 2 commits past the v0.4.11 tag; both are the packaging/installer fixes found during that release's own packaging acceptance, carried as this window's first entries. CONTRACT_HASH verified by loading contract.py after the bump: dc0dc687f38de1a6c48d90950375de261cb61fac95f493aaa6997817cc6011ff. A client half is still mandatory because contract_gen.rs embeds 0.4.12 even when the hash does not move: clients#375, whose commit is pinned by the gitlink in this same change. release/CHANNELS.tsv promotes stable to v0.4.11 here so the public channel follows the release rather than the next feature.
0.4.13	dc0dc687	v0.4.13 -- contract UNCHANGED from v0.4.12: armorBundles remains the newest slot-data shape. Opened 2026-08-22 in the same change that promotes stable to the v0.4.12 hotfix tag, zero player-facing commits carried over. CONTRACT_HASH verified by loading contract.py after the bump: dc0dc687f38de1a6c48d90950375de261cb61fac95f493aaa6997817cc6011ff. A client half is still mandatory because contract_gen.rs embeds 0.4.13 even when the hash does not move: clients#382, whose commit is pinned by the gitlink in this same change.
0.4.14	dc0dc687	v0.4.14 -- contract UNCHANGED from v0.4.13: armorBundles remains the newest slot-data shape. Opened 2026-08-22 AT the v0.4.13 tag with zero commits past it, in the promotion change. The version handshake moves to 0.4.14 (client half clients#390) even though the slot-data shape does not; stable promoted to v0.4.13. CONTRACT_HASH read by loading contract.py: dc0dc687.
0.5.0	13db0b3a	v0.5.0 -- CONTRACT MOVED from dc0dc687 (the armorBundles shape that stood from v0.4.8 to v0.4.14): abilityUnlockItems adds the progressive ability-lock id->ability map (#980), the first new slot-data shape since armorBundles. 🛑 CUT AS A v0.5 INTEGRATION BRANCH off v0.4.14, merged to main 2026-08-24 (#982) after bobler validated the ability-lock client build; no stable promotion yet (CHANNELS stays at v0.4.13 until this window is tagged). First MINOR bump since 0.4.0, and it earns it: a whole new option axis a player sets (locked_abilities + ability_lock_mode), and in progressive mode abilities leave the character and become findable items. A client half IS required and is not optional bookkeeping -- contract_gen.rs embeds BOTH the version and the hash, and a progressive seed emits requiresClientFeatures ['ability_unlock'] that an older client refuses; client half is 37975636 (client main; d4f23eb at the branch cut), pinned by the gitlink (AGENTS 7). CONTRACT_HASH read by loading contract.py: 13db0b3a5295458a7f3d3446844af518bc87d869b2861d579d369171874e7256.
0.5.1	13db0b3a	v0.5.1 -- contract UNCHANGED from v0.5.0: abilityUnlockItems remains the newest slot-data shape. Opened 2026-08-24 AT the v0.5.0 tag with zero commits past it, in the promotion change. The version handshake moves to 0.5.1 (client half clients#414) even though the slot-data shape does not; stable promoted to v0.5.0, the promotion the v0.5.0 window deferred until its tag. CONTRACT_HASH read by loading contract.py: 13db0b3a.
0.5.2	13db0b3a	v0.5.2 -- contract UNCHANGED from v0.5.1: abilityUnlockItems remains the newest slot-data shape. Opened 2026-08-27 AT the v0.5.1 tag with zero commits past it, in the promotion change. The version handshake moves to 0.5.2 (client half clients#459, merge commit pinned by the gitlink in this same change) even though the slot-data shape does not; stable promoted to v0.5.1. CONTRACT_HASH read by loading contract.py: 13db0b3a.
0.5.3	13db0b3a	v0.5.3 -- contract UNCHANGED from v0.5.2: abilityUnlockItems remains the newest slot-data shape. Opened 2026-08-28 AT the v0.5.2 tag in the first post-tag fix. The version handshake moves to 0.5.3 (client half clients#469, commit pinned by the gitlink in this same change) even though the slot-data shape does not; stable promoted to v0.5.2. CONTRACT_HASH read by loading contract.py: 13db0b3a.
